Name,EloRating,match_number
Roger Federer,2182,156
Novak Djokovic,2142,178
Andy Murray,2121,153
Rafael Nadal,2114,175
Nikolay Davydenko,2090,154
Juan Martin Del Potro,2085,137
Andy Roddick,2070,132
Robin Soderling,2067,139
Fernando Verdasco,2003,151
David Nalbandian,1986,82
Gael Monfils,1977,116
Jo Wilfried Tsonga,1977,124
Fernando Gonzalez,1970,114
Lleyton Hewitt,1970,85
Radek Stepanek,1957,129
Marin Cilic,1949,133
Tommy Haas,1947,84
Gilles Simon,1936,152
Stanislas Wawrinka,1930,115
Mario Ancic,1927,72
David Ferrer,1923,137
Juan Carlos Ferrero,1922,95
Sam Querrey,1912,115
Mikhail Youzhny,1905,128
Marcos Baghdatis,1900,89
Tomas Berdych,1889,131
Nicolas Kiefer,1889,77
Tommy Robredo,1881,131
Philipp Kohlschreiber,1880,121
Janko Tipsarevic,1878,122
James Blake,1875,117
Ivan Ljubicic,1875,109
Juan Monaco,1871,118
Mardy Fish,1869,94
Richard Gasquet,1867,94
Ivo Karlovic,1857,103
Jurgen Melzer,1850,134
Potito Starace,1850,137
Feliciano Lopez,1847,104
Nicolas Almagro,1842,107
Marat Safin,1840,89
Joachim Johansson,1836,15
Andreas Seppi,1836,127
Viktor Troicki,1828,137
Dmitry Tursunov,1827,101
Benjamin Becker,1825,131
Fabrice Santoro,1823,95
Kristof Vliegen,1821,109
Juan Ignacio Chela,1817,96
Thomaz Bellucci,1816,143
Xavier Malisse,1815,109
Yen Hsun Lu,1810,136
Albert Montanes,1807,122
Pablo Cuevas,1806,143
Simon Greul,1805,153
Robin Haase,1804,55
Paul Henri Mathieu,1803,116
Sebastien Grosjean,1802,36
Florian Mayer,1802,98
Fabio Fognini,1800,119
Ernests Gulbis,1798,101
Jarkko Nieminen,1797,110
Victor Hanescu,1797,117
Kei Nishikori,1797,65
Rui Machado,1796,135
Marc Gicquel,1794,115
Nicolas Lapentti,1792,118
Jan Hajek,1792,85
Alejandro Falla,1791,117
Robby Ginepri,1791,94
John Isner,1791,115
Michael Llodra,1790,92
Stephane Robert,1789,129
Niels Desein,1788,132
Simone Bolelli,1788,115
Jose Acasuso,1787,98
Marco Chiudinelli,1787,84
Igor Kunitsyn,1786,124
Carlos Moya,1784,57
Evgeny Korolev,1784,127
Lukas Lacko,1784,138
Younes El Aynaoui,1782,34
Peter Luczak,1781,134
Pere Riba,1780,170
David Guez,1778,152
Ivo Minar,1776,118
Daniel Koellerer,1776,139
Jorge Aguilar,1774,115
Jan Hernych,1774,117
Julio Silva,1773,125
Eduardo Schwank,1772,126
Julien Benneteau,1769,119
Taylor Dent,1768,67
Marcos Daniel,1768,111
Frederico Gil,1764,142
Igor Andreev,1764,136
Olivier Rochus,1763,129
Michael Russell,1763,111
Lamine Ouahab,1763,134
Dudi Sela,1763,120
Andreas Beck,1763,140
Steve Darcis,1762,117
Nicolas Mahut,1758,97
Daniel Gimeno Traver,1757,153
Attila Balazs,1756,123
Tomas Tenconi,1755,115
Oscar Hernandez,1755,142
Hyung Taik Lee,1755,59
Florent Serra,1755,135
Victor Crivoi,1755,126
Paolo Lorenzi,1755,155
Jose De Armas,1754,112
