Name,elo_overall,match_number,elo_hard,match_number_hard,elo_clay,match_number_clay,elo_grass,match_number_grass,previous_match
Rafael Nadal,2142.0716784726264,968,2283.306441659734,409,2378.7248364246275,325,2160.423878018635,59,2022-Wimbledon-Nick Kyrgios-Rafael Nadal
Novak Djokovic,2129.724500201231,1058,2301.1170488109547,558,2294.609708967772,229,2229.3104436126064,93,2022-Wimbledon-Novak Djokovic-Nick Kyrgios
Alexander Zverev,2101.839793135937,644,2223.1819627972163,375,2228.9618507143414,219,1943.9664773439033,50,2022-Roland Garros-Rafael Nadal-Alexander Zverev
Carlos Alcaraz,2101.5459345725085,210,2226.80509209368,65,2207.171628939897,130,1775.6805911498045,15,2022-Wimbledon-Jannik Sinner-Carlos Alcaraz
Daniil Medvedev,2098.4511583961694,597,2262.269833201501,398,2040.3701529151524,115,1971.9384381810855,84,2022-Mallorca-Roberto Bautista Agut-Daniil Medvedev
Roger Federer,2097.8347462775846,850,2225.523114606298,455,2213.7637558317506,116,2165.007375750834,123,2021-Wimbledon-Hubert Hurkacz-Roger Federer
Juan Martin Del Potro,2097.671803300371,548,2221.8782759983355,296,2130.7700777147584,72,2092.4816587871874,43,2019-Queen's Club-Feliciano Lopez-Juan Martin Del Potro
Jannik Sinner,2059.849434457013,261,2154.804026387559,160,2128.7019666180627,88,1939.3386294150375,13,2022-Wimbledon-Novak Djokovic-Jannik Sinner
Robin Soderling,2056.5952834611794,265,2205.9983248030553,77,2201.1547527818866,41,1976.8193335435092,8,2011-Bastad-Robin Soderling-David Ferrer
Stefanos Tsitsipas,2039.765430064461,584,2115.777506038505,348,2225.58708714733,201,1876.7648315453632,35,2022-Wimbledon-Nick Kyrgios-Stefanos Tsitsipas
Matteo Berrettini,2009.1306258429881,412,2119.030326229683,224,2118.468403942168,133,2107.0169187157535,55,2022-Queen's Club-Matteo Berrettini-Filip Krajinovic
Andrey Rublev,2003.3586757528076,579,2136.808238718158,376,2091.989021056901,166,1821.4765987271837,37,2022-Bastad-Sebastian Baez-Andrey Rublev
Casper Ruud,2002.0054339685746,485,2089.430603193647,187,2136.7101967618996,285,1678.7389965078523,13,2022-Bastad-Francisco Cerundolo-Casper Ruud
Cameron Norrie,2000.5953813627202,455,2080.2335174819723,335,2082.9966756685903,79,1976.2693255714892,41,2022-Wimbledon-Novak Djokovic-Cameron Norrie
Hubert Hurkacz,1995.6900807148663,480,2096.5102845197957,296,2026.4326612019338,151,1973.16238884662,33,2022-Wimbledon-Alejandro Davidovich Fokina-Hubert Hurkacz
Taylor Harry Fritz,1985.1817815850452,502,2102.6914671100526,361,1965.0637248246446,87,1972.9318080944984,54,2022-Wimbledon-Rafael Nadal-Taylor Harry Fritz
Andy Roddick,1983.6268234458787,287,2082.138177348216,120,1751.6912937727773,11,2037.8645315044298,24,2012-US Open-Juan Martin Del Potro-Andy Roddick
Nick Kyrgios,1982.545006438984,443,2110.8355205949983,294,2026.9065635929528,73,1979.212319878623,76,2022-Wimbledon-Novak Djokovic-Nick Kyrgios
Felix Auger Aliassime,1977.2215375229644,439,2117.6817414837915,240,2056.4773126500177,165,1857.4688813965993,34,2022-Newport-Jason Kubler-Felix Auger Aliassime
Roberto Bautista Agut,1975.4199500029783,945,2092.567015137699,502,2020.8782683641302,228,1999.563680972366,74,2022-Bastad-Dominic Thiem-Roberto Bautista Agut
Marin Cilic,1953.2785223645176,855,2013.9906556480225,447,2084.8064590627746,183,2007.102070548691,92,2022-Queen's Club-Filip Krajinovic-Marin Cilic
