name,year,id,tourney_level,surface,outdoor,city,venue,link
Acapulco,2022,2022-Acapulco,ATP 500,Hard,Outdoor,"Acapulco, Mexico",,
Adelaide 1,2022,2022-Adelaide 1,ATP 250,Hard,Outdoor,"Adelaide, Australia",,
Adelaide 2,2022,2022-Adelaide 2,ATP 250,Hard,Outdoor,"Adelaide, Australia",,
Aguascalientes CH,2022,2022-Aguascalientes CH,ATP Challenger,Clay,Outdoor,"Aguascalientes, Mexico",,
Aix-En-Provence CH,2022,2022-Aix-En-Provence CH,ATP Challenger,Clay,Outdoor,"Aix-En-Provence, France",,
Amersfoort CH,2022,2022-Amersfoort CH,ATP Challenger,Clay,Outdoor,"Amersfoort, Netherlands",,
Atp Cup,2022,2022-Atp Cup,ATP Cup,Hard,Outdoor,"Sydney, Australia",,
Australian Open,2022,2022-Australian Open,Grand Slam,Hard,Outdoor,"Melbourne, Australia",,
Barcelona,2022,2022-Barcelona,ATP 500,Clay,Outdoor,"Barcelona, Spain",,
Barletta CH,2022,2022-Barletta CH,ATP Challenger,Clay,Outdoor,"Barletta, Italy",,
Bastad,2022,2022-Bastad,ATP 250,Clay,Outdoor,"Bastad, Sweden",,
Belgrade,2022,2022-Belgrade,ATP 250,Clay,Outdoor,"Belgrade, Serbia",,
Bendigo CH,2022,2022-Bendigo CH,ATP Challenger,Hard,Outdoor,"Bendigo, Australia",,
Bengaluru 1 CH,2022,2022-Bengaluru 1 CH,ATP Challenger,Hard,Outdoor,"Bangalore, India",,
Bengaluru 2 CH,2022,2022-Bengaluru 2 CH,ATP Challenger,Hard,Outdoor,"Bangalore, India",,
Biel CH,2022,2022-Biel CH,ATP Challenger,Hard,Indoor,"Biel, Switzerland",,
Blois CH,2022,2022-Blois CH,ATP Challenger,Clay,Outdoor,"Blois, France",,
Blumenau CH,2022,2022-Blumenau CH,ATP Challenger,Clay,Outdoor,"Blumenau, Brazil",,
Bogota CH,2022,2022-Bogota CH,ATP Challenger,Clay,Outdoor,"Bogota, Colombia",,
Bordeaux CH,2022,2022-Bordeaux CH,ATP Challenger,Clay,Outdoor,"Bordeaux, France",,
Bratislava CH,2022,2022-Bratislava CH,ATP Challenger,Clay,Outdoor,"Bratislava, Slovak Republic",,
Braunschweig CH,2022,2022-Braunschweig CH,ATP Challenger,Clay,Outdoor,"Braunschweig, Germany",,
Buenos Aires,2022,2022-Buenos Aires,ATP 250,Clay,Outdoor,"Buenos Aires, Argentina",,
Buenos Aires CH,2022,2022-Buenos Aires CH,ATP Challenger,Clay,Outdoor,"Buenos Aires, Argentina",,
Cali CH,2022,2022-Cali CH,ATP Challenger,Clay,Outdoor,"Cali, Colombia",,
Cherbourg CH,2022,2022-Cherbourg CH,ATP Challenger,Hard,Indoor,"Cherbourg, France",,
Cleveland CH,2022,2022-Cleveland CH,ATP Challenger,Hard,Indoor,"Cleveland, Ohio, United States",,
Columbus CH,2022,2022-Columbus CH,ATP Challenger,Hard,Indoor,"Columbus, Ohio, United States",,
Concepcion CH,2022,2022-Concepcion CH,ATP Challenger,Clay,Outdoor,"Concepcion, Chile",,
Coquimbo CH,2022,2022-Coquimbo CH,ATP Challenger,Clay,Outdoor,"Coquimbo, Chile",,
Cordoba,2022,2022-Cordoba,ATP 250,Clay,Outdoor,"Cordoba, Argentina",,
Corrientes CH,2022,2022-Corrientes CH,ATP Challenger,Clay,Outdoor,"Corrientes, Argentina",,
Cuernavaca CH,2022,2022-Cuernavaca CH,ATP Challenger,Hard,Outdoor,"Cuernavaca, Mexico",,
Dallas,2022,2022-Dallas,ATP 250,Hard,Indoor,"Dallas, United States",,
Davis Cup QLS R1: ARG vs CZE,2022,2022-Davis Cup QLS R1: ARG vs CZE,Davis Cup,Clay,Outdoor,"Buenos Aires, Argentina",,
Davis Cup QLS R1: AUS vs HUN,2022,2022-Davis Cup QLS R1: AUS vs HUN,Davis Cup,Hard,Outdoor,"Sydney, Australia",,
Davis Cup QLS R1: AUT vs KOR,2022,2022-Davis Cup QLS R1: AUT vs KOR,Davis Cup,Hard,Indoor,"Seoul, South Korea",,
Davis Cup QLS R1: BEL vs FIN,2022,2022-Davis Cup QLS R1: BEL vs FIN,Davis Cup,Hard,Indoor,"Espoo, Finland",,
Davis Cup QLS R1: CAN vs NED,2022,2022-Davis Cup QLS R1: CAN vs NED,Davis Cup,Clay,Indoor,"The Hague, Netherlands",,
Davis Cup QLS R1: ESP vs ROU,2022,2022-Davis Cup QLS R1: ESP vs ROU,Davis Cup,Clay,Outdoor,"Marbella, Spain",,
Davis Cup QLS R1: FRA vs ECU,2022,2022-Davis Cup QLS R1: FRA vs ECU,Davis Cup,Hard,Indoor,"Pau, France",,
