hum_mean_perc,time,wind_kmh,temp
55,2020-26-08 11:00,7.2,26
49,2020-25-08 14:00,14.4,28.5
60,2020-25-08 11:00,0,25
75,2020-25-08 08:00,0,20
57,2020-24-08 17:00,10.8,27.5
63,2020-24-08 14:00,14.4,26
58,2020-24-08 11:00,10.8,25.5
74,2020-24-08 08:00,0,19
55,2020-23-08 17:00,14.4,26
56,2020-23-08 14:00,18,26
63,2020-23-08 11:00,18,23.5
80,2020-23-08 08:00,0,19.5
56,2020-22-08 17:00,32.4,26.5
56,2020-22-08 14:00,18,28
67,2020-22-08 11:00,14.4,24.7
75,2020-22-08 08:00,0,20.5
68,2020-21-08 17:00,18,24.5
63,2020-21-08 14:00,14.4,24.5
70,2020-21-08 11:00,10.8,24.5
77,2020-20-08 17:00,10.8,24
60,2020-20-08 14:00,14.4,28.5
63,2020-20-08 11:00,14.4,26
80,2020-20-08 08:00,0,21
52,2020-19-08 14:00,10.8,29.4
56,2020-19-08 11:00,10.8,26.5
48,2020-18-08 17:00,18,27
50,2020-18-08 14:00,18,28
57,2020-18-08 11:00,18,26.3
54,2020-18-08 08:00,18,27.5
54,2020-17-08 17:00,18,27.5
53,2020-17-08 14:00,14.4,30
53,2020-17-08 11:00,14.4,30
57,2020-16-08 17:00,28.8,25
52,2020-16-08 14:00,21.6,27.5
64,2020-16-08 11:00,10.8,25
73,2020-16-08 08:00,0,20.3
57,2020-15-08 17:00,14.4,26.5
54,2020-15-08 14:00,14.4,28
66,2020-15-08 11:00,0,23.5
74,2020-15-08 08:00,0,19.5
57,2020-14-08 17:00,25.2,25
55,2020-14-08 14:00,10.8,28.3
66,2020-14-08 11:00,7.2,24.5
58,2020-13-08 17:00,NaN,26
54,2020-13-08 14:00,14.4,27.5
67,2020-13-08 11:00,7.2,24
83,2020-13-08 08:00,0,19.5
65,2020-12-08 17:00,14.4,24.5
61,2020-12-08 14:00,14.4,26.5
67,2020-12-08 11:00,10.8,24
79,2020-12-08 08:00,0,20
56,2020-11-08 14:00,10.8,27.5
61,2020-11-08 11:00,7.2,25
79,2020-11-08 08:00,0,20
60,2020-10-08 17:00,14.4,26
56,2020-10-08 14:00,10.8,27
66,2020-10-08 11:00,0,23.5
82,2020-10-08 08:00,0,19
67,2020-09-08 17:00,14.4,24
60,2020-09-08 14:00,10.8,26
63,2020-09-08 11:00,10.8,24.5
83,2020-09-08 08:00,0,19.5
60,2020-08-08 17:00,14.4,24.5
58,2020-08-08 14:00,10.8,26
70,2020-08-08 11:00,0,23
82,2020-08-08 08:00,0,19
61,2020-07-08 17:00,3.6,25.5
57,2020-07-08 14:00,14.4,27.5
68,2020-07-08 11:00,0,24
83,2020-07-08 08:00,0,19.5
56,2020-06-08 17:00,10.8,26.5
59,2020-06-08 14:00,10.8,26
67,2020-06-08 11:00,0,24
79,2020-06-08 08:00,0,20
55,2020-05-08 17:00,14.4,25.5
59,2020-05-08 14:00,10.8,26.2
79,2020-05-08 08:00,0,18.8
59,2020-04-08 17:00,14.4,25
55,2020-04-08 14:00,NaN,26
66,2020-04-08 11:00,14.4,23.5
78,2020-04-08 08:00,0,19
59,2020-03-08 17:00,21.6,25
56,2020-03-08 14:00,14.4,27
73,2020-03-08 11:00,7.2,22.5
82,2020-03-08 08:00,0,19
57,2020-02-08 17:00,14.4,25
55,2020-02-08 14:00,14.4,27
66,2020-02-08 11:00,14.4,24
64,2020-01-08 17:00,14.4,25
59,2020-01-08 14:00,14.4,27
66,2020-01-08 11:00,0,23.5
79,2020-01-08 08:00,0,19
61,2020-31-07 17:00,10.8,26
61,2020-31-07 14:00,14.4,26
67,2020-31-07 11:00,7.2,24
87,2020-31-07 08:00,0,18
55,2020-30-07 17:00,18,24.8
54,2020-30-07 14:00,18,26.5
61,2020-30-07 11:00,14.4,24
59,2020-29-07 17:00,14.4,24.8
61,2020-29-07 14:00,14.4,25
66,2020-29-07 11:00,10.8,23
82,2020-29-07 08:00,0,18
61,2020-28-07 17:00,18,24
58,2020-28-07 14:00,14.4,26
66,2020-28-07 11:00,10.8,23.5
68,2020-27-07 17:00,14.4,22.8
67,2020-27-07 14:00,14.4,24
72,2020-27-07 11:00,7.2,22
82,2020-27-07 08:00,0,17.5
56,2020-26-07 17:00,18,24.8
52,2020-26-07 14:00,28.8,25.5
64,2020-26-07 11:00,18,22.5
79,2020-26-07 08:00,0,17.5
67,2020-25-07 17:00,18,24
72,2020-25-07 11:00,10.8,22
86,2020-25-07 08:00,0,17
75,2020-24-07 17:00,7.2,21
70,2020-24-07 14:00,25.2,23.5
70,2020-24-07 11:00,14.4,23.5
