hum_mean_perc,time,wind_kmh,temp
35,2015-01-31 23:00,10.8,12.4
27,2015-01-31 20:00,10.8,15.9
21,2015-01-31 17:00,7.2,19.2
23,2015-01-31 14:00,7.2,18.9
23,2015-01-31 11:00,14.4,17.4
34,2015-01-31 08:00,18,12.2
37,2015-01-31 05:00,14.4,10.4
35,2015-01-31 02:00,10.8,11.1
34,2015-01-30 23:00,10.8,13.9
34,2015-01-30 20:00,10.8,14.7
27,2015-01-30 17:00,18,17.8
29,2015-01-30 14:00,18,18.1
32,2015-01-30 11:00,14.4,15.3
39,2015-01-30 08:00,18,11.8
35,2015-01-30 05:00,18,11.7
42,2015-01-30 02:00,10.8,10.6
39,2015-01-29 23:00,10.8,13.4
36,2015-01-29 20:00,7.2,14.8
27,2015-01-29 17:00,10.8,18
29,2015-01-29 14:00,10.8,18.4
35,2015-01-29 11:00,0,16.4
52,2015-01-29 08:00,7.2,11
48,2015-01-29 05:00,0,12
41,2015-01-29 02:00,0,13.3
40,2015-01-28 23:00,0,12.9
33,2015-01-28 20:00,7.2,15.7
21,2015-01-28 17:00,14.4,17.4
14,2015-01-28 14:00,14.4,18.4
30,2015-01-28 11:00,10.8,16.3
90,2015-01-28 08:00,7.2,12.8
90,2015-01-28 05:00,3.6,11.9
84,2015-01-28 02:00,0,12.6
63,2015-01-27 23:00,7.2,15.3
56,2015-01-27 20:00,7.2,17.2
33,2015-01-27 17:00,7.2,21.2
40,2015-01-27 14:00,0,21.7
69,2015-01-27 11:00,7.2,17.6
83,2015-01-27 08:00,10.8,16.4
100,2015-01-27 05:00,7.2,13.1
100,2015-01-27 02:00,10.8,14.6
96,2015-01-26 23:00,14.4,15.3
80,2015-01-26 20:00,14.4,16.1
63,2015-01-26 17:00,14.4,18.1
68,2015-01-26 14:00,14.4,18.3
85,2015-01-26 11:00,18,17.1
96,2015-01-26 08:00,10.8,14
98,2015-01-26 05:00,10.8,15
100,2015-01-26 02:00,10.8,15
79,2015-01-25 23:00,10.8,15.8
59,2015-01-25 20:00,10.8,17.4
48,2015-01-25 17:00,14.4,20
50,2015-01-25 14:00,14.4,20.6
74,2015-01-25 11:00,10.8,17.4
100,2015-01-25 08:00,10.8,13.2
100,2015-01-25 05:00,7.2,12.9
98,2015-01-25 02:00,7.2,13.5
87,2015-01-24 23:00,7.2,13.9
70,2015-01-24 20:00,14.4,16.5
62,2015-01-24 17:00,10.8,19.2
44,2015-01-24 14:00,10.8,20.4
53,2015-01-24 11:00,10.8,17.5
57,2015-01-24 08:00,0,15.2
30,2015-01-24 05:00,7.2,15
20,2015-01-24 02:00,14.4,18.5
19,2015-01-23 23:00,0,18.4
18,2015-01-23 20:00,3.6,20.5
13,2015-01-23 17:00,7.2,22.6
10,2015-01-23 14:00,3.6,24.7
23,2015-01-23 11:00,3.6,22.1
29,2015-01-23 08:00,0,14.8
13,2015-01-23 05:00,14.4,17.5
14,2015-01-23 02:00,10.8,18.7
16,2015-01-22 23:00,14.4,19.4
20,2015-01-22 20:00,10.8,18.4
10,2015-01-22 17:00,18,24.8
12,2015-01-22 14:00,18,25.6
15,2015-01-22 11:00,14.4,23.6
26,2015-01-22 08:00,0,14.2
21,2015-01-22 05:00,7.2,16.6
24,2015-01-22 02:00,7.2,16.2
24,2015-01-21 23:00,10.8,16.2
21,2015-01-21 20:00,7.2,17
14,2015-01-21 17:00,7.2,23
12,2015-01-21 14:00,18,24.3
14,2015-01-21 11:00,10.8,21
38,2015-01-21 08:00,0,13.2
44,2015-01-21 05:00,0,11.6
42,2015-01-21 02:00,10.8,13.3
45,2015-01-20 23:00,0,13.8
52,2015-01-20 20:00,0,15.7
41,2015-01-20 17:00,7.2,20.5
34,2015-01-20 14:00,7.2,21.5
43,2015-01-20 11:00,0,18.4
49,2015-01-20 08:00,14.4,13.2
76,2015-01-20 05:00,7.2,7.8
74,2015-01-20 02:00,7.2,9.2
64,2015-01-19 23:00,7.2,11.8
51,2015-01-19 20:00,10.8,14
33,2015-01-19 17:00,10.8,18.9
36,2015-01-19 14:00,14.4,18.8
47,2015-01-19 11:00,18,16.2
74,2015-01-19 08:00,14.4,11.8
92,2015-01-19 05:00,10.8,9.8
