temp_min_c,temp_mean_c,temp_max_c,hum_mean_perc,time,wind_kmh
NaN,-3.5,NaN,96,2015-01-01 23:00,7.2
NaN,-4.2,NaN,94,2015-01-01 22:00,3.6
NaN,-3.8,NaN,94,2015-01-01 21:00,7.2
NaN,-4.4,NaN,93,2015-01-01 20:00,7.2
-5.9,-1.8,0.7,88,2015-01-01 19:00,7.2
NaN,-1.3,NaN,86,2015-01-01 18:00,7.2
NaN,-1.6,NaN,88,2015-01-01 17:00,7.2
NaN,0,NaN,86,2015-01-01 16:00,3.6
NaN,0.3,NaN,86,2015-01-01 15:00,7.2
NaN,0.4,NaN,83,2015-01-01 14:00,7.2
NaN,-1.6,NaN,94,2015-01-01 13:00,7.2
NaN,-2.1,NaN,96,2015-01-01 12:00,7.2
NaN,-2.3,NaN,97,2015-01-01 11:00,7.2
NaN,-4.3,NaN,96,2015-01-01 10:00,3.6
NaN,-4.8,NaN,95,2015-01-01 09:00,7.2
NaN,-5.6,NaN,94,2015-01-01 08:00,3.6
-6.6,-4.7,-1.8,95,2015-01-01 07:00,7.2
NaN,-5.4,NaN,94,2015-01-01 06:00,0
NaN,-3.6,NaN,96,2015-01-01 05:00,3.6
NaN,-2.8,NaN,97,2015-01-01 04:00,3.6
NaN,-2.9,NaN,97,2015-01-01 03:00,7.2
NaN,-4.5,NaN,96,2015-01-01 02:00,3.6
NaN,-3.9,NaN,97,2015-01-01 01:00,7.2
NaN,-6.2,NaN,96,2015-01-01 00:00,3.6
NaN,-6.1,NaN,93,2014-12-31 23:00,3.6
NaN,-3.9,NaN,96,2014-12-31 22:00,3.6
NaN,-3.2,NaN,95,2014-12-31 21:00,7.2
NaN,-1.8,NaN,96,2014-12-31 20:00,7.2
-2.8,-2.8,2.7,95,2014-12-31 19:00,7.2
NaN,-0.9,NaN,94,2014-12-31 18:00,0
NaN,0.7,NaN,87,2014-12-31 17:00,7.2
NaN,1.6,NaN,82,2014-12-31 16:00,3.6
NaN,1.5,NaN,83,2014-12-31 15:00,10.8
NaN,2.5,NaN,79,2014-12-31 14:00,3.6
NaN,1.4,NaN,83,2014-12-31 13:00,3.6
NaN,0.4,NaN,88,2014-12-31 12:00,NaN
NaN,-0.7,NaN,92,2014-12-31 11:00,7.2
NaN,-1.4,NaN,96,2014-12-31 10:00,3.6
NaN,-1.7,NaN,96,2014-12-31 09:00,3.6
NaN,-1.5,NaN,95,2014-12-31 08:00,3.6
-2,-1.4,-0.4,95,2014-12-31 07:00,0
NaN,-1.5,NaN,95,2014-12-31 06:00,3.6
NaN,-1.6,NaN,96,2014-12-31 05:00,3.6
NaN,-1.7,NaN,96,2014-12-31 04:00,3.6
NaN,-1.9,NaN,95,2014-12-31 03:00,3.6
NaN,-1.6,NaN,94,2014-12-31 02:00,3.6
NaN,-1.2,NaN,95,2014-12-31 01:00,3.6
NaN,-1.3,NaN,95,2014-12-31 00:00,3.6
NaN,-1.6,NaN,93,2014-12-30 23:00,3.6
NaN,-1.1,NaN,92,2014-12-30 22:00,3.6
NaN,-0.9,NaN,91,2014-12-30 21:00,3.6
NaN,-0.6,NaN,91,2014-12-30 20:00,7.2
-4.4,-0.4,-0.3,89,2014-12-30 19:00,3.6
NaN,-0.5,NaN,91,2014-12-30 18:00,3.6
NaN,-0.4,NaN,92,2014-12-30 17:00,3.6
NaN,-0.4,NaN,93,2014-12-30 16:00,7.2
NaN,-0.5,NaN,92,2014-12-30 15:00,7.2
NaN,-0.8,NaN,92,2014-12-30 14:00,7.2
NaN,-0.8,NaN,89,2014-12-30 13:00,3.6
