hum_mean_perc,time,wind_kmh,temp
90,2015-01-01 23:00,3.6,-3.3
88,2015-01-01 22:00,3.6,-3.1
88,2015-01-01 21:00,7.2,-2.8
86,2015-01-01 20:00,3.6,-2.5
86,2015-01-01 19:00,3.6,-1.5
84,2015-01-01 18:00,7.2,-1.1
75,2015-01-01 17:00,3.6,0.8
70,2015-01-01 16:00,7.2,1.8
71,2015-01-01 15:00,3.6,1.9
73,2015-01-01 14:00,3.6,1.4
75,2015-01-01 13:00,3.6,1
77,2015-01-01 12:00,3.6,0.8
76,2015-01-01 11:00,7.2,0.1
80,2015-01-01 10:00,7.2,-0.5
79,2015-01-01 09:00,3.6,-0.7
80,2015-01-01 08:00,3.6,-1.3
87,2015-01-01 07:00,3.6,-2.8
86,2015-01-01 06:00,3.6,-3.2
83,2015-01-01 05:00,7.2,-2.3
81,2015-01-01 04:00,7.2,-1.5
78,2015-01-01 03:00,7.2,-1.3
76,2015-01-01 02:00,3.6,-0.7
75,2015-01-01 01:00,3.6,-0.3
71,2015-01-01 00:00,14.4,0.6
73,2014-12-31 23:00,18,0.9
70,2014-12-31 22:00,18,1.3
68,2014-12-31 21:00,18,0.8
66,2014-12-31 20:00,18,0.9
61,2014-12-31 19:00,18,1.3
62,2014-12-31 18:00,18,1.3
62,2014-12-31 17:00,25.2,1.4
57,2014-12-31 16:00,28.8,2.2
55,2014-12-31 15:00,28.8,2.7
60,2014-12-31 14:00,28.8,2.7
65,2014-12-31 13:00,28.8,2.4
66,2014-12-31 12:00,21.6,2.1
68,2014-12-31 11:00,18,1.8
70,2014-12-31 10:00,18,1.3
70,2014-12-31 09:00,14.4,0.7
73,2014-12-31 08:00,10.8,1
72,2014-12-31 07:00,14.4,1.2
70,2014-12-31 06:00,14.4,1.3
73,2014-12-31 05:00,7.2,0.8
62,2014-12-31 04:00,10.8,1.1
70,2014-12-31 03:00,7.2,0.2
66,2014-12-31 02:00,7.2,0.8
70,2014-12-31 01:00,14.4,1.4
68,2014-12-31 00:00,18,1.9
71,2014-12-30 23:00,25.2,2.3
68,2014-12-30 22:00,21.6,2.4
71,2014-12-30 21:00,18,1.9
73,2014-12-30 20:00,25.2,2.2
74,2014-12-30 19:00,18,2
74,2014-12-30 18:00,21.6,1.8
76,2014-12-30 17:00,10.8,1.7
70,2014-12-30 16:00,18,2.1
69,2014-12-30 15:00,14.4,1.8
65,2014-12-30 14:00,14.4,2
67,2014-12-30 13:00,18,1.4
65,2014-12-30 12:00,21.6,1.2
66,2014-12-30 11:00,21.6,0.9
73,2014-12-30 10:00,25.2,0.3
77,2014-12-30 09:00,10.8,-1.2
74,2014-12-30 08:00,10.8,-1.7
76,2014-12-30 07:00,10.8,-2.1
78,2014-12-30 06:00,3.6,-4.1
73,2014-12-30 05:00,7.2,-2.3
82,2014-12-30 04:00,7.2,-2.9
74,2014-12-30 03:00,7.2,-0.8
90,2014-12-30 01:00,3.6,-3.4
91,2014-12-30 00:00,3.6,-2.9
86,2014-12-29 23:00,3.6,-2.5
87,2014-12-29 22:00,3.6,-3
85,2014-12-29 21:00,3.6,-2.9
86,2014-12-29 20:00,3.6,-2.9
80,2014-12-29 19:00,3.6,-2.5
81,2014-12-29 18:00,7.2,-2.5
71,2014-12-29 17:00,3.6,-1.6
69,2014-12-29 16:00,7.2,-1.7
65,2014-12-29 15:00,3.6,-1.4
67,2014-12-29 14:00,3.6,-1.7
65,2014-12-29 13:00,3.6,-2
64,2014-12-29 12:00,3.6,-2
72,2014-12-29 11:00,7.2,-3.3
76,2014-12-29 10:00,10.8,-3.4
76,2014-12-29 09:00,18,-3.6
76,2014-12-29 08:00,25.2,-4
76,2014-12-29 07:00,21.6,-3.6
76,2014-12-29 06:00,28.8,-3.6
72,2014-12-29 05:00,25.2,-3.4
71,2014-12-29 04:00,28.8,-3.1
70,2014-12-29 03:00,39.6,-2.8
69,2014-12-29 02:00,43.2,-2.6
73,2014-12-29 01:00,43.2,-2.2
69,2014-12-29 00:00,46.8,-2
69,2014-12-28 23:00,43.2,-1.6
69,2014-12-28 22:00,36,-1.6
68,2014-12-28 21:00,43.2,-1.7
66,2014-12-28 20:00,32.4,-1.5
66,2014-12-28 19:00,39.6,-1.2
68,2014-12-28 18:00,32.4,-1.1
71,2014-12-28 17:00,28.8,-0.1
73,2014-12-28 16:00,32.4,0.8
70,2014-12-28 15:00,25.2,1.7
78,2014-12-28 14:00,7.2,1.5
91,2014-12-28 13:00,3.6,0.4
91,2014-12-28 12:00,3.6,0.3
88,2014-12-28 11:00,10.8,0.6
85,2014-12-28 10:00,3.6,0.4
90,2014-12-28 09:00,3.6,0.1
90,2014-12-28 08:00,7.2,0.2
92,2014-12-28 07:00,10.8,0.3
89,2014-12-28 06:00,14.4,0.7
84,2014-12-28 05:00,10.8,0.8
82,2014-12-28 04:00,18,1
84,2014-12-28 03:00,18,0.8
89,2014-12-28 02:00,10.8,0.4
86,2014-12-28 01:00,21.6,1.2
84,2014-12-28 00:00,14.4,1.4
94,2014-12-27 23:00,7.2,0.4
95,2014-12-27 22:00,14.4,0.5
75,2014-12-27 21:00,18,2.4
73,2014-12-27 20:00,25.2,2.7
75,2014-12-27 19:00,25.2,2.5
74,2014-12-27 18:00,18,2.7
85,2014-12-27 17:00,10.8,2.2
73,2014-12-27 16:00,14.4,3.3
71,2014-12-27 15:00,25.2,3.8
80,2014-12-27 14:00,21.6,3.6
84,2014-12-27 13:00,28.8,3.3
87,2014-12-27 12:00,32.4,2.7
86,2014-12-27 11:00,36,3
88,2014-12-27 10:00,36,2.8
91,2014-12-27 09:00,28.8,1.5
92,2014-12-27 08:00,18,0.7
92,2014-12-27 07:00,18,0.3
91,2014-12-27 06:00,25.2,0.3
92,2014-12-27 05:00,18,0.3
92,2014-12-27 04:00,14.4,0.4
83,2014-12-27 03:00,14.4,0.9
85,2014-12-27 02:00,10.8,0.5
88,2014-12-27 01:00,3.6,-1.9
85,2014-12-27 00:00,7.2,-1.5
83,2014-12-26 23:00,7.2,-1.4
78,2014-12-26 22:00,7.2,-1
71,2014-12-26 21:00,3.6,0.2
68,2014-12-26 20:00,3.6,1.3
63,2014-12-26 19:00,3.6,1.6
60,2014-12-26 18:00,7.2,2.5
57,2014-12-26 17:00,7.2,3.6
48,2014-12-26 16:00,7.2,5.4
44,2014-12-26 15:00,10.8,5.9
50,2014-12-26 14:00,10.8,5.5
56,2014-12-26 13:00,7.2,5.3
60,2014-12-26 12:00,10.8,5.2
64,2014-12-26 11:00,3.6,4.2
77,2014-12-26 10:00,3.6,1.2
85,2014-12-26 09:00,3.6,-0.7
84,2014-12-26 08:00,7.2,-1
83,2014-12-26 07:00,3.6,-0.6
87,2014-12-26 06:00,3.6,-1
81,2014-12-26 05:00,3.6,0.5
79,2014-12-26 04:00,7.2,0.8
78,2014-12-26 03:00,3.6,1.4
80,2014-12-26 02:00,3.6,0.8
78,2014-12-26 01:00,7.2,1.2
78,2014-12-26 00:00,7.2,0.4
71,2014-12-25 23:00,3.6,1.2
70,2014-12-25 22:00,7.2,0.9
64,2014-12-25 21:00,7.2,2.4
55,2014-12-25 20:00,10.8,4.7
53,2014-12-25 19:00,10.8,6.4
54,2014-12-25 18:00,10.8,7
62,2014-12-25 17:00,3.6,7.5
60,2014-12-25 16:00,10.8,8.5
50,2014-12-25 15:00,10.8,10.7
58,2014-12-25 14:00,10.8,10.2
66,2014-12-25 13:00,7.2,10.2
68,2014-12-25 12:00,10.8,8.8
80,2014-12-25 11:00,7.2,7
85,2014-12-25 10:00,3.6,5.6
89,2014-12-25 09:00,3.6,4.3
89,2014-12-25 08:00,7.2,3.9
81,2014-12-25 07:00,7.2,5
84,2014-12-25 06:00,3.6,4.4
90,2014-12-25 05:00,7.2,3.6
90,2014-12-25 04:00,7.2,3.4
91,2014-12-25 03:00,3.6,2.7
93,2014-12-25 02:00,3.6,2.3
94,2014-12-25 01:00,3.6,2
92,2014-12-25 00:00,7.2,1.7
89,2014-12-24 23:00,3.6,2.3
88,2014-12-24 22:00,7.2,3.7
90,2014-12-24 21:00,7.2,2.7
86,2014-12-24 20:00,3.6,4.1
89,2014-12-24 19:00,3.6,3.5
83,2014-12-24 18:00,7.2,4.9
69,2014-12-24 17:00,7.2,7.4
67,2014-12-24 16:00,10.8,8.4
59,2014-12-24 15:00,14.4,9.5
61,2014-12-24 14:00,18,9.4
67,2014-12-24 13:00,7.2,8.7
74,2014-12-24 12:00,3.6,7.2
79,2014-12-24 11:00,7.2,6.5
92,2014-12-24 10:00,0,2.2
92,2014-12-24 09:00,3.6,-0.1
