temp_min_c,temp_mean_c,temp_max_c,hum_mean_perc,time,wind_kmh
NaN,-3,NaN,NaN,2015-01-01 23:30,NaN
NaN,-3,NaN,NaN,2015-01-01 23:00,NaN
NaN,-3,NaN,NaN,2015-01-01 22:00,NaN
NaN,-3,NaN,NaN,2015-01-01 21:30,NaN
NaN,-4,NaN,NaN,2015-01-01 21:00,NaN
NaN,-2,NaN,NaN,2015-01-01 20:00,NaN
NaN,-1,NaN,NaN,2015-01-01 19:30,NaN
NaN,-1,NaN,NaN,2015-01-01 19:00,NaN
NaN,0,NaN,NaN,2015-01-01 18:00,NaN
NaN,1,NaN,NaN,2015-01-01 17:30,NaN
NaN,1,NaN,NaN,2015-01-01 17:00,NaN
NaN,2,NaN,NaN,2015-01-01 16:30,NaN
NaN,2,NaN,NaN,2015-01-01 16:00,NaN
NaN,1,NaN,NaN,2015-01-01 15:30,NaN
NaN,2,NaN,NaN,2015-01-01 15:00,NaN
NaN,2,NaN,NaN,2015-01-01 14:30,NaN
NaN,2,NaN,NaN,2015-01-01 14:00,NaN
NaN,2,NaN,NaN,2015-01-01 13:30,NaN
NaN,1,NaN,NaN,2015-01-01 13:00,NaN
NaN,1,NaN,NaN,2015-01-01 12:30,NaN
NaN,1,NaN,NaN,2015-01-01 12:00,NaN
NaN,1,NaN,NaN,2015-01-01 11:30,NaN
NaN,1,NaN,NaN,2015-01-01 11:00,NaN
NaN,1,NaN,NaN,2015-01-01 10:30,NaN
NaN,0,NaN,NaN,2015-01-01 10:00,NaN
NaN,-1,NaN,NaN,2015-01-01 09:30,NaN
NaN,-1,NaN,NaN,2015-01-01 09:00,NaN
NaN,-1,NaN,NaN,2015-01-01 08:30,NaN
NaN,-1,NaN,NaN,2015-01-01 08:00,NaN
NaN,-1,NaN,NaN,2015-01-01 07:30,NaN
NaN,-1,NaN,NaN,2015-01-01 07:00,NaN
NaN,-1,NaN,NaN,2015-01-01 06:30,NaN
NaN,-1,NaN,NaN,2015-01-01 06:00,NaN
NaN,-1,NaN,NaN,2015-01-01 05:30,NaN
NaN,0,NaN,NaN,2015-01-01 05:00,NaN
NaN,0,NaN,NaN,2015-01-01 04:00,NaN
NaN,0,NaN,NaN,2015-01-01 03:30,NaN
NaN,0,NaN,NaN,2015-01-01 03:00,NaN
NaN,0,NaN,NaN,2015-01-01 02:30,NaN
NaN,0,NaN,NaN,2015-01-01 02:00,NaN
NaN,0,NaN,NaN,2015-01-01 01:30,NaN
NaN,0,NaN,NaN,2015-01-01 01:00,NaN
NaN,0,NaN,NaN,2015-01-01 00:30,NaN
NaN,1,NaN,NaN,2015-01-01 00:00,NaN
NaN,0,NaN,NaN,2014-12-31 23:30,NaN
NaN,1,NaN,NaN,2014-12-31 23:00,NaN
NaN,1,NaN,NaN,2014-12-31 22:30,NaN
NaN,1,NaN,NaN,2014-12-31 22:00,NaN
NaN,1,NaN,NaN,2014-12-31 21:30,NaN
NaN,1,NaN,NaN,2014-12-31 21:00,NaN
NaN,1,NaN,NaN,2014-12-31 20:30,NaN
NaN,1,NaN,NaN,2014-12-31 20:00,NaN
NaN,1,NaN,NaN,2014-12-31 19:00,NaN
NaN,1,NaN,NaN,2014-12-31 18:30,NaN
NaN,1,NaN,NaN,2014-12-31 18:00,NaN
NaN,1,NaN,NaN,2014-12-31 17:30,NaN
NaN,2,NaN,NaN,2014-12-31 17:00,NaN
NaN,2,NaN,NaN,2014-12-31 16:00,NaN
