temp_min_c,temp_mean_c,temp_max_c,hum_mean_perc,time,wind_kmh
NaN,0.5,NaN,88,2015-01-01 23:00,14.4
NaN,1.1,NaN,85,2015-01-01 22:00,10.8
NaN,1.3,NaN,82,2015-01-01 21:00,10.8
NaN,1.3,NaN,83,2015-01-01 20:00,10.8
-6.3,1.9,6.4,83,2015-01-01 19:00,10.8
NaN,2.3,NaN,81,2015-01-01 18:00,10.8
NaN,2.9,NaN,78,2015-01-01 17:00,10.8
NaN,5,NaN,69,2015-01-01 16:00,7.2
NaN,5.4,NaN,67,2015-01-01 15:00,10.8
NaN,5.8,NaN,71,2015-01-01 14:00,7.2
NaN,4.6,NaN,76,2015-01-01 13:00,7.2
NaN,2.7,NaN,84,2015-01-01 12:00,7.2
NaN,0.6,NaN,94,2015-01-01 11:00,0
NaN,-2.8,NaN,93,2015-01-01 10:00,0
NaN,-6.2,NaN,93,2015-01-01 09:00,3.6
NaN,-4.9,NaN,94,2015-01-01 08:00,3.6
-5.7,-4.7,0.2,94,2015-01-01 07:00,0
NaN,-3.8,NaN,94,2015-01-01 06:00,3.6
NaN,-5.4,NaN,94,2015-01-01 05:00,3.6
NaN,-5,NaN,94,2015-01-01 04:00,3.6
NaN,-3.7,NaN,94,2015-01-01 03:00,0
NaN,-4.9,NaN,93,2015-01-01 02:00,0
NaN,-4.1,NaN,94,2015-01-01 01:00,3.6
NaN,-2.9,NaN,93,2015-01-01 00:00,3.6
NaN,-3.9,NaN,91,2014-12-31 23:00,0
NaN,-3.1,NaN,91,2014-12-31 22:00,3.6
NaN,-2.2,NaN,91,2014-12-31 21:00,0
NaN,-0.7,NaN,91,2014-12-31 20:00,0
-0.6,0.2,6.8,87,2014-12-31 19:00,3.6
NaN,0.2,NaN,84,2014-12-31 18:00,3.6
NaN,3.4,NaN,74,2014-12-31 17:00,7.2
NaN,4.3,NaN,72,2014-12-31 16:00,3.6
NaN,5.1,NaN,66,2014-12-31 15:00,3.6
NaN,6.8,NaN,62,2014-12-31 14:00,0
NaN,5.3,NaN,74,2014-12-31 13:00,3.6
NaN,4.3,NaN,90,2014-12-31 12:00,0
NaN,1.8,NaN,97,2014-12-31 11:00,0
NaN,-0.2,NaN,97,2014-12-31 10:00,0
NaN,-0.4,NaN,97,2014-12-31 09:00,0
NaN,-0.3,NaN,97,2014-12-31 08:00,0
-0.3,0,0.9,98,2014-12-31 07:00,0
NaN,0.1,NaN,98,2014-12-31 06:00,0
NaN,0.1,NaN,98,2014-12-31 05:00,0
NaN,-0.1,NaN,98,2014-12-31 04:00,0
NaN,-0.1,NaN,98,2014-12-31 03:00,0
NaN,-0.2,NaN,98,2014-12-31 02:00,0
NaN,-0.2,NaN,98,2014-12-31 01:00,0
NaN,-0.1,NaN,98,2014-12-31 00:00,3.6
NaN,-0.2,NaN,98,2014-12-30 23:00,3.6
NaN,0,NaN,98,2014-12-30 22:00,7.2
NaN,0.4,NaN,98,2014-12-30 21:00,7.2
