hum_mean_perc,time,wind_kmh,temp
87,2010-01-20 22:00,10.8,28.2
89,2010-01-21 19:00,7.2,27.1
92,2010-01-22 07:00,0,26
78,2010-01-22 10:00,7.2,29.7
81,2010-01-22 13:00,14.4,29.5
76,2010-01-22 16:00,14.4,30.4
79,2010-01-22 19:00,7.2,29.8
90,2010-01-22 22:00,3.6,27.6
93,2010-01-24 07:00,3.6,26.5
78,2010-01-24 10:00,7.2,29.6
90,2010-01-24 16:00,7.2,26.4
93,2010-01-24 19:00,7.2,24.3
92,2010-01-24 22:00,0,24.5
80,2010-01-25 10:00,10.8,28.3
85,2010-01-25 19:00,14.4,28.4
91,2010-01-25 22:00,18,23.5
94,2010-01-26 07:00,7.2,24.2
79,2010-01-26 10:00,7.2,27.8
NaN,2010-01-26 16:00,NaN,NaN
93,2010-01-27 10:00,10.8,29.4
82,2010-01-27 13:00,18,30
73,2010-01-29 10:00,7.2,30.6
91,2010-02-01 07:00,10.8,28.2
81,2010-02-01 10:00,18,30.2
78,2010-02-01 13:00,21.6,31
86,2010-02-01 16:00,14.4,26.8
92,2010-02-01 19:00,14.4,27.6
89,2010-02-01 22:00,18,28.4
88,2010-02-02 10:00,18,27.5
81,2010-02-02 13:00,21.6,29
94,2010-02-03 07:00,7.2,26.7
80,2010-02-03 10:00,7.2,29.5
74,2010-02-03 13:00,14.4,30.5
76,2010-02-03 19:00,14.4,29.4
84,2010-02-03 22:00,10.8,28.4
96,2010-02-04 07:00,0,26.5
87,2010-02-04 10:00,NaN,28.5
71,2010-02-04 13:00,18,31.5
76,2010-02-04 16:00,18,31
82,2010-02-04 19:00,14.4,29.4
94,2010-02-05 07:00,7.2,27.5
83,2010-02-05 10:00,7.2,30
82,2010-02-05 19:00,14.4,29.5
88,2010-02-06 07:00,3.6,27.9
NaN,2010-02-06 13:00,14.4,NaN
73,2010-02-06 16:00,21.6,31.4
80,2010-02-06 19:00,10.8,29.8
82,2010-02-06 22:00,10.8,29.4
88,2010-02-07 07:00,7.2,28
90,2010-02-07 10:00,7.2,27.4
76,2010-02-07 13:00,10.8,30.6
75,2010-02-07 16:00,21.6,30.6
82,2010-02-07 19:00,10.8,29.5
95,2010-02-07 22:00,10.8,25.4
98,2010-02-08 07:00,7.2,24
91,2010-02-08 10:00,7.2,26.5
94,2010-02-09 07:00,0,26.2
85,2010-02-09 10:00,10.8,27.5
68,2010-02-09 16:00,14.4,30.4
78,2010-02-09 19:00,10.8,29
83,2010-02-10 07:00,7.2,27.7
74,2010-02-10 10:00,21.6,30
70,2010-02-10 13:00,18,31
72,2010-02-10 16:00,18,30.5
76,2010-02-10 19:00,10.8,28.9
79,2010-02-10 22:00,14.4,28.6
85,2010-02-11 07:00,0,27.3
75,2010-02-11 10:00,14.4,30
70,2010-02-11 13:00,18,31
92,2010-02-12 07:00,3.6,24.5
72,2010-02-12 16:00,14.4,30.8
94,2010-02-13 07:00,0,27.4
81,2010-02-13 10:00,7.2,30.2
83,2010-02-13 13:00,10.8,29.8
70,2010-02-13 16:00,14.4,31.7
79,2010-02-13 19:00,10.8,30.4
80,2010-02-14 19:00,10.8,29.1
95,2010-02-15 07:00,0,25.6
79,2010-02-15 10:00,3.6,29.7
76,2010-02-16 10:00,10.8,30.4
73,2010-02-16 16:00,18,31
NaN,2010-02-16 22:00,NaN,NaN
87,2010-02-17 07:00,7.2,27.8
