hum_mean_perc,time,wind_kmh,temp
80,2010-01-26 18:00,21.6,29.5
77,2010-02-05 09:00,7.2,29.5
55,2010-02-07 12:00,7.2,33
65,2010-02-11 12:00,21.6,32
84,2010-03-02 00:00,18,29
80,2010-03-20 00:00,14.4,29.1
80,2010-03-23 00:00,0,29.5
78,2010-03-24 18:00,25.2,30.5
78,2010-03-29 18:00,18,30.6
80,2010-04-04 00:00,7.2,29.5
54,2010-04-06 12:00,7.2,32.7
82,2010-04-07 00:00,7.2,28
56,2010-04-13 12:00,25.2,33.3
78,2010-04-15 18:00,28.8,31
74,2010-04-16 18:00,21.6,30
83,2010-04-19 06:00,7.2,27.5
79,2010-04-21 21:00,0,29.5
74,2010-04-22 18:00,25.2,30.5
48,2010-04-28 00:00,3.6,37.1
77,2010-05-12 18:00,25.2,30
80,2010-05-13 00:00,7.2,29.1
77,2010-05-19 00:00,14.4,28.5
83,2010-05-22 00:00,0,28
83,2010-05-26 00:00,18,28.5
90,2010-05-26 03:00,18,27.5
90,2010-05-31 00:00,18,25
66,2010-06-02 12:00,18,31.5
90,2010-06-03 00:00,0,26
90,2010-06-06 00:00,0,26.5
94,2010-06-06 06:00,0,25.5
86,2010-06-08 00:00,10.8,28.1
78,2010-06-08 18:00,18,27.5
86,2010-06-11 21:00,14.4,27
87,2010-06-12 00:00,10.8,27
82,2010-06-14 12:00,14.4,27.9
90,2010-06-15 03:00,0,26
90,2010-06-15 06:00,0,25
90,2010-06-18 00:00,10.8,26
93,2010-06-22 00:00,0,26
90,2010-06-26 00:00,10.8,25
83,2010-06-27 00:00,18,26
70,2010-07-02 12:00,18,29.6
74,2010-07-03 12:00,21.6,29
90,2010-07-06 03:00,7.2,24.5
87,2010-07-08 00:00,14.4,25.4
87,2010-07-09 00:00,18,26
85,2010-07-12 00:00,14.4,24.8
73,2010-07-14 12:00,25.2,28.4
88,2010-07-27 00:00,18,25.3
90,2010-07-28 00:00,14.4,25
87,2010-07-29 00:00,7.2,24.2
75,2010-07-29 18:00,21.6,26
90,2010-08-01 00:00,7.2,24
81,2010-08-03 18:00,21.6,26.8
67,2010-08-04 12:00,21.6,29
87,2010-08-05 00:00,18,25
87,2010-08-06 00:00,25.2,25
94,2010-08-12 06:00,21.6,23.5
90,2010-08-13 06:00,64.8,24
89,2010-08-17 00:00,18,26.2
92,2010-08-18 00:00,18,24.6
76,2010-08-19 09:00,7.2,27
91,2010-08-21 00:00,3.6,22.8
90,2010-08-22 06:00,21.6,24.5
84,2010-08-23 00:00,18,25
87,2010-08-25 00:00,10.8,25
87,2010-08-26 00:00,18,25
90,2010-08-30 00:00,21.6,25
84,2010-08-31 18:00,25.2,25.6
90,2010-09-01 00:00,14.4,25
86,2010-09-02 00:00,7.2,25
82,2010-09-03 00:00,14.4,25.5
87,2010-09-06 00:00,25.2,25.1
90,2010-09-07 00:00,14.4,25.1
89,2010-09-10 00:00,10.8,25.2
69,2010-09-14 12:00,21.6,28.9
90,2010-09-15 00:00,14.4,25
90,2010-09-15 03:00,7.2,25
79,2010-09-16 18:00,25.2,27
87,2010-09-18 00:00,21.6,26
84,2010-09-30 00:00,14.4,26.5
67,2010-10-06 12:00,25.2,29
90,2010-10-07 06:00,10.8,24.5
92,2010-10-21 00:00,3.6,23.2
80,2010-11-01 00:00,7.2,27.5
90,2010-11-02 00:00,0,25.5
82,2010-11-05 00:00,10.8,27.2
87,2010-11-12 00:00,7.2,27
80,2010-11-12 18:00,28.8,29
80,2010-11-18 18:00,14.4,28.5
82,2010-11-30 00:00,3.6,27.2
80,2010-12-03 00:00,7.2,28.5
90,2010-12-05 06:00,3.6,25.1
77,2010-12-19 09:00,3.6,29
90,2010-12-23 06:00,3.6,26
87,2010-12-24 00:00,0,27.5
87,2010-12-31 00:00,3.6,26
90,2010-12-31 03:00,3.6,25
68,2011-01-01 00:00,0,25.2
85,2011-01-05 00:00,3.6,27.9
90,2011-01-05 03:00,7.2,26.5
72,2011-01-12 03:00,0,25
87,2011-01-20 00:00,0,26
59,2011-01-20 12:00,14.4,31.5
85,2011-01-21 00:00,0,26.8
83,2011-02-01 03:00,3.6,27
90,2011-02-01 06:00,7.2,26
81,2011-02-06 03:00,3.6,25.8
80,2011-02-09 00:00,10.8,27.8
83,2011-02-10 00:00,18,28
85,2011-02-12 00:00,7.2,27
83,2011-02-17 00:00,14.4,27.8
79,2011-02-22 00:00,3.6,28.3
89,2011-02-25 00:00,3.6,25
88,2011-02-27 06:00,3.6,25.8
81,2011-03-01 00:00,10.8,27.5
82,2011-03-01 03:00,3.6,26.8
80,2011-03-01 09:00,14.4,27.6
82,2011-03-02 00:00,7.2,28.2
74,2011-03-02 18:00,18,29.4
58,2011-03-22 12:00,18,32.3
83,2011-03-25 00:00,18,28
53,2011-03-31 12:00,28.8,34
83,2011-04-01 00:00,14.4,28
80,2011-04-02 00:00,7.2,27.7
82,2011-04-02 03:00,3.6,27
81,2011-04-07 00:00,18,28.5
72,2011-04-14 00:00,3.6,27.9
76,2011-04-14 03:00,3.6,27
83,2011-04-17 00:00,7.2,28.3
78,2011-04-22 00:00,14.4,29
87,2011-04-25 00:00,10.8,26.7
80,2011-05-19 00:00,25.2,28.9
NaN,2011-05-21 18:00,28.8,38.8
83,2011-05-23 00:00,3.6,26.5
80,2011-05-24 00:00,7.2,27.5
83,2011-06-01 00:00,7.2,26.5
88,2011-06-09 00:00,18,22.7
83,2011-06-12 18:00,14.4,25.3
84,2011-06-18 00:00,18,26.1
83,2011-06-19 12:00,18,26.5
71,2011-07-01 12:00,25.2,28.3
87,2011-07-07 00:00,14.4,26
73,2011-07-07 12:00,18,28
92,2011-07-10 18:00,18,24
81,2011-07-11 12:00,14.4,26.5
85,2011-07-27 00:00,18,23.5
81,2011-08-01 00:00,18,24.5
79,2011-08-09 09:00,18,25
62,2011-08-20 18:00,21.6,27
72,2011-08-29 12:00,14.4,26.5
67,2011-08-30 12:00,108,29
88,2011-09-01 00:00,18,23.8
77,2011-09-03 18:00,28.8,25.8
81,2011-09-06 00:00,14.4,25.4
74,2011-09-08 09:00,21.6,26.9
83,2011-09-08 12:00,25.2,25
64,2011-09-11 12:00,18,29
66,2011-09-14 12:00,18,28.7
77,2011-09-16 18:00,18,25.8
84,2011-09-30 00:00,3.6,25.8
61,2011-09-30 12:00,18,31
86,2011-10-01 00:00,18,25.2
66,2011-10-02 12:00,18,30.5
82,2011-10-10 18:00,21.6,26.7
67,2011-10-14 12:00,21.6,30.7
87,2011-10-15 00:00,7.2,26
90,2011-10-19 00:00,3.6,23
76,2011-10-25 12:00,14.4,27.4
82,2011-10-25 18:00,21.6,25.5
84,2011-10-28 00:00,7.2,25.8
59,2011-10-29 12:00,7.2,31.6
80,2011-10-31 00:00,25.2,27.7
73,2011-10-31 12:00,18,29.6
76,2011-11-07 09:00,14.4,28.9
65,2011-11-07 12:00,14.4,32.1
61,2011-11-13 12:00,21.6,32
87,2011-11-17 00:00,3.6,27.5
91,2011-11-20 06:00,7.2,25.6
85,2011-11-23 06:00,7.2,24.5
87,2011-12-05 00:00,7.2,27.5
66,2011-12-06 15:00,18,32
85,2011-12-10 21:00,7.2,28
39,2011-12-16 12:00,21.6,32.5
87,2012-01-11 00:00,10.8,28
77,2012-01-16 03:00,7.2,24
80,2012-02-02 18:00,18,28.5
80,2012-02-05 18:00,14.4,28
81,2012-02-07 06:00,0,25
40,2012-02-09 09:00,0,28.5
81,2012-02-12 09:00,18,27.8
63,2012-02-12 12:00,14.4,31.5
87,2012-02-13 06:00,7.2,25.7
83,2012-02-14 18:00,32.4,28.5
90,2012-02-25 03:00,3.6,26
78,2012-03-06 15:00,28.8,31
66,2012-03-15 15:00,25.2,32.8
77,2012-03-19 09:00,10.8,29.5
72,2012-03-27 18:00,21.6,30
64,2012-03-31 12:00,18,32.8
94,2012-04-05 06:00,3.6,25.6
65,2012-04-08 15:00,28.8,32
69,2012-04-10 09:00,3.6,29.7
63,2012-04-20 12:00,14.4,30.1
74,2012-04-20 18:00,18,28.4
58,2012-04-26 15:00,21.6,31.5
67,2012-04-26 18:00,18,29.5
59,2012-04-27 12:00,21.6,32.1
79,2012-04-29 18:00,21.6,29.8
83,2012-05-07 06:00,0,27.5
65,2012-05-09 12:00,10.8,30.5
82,2012-06-12 00:00,14.4,27
87,2012-06-13 06:00,14.4,25.5
75,2012-06-13 18:00,25.2,27.5
87,2012-06-15 06:00,10.8,26
79,2012-06-16 18:00,28.8,26.8
90,2012-06-25 06:00,18,24.5
82,2012-06-28 09:00,25.2,24.5
84,2012-06-29 12:00,21.6,26.3
90,2012-06-30 00:00,25.2,25
90,2012-06-30 03:00,21.6,24.5
85,2012-07-01 00:00,50.4,25.3
75,2012-07-02 12:00,25.2,27.2
73,2012-07-03 12:00,25.2,27.5
89,2012-07-05 06:00,18,24.7
70,2012-07-05 12:00,21.6,28
92,2012-07-06 06:00,32.4,23.1
