hum_mean_perc,time,wind_kmh,temp
89,2012-01-10 00:55,10.8,25
79,2012-01-10 10:02,10.8,27
74,2012-01-10 10:56,18,28
79,2012-01-10 11:57,21.6,28
74,2012-01-10 12:55,21.6,28
70,2012-01-10 13:55,25.2,29
74,2012-01-10 14:57,21.6,28
79,2012-01-10 16:57,18,27
84,2012-01-10 17:56,18,26
84,2012-01-10 18:55,10.8,26
84,2012-01-10 20:00,10.8,26
84,2012-01-10 21:00,14.4,26
84,2012-01-10 23:00,18,26
79,2012-01-12 00:54,10.8,28
89,2012-01-12 04:00,14.4,26
89,2012-01-12 04:56,10.8,26
89,2012-01-12 05:55,14.4,26
89,2012-01-12 06:55,14.4,26
84,2012-01-12 07:54,14.4,28
74,2012-01-12 08:47,21.6,29
70,2012-01-12 10:03,14.4,30
62,2012-01-12 10:57,14.4,31
59,2012-01-12 11:45,21.6,32
59,2012-01-12 12:54,18,32
62,2012-01-12 13:55,21.6,31
59,2012-01-12 14:50,18,32
66,2012-01-12 15:55,18,31
74,2012-01-12 16:55,14.4,29
79,2012-01-12 17:50,18,29
79,2012-01-12 18:54,18,29
84,2012-01-12 19:54,18,28
79,2012-01-12 21:05,18,28
84,2012-01-12 21:56,18,28
84,2012-01-12 22:59,14.4,28
84,2012-02-10 00:00,18,26
89,2012-02-10 01:00,10.8,25
94,2012-02-10 02:58,7.2,24
94,2012-02-10 03:57,7.2,24
94,2012-02-10 04:57,7.2,24
94,2012-02-10 06:00,10.8,24
89,2012-02-10 07:00,10.8,25
84,2012-02-10 07:57,14.4,26
70,2012-02-10 08:56,18,28
74,2012-02-10 09:56,14.4,28
74,2012-02-10 10:56,10.8,28
70,2012-02-10 11:56,10.8,29
66,2012-02-10 12:57,18,30
70,2012-02-10 13:59,21.6,29
74,2012-02-10 14:57,21.6,28
79,2012-02-10 15:55,21.6,27
84,2012-02-10 17:01,25.2,26
84,2012-02-10 18:00,18,26
84,2012-02-10 19:00,14.4,26
84,2012-02-10 19:58,14.4,26
84,2012-02-10 20:58,18,26
84,2012-02-10 21:56,14.4,26
89,2012-02-10 22:56,14.4,25
94,2012-02-10 23:57,18,24
84,2012-02-12 00:01,14.4,28
94,2012-02-12 02:57,14.4,26
89,2012-02-12 06:00,18,26
89,2012-02-12 06:59,18,26
84,2012-02-12 08:00,21.6,27
79,2012-02-12 09:00,25.2,28
70,2012-02-12 10:00,18,30
59,2012-02-12 11:00,18,32
63,2012-02-12 12:00,10.8,32
74,2012-02-12 13:03,18,29
74,2012-02-12 14:00,14.4,28
70,2012-02-12 15:00,18,29
74,2012-02-12 16:00,18,29
74,2012-02-12 17:00,14.4,27
79,2012-02-12 18:00,10.8,27
79,2012-02-12 19:00,18,27
84,2012-02-12 19:54,10.8,26
84,2012-02-12 20:53,14.4,26
