hum_mean_perc,time,wind_kmh,temp
94,2015-01-01 00:00,0,19.9
94,2015-01-01 00:00,0,19.9
96,2015-01-01 03:00,0,18.8
96,2015-01-01 03:00,0,18.8
74,2015-01-01 09:00,0,23.5
74,2015-01-01 09:00,0,23.5
61,2015-01-01 12:00,3.6,27.1
61,2015-01-01 12:00,3.6,27.1
91,2015-01-01 15:00,10.8,20.1
91,2015-01-01 15:00,10.8,20.1
91,2015-01-01 18:00,18,18
91,2015-01-01 18:00,18,18
92,2015-01-01 21:00,0,18.5
92,2015-01-01 21:00,0,18.5
92,2015-01-02 00:00,0,18.4
92,2015-01-02 00:00,0,18.4
93,2015-01-02 03:00,0,17.3
93,2015-01-02 03:00,0,17.3
95,2015-01-02 06:00,0,17.5
95,2015-01-02 06:00,0,17.5
75,2015-01-02 09:00,0,22.5
75,2015-01-02 09:00,0,22.5
61,2015-01-02 12:00,0,26
61,2015-01-02 12:00,0,26
72,2015-01-02 15:00,18,24.7
72,2015-01-02 15:00,18,24.7
85,2015-01-02 18:00,14.4,21.8
85,2015-01-02 18:00,14.4,21.8
92,2015-01-02 21:00,0,19.9
92,2015-01-02 21:00,0,19.9
91,2015-01-03 00:00,0,19.6
91,2015-01-03 00:00,0,19.6
95,2015-01-03 03:00,0,19.3
95,2015-01-03 03:00,0,19.3
91,2015-01-03 06:00,0,19.5
91,2015-01-03 06:00,0,19.5
88,2015-01-03 09:00,3.6,20.9
88,2015-01-03 09:00,3.6,20.9
88,2015-01-03 12:00,7.2,22.1
88,2015-01-03 12:00,7.2,22.1
83,2015-01-03 15:00,7.2,23.8
83,2015-01-03 15:00,7.2,23.8
81,2015-01-03 18:00,3.6,22.2
81,2015-01-03 18:00,3.6,22.2
94,2015-01-03 21:00,0,19
94,2015-01-03 21:00,0,19
94,2015-01-04 03:00,0,18.8
94,2015-01-04 03:00,0,18.8
91,2015-01-04 06:00,0,18
91,2015-01-04 06:00,0,18
81,2015-01-04 09:00,10.8,21.3
81,2015-01-04 09:00,10.8,21.3
65,2015-01-04 15:00,18,26.5
65,2015-01-04 15:00,18,26.5
77,2015-01-04 18:00,7.2,22.5
77,2015-01-04 18:00,7.2,22.5
96,2015-01-04 21:00,3.6,19
96,2015-01-04 21:00,3.6,19
95,2015-01-05 00:00,3.6,19.1
95,2015-01-05 00:00,3.6,19.1
96,2015-01-05 03:00,3.6,18.8
96,2015-01-05 03:00,3.6,18.8
93,2015-01-05 06:00,0,18
93,2015-01-05 06:00,0,18
76,2015-01-05 09:00,7.2,22
76,2015-01-05 09:00,7.2,22
78,2015-01-05 15:00,14.4,24.2
78,2015-01-05 15:00,14.4,24.2
92,2015-01-05 18:00,3.6,20.6
92,2015-01-05 18:00,3.6,20.6
93,2015-01-05 21:00,3.6,18.4
93,2015-01-05 21:00,3.6,18.4
90,2015-01-06 00:00,0,19.2
90,2015-01-06 00:00,0,19.2
95,2015-01-06 03:00,0,19
95,2015-01-06 03:00,0,19
96,2015-01-06 06:00,0,18.3
96,2015-01-06 06:00,0,18.3
78,2015-01-06 09:00,NaN,21.9
78,2015-01-06 09:00,NaN,21.9
60,2015-01-06 12:00,7.2,26.7
60,2015-01-06 12:00,7.2,26.7
92,2015-01-06 15:00,7.2,22.1
92,2015-01-06 15:00,7.2,22.1
95,2015-01-06 18:00,7.2,20.2
95,2015-01-06 18:00,7.2,20.2
89,2015-01-06 21:00,3.6,20
89,2015-01-06 21:00,3.6,20
94,2015-01-07 00:00,0,19.4
94,2015-01-07 00:00,0,19.4
94,2015-01-07 03:00,0,19.4
94,2015-01-07 03:00,0,19.4
95,2015-01-07 06:00,0,19
95,2015-01-07 06:00,0,19
85,2015-01-07 09:00,0,21.5
85,2015-01-07 09:00,0,21.5
61,2015-01-07 15:00,3.6,26.7
61,2015-01-07 15:00,3.6,26.7
90,2015-01-07 18:00,3.6,23.3
90,2015-01-07 18:00,3.6,23.3
96,2015-01-07 21:00,14.4,18.8
96,2015-01-07 21:00,14.4,18.8
95,2015-01-08 06:00,0,19
95,2015-01-08 06:00,0,19
81,2015-01-08 09:00,3.6,22.3
81,2015-01-08 09:00,3.6,22.3
61,2015-01-08 12:00,3.6,27
61,2015-01-08 12:00,3.6,27
59,2015-01-08 15:00,3.6,27.5
59,2015-01-08 15:00,3.6,27.5
91,2015-01-08 18:00,3.6,20.5
91,2015-01-08 18:00,3.6,20.5
95,2015-01-08 21:00,3.6,19
95,2015-01-08 21:00,3.6,19
96,2015-01-09 00:00,0,19.1
96,2015-01-09 00:00,0,19.1
95,2015-01-09 06:00,0,19.2
95,2015-01-09 06:00,0,19.2
63,2015-01-09 12:00,3.6,25.2
63,2015-01-09 12:00,3.6,25.2
87,2015-01-09 15:00,14.4,21.6
87,2015-01-09 15:00,14.4,21.6
87,2015-01-09 18:00,0,21.5
87,2015-01-09 18:00,0,21.5
94,2015-01-09 21:00,3.6,20.1
94,2015-01-09 21:00,3.6,20.1
96,2015-01-10 00:00,0,19.2
96,2015-01-10 00:00,0,19.2
94,2015-01-10 03:00,0,19.7
94,2015-01-10 03:00,0,19.7
91,2015-01-10 06:00,3.6,20.1
91,2015-01-10 06:00,3.6,20.1
78,2015-01-10 09:00,7.2,22.4
78,2015-01-10 09:00,7.2,22.4
73,2015-01-10 13:00,14.4,24
73,2015-01-10 13:00,14.4,24
93,2015-01-10 15:00,7.2,21.2
93,2015-01-10 15:00,7.2,21.2
82,2015-01-10 21:00,3.6,20.2
82,2015-01-10 21:00,3.6,20.2
93,2015-01-11 03:00,0,19.2
93,2015-01-11 03:00,0,19.2
72,2015-01-11 09:00,25.2,23
72,2015-01-11 09:00,25.2,23
68,2015-01-11 12:00,21.6,25.8
68,2015-01-11 12:00,21.6,25.8
96,2015-01-11 15:00,14.4,22
96,2015-01-11 15:00,14.4,22
84,2015-01-11 18:00,14.4,22.4
84,2015-01-11 18:00,14.4,22.4
93,2015-01-11 21:00,7.2,20.3
93,2015-01-11 21:00,7.2,20.3
96,2015-01-12 00:00,3.6,19.2
96,2015-01-12 00:00,3.6,19.2
96,2015-01-12 03:00,0,18.5
96,2015-01-12 03:00,0,18.5
96,2015-01-12 06:00,0,18.5
96,2015-01-12 06:00,0,18.5
76,2015-01-12 09:00,10.8,23
76,2015-01-12 09:00,10.8,23
66,2015-01-12 12:00,10.8,27.4
66,2015-01-12 12:00,10.8,27.4
90,2015-01-12 15:00,3.6,21
90,2015-01-12 15:00,3.6,21
94,2015-01-12 18:00,3.6,19.8
94,2015-01-12 18:00,3.6,19.8
96,2015-01-12 21:00,7.2,17.8
96,2015-01-12 21:00,7.2,17.8
96,2015-01-13 00:00,3.6,18
96,2015-01-13 00:00,3.6,18
96,2015-01-13 03:00,0,17.9
96,2015-01-13 03:00,0,17.9
96,2015-01-13 06:00,3.6,17.9
96,2015-01-13 06:00,3.6,17.9
73,2015-01-13 09:00,0,22.6
73,2015-01-13 09:00,0,22.6
56,2015-01-13 12:00,0,26.2
56,2015-01-13 12:00,0,26.2
70,2015-01-13 15:00,14.4,24.5
70,2015-01-13 15:00,14.4,24.5
73,2015-01-13 18:00,3.6,23.4
73,2015-01-13 18:00,3.6,23.4
96,2015-01-13 21:00,0,18.8
96,2015-01-13 21:00,0,18.8
96,2015-01-14 00:00,0,18.6
96,2015-01-14 00:00,0,18.6
96,2015-01-14 03:00,0,18.5
96,2015-01-14 03:00,0,18.5
95,2015-01-14 06:00,0,18.6
95,2015-01-14 06:00,0,18.6
85,2015-01-14 09:00,0,20.8
85,2015-01-14 09:00,0,20.8
66,2015-01-14 12:00,7.2,24.4
66,2015-01-14 12:00,7.2,24.4
64,2015-01-14 15:00,10.8,25.1
64,2015-01-14 15:00,10.8,25.1
83,2015-01-14 18:00,3.6,22.8
83,2015-01-14 18:00,3.6,22.8
90,2015-01-15 00:00,3.6,19.3
90,2015-01-15 00:00,3.6,19.3
94,2015-01-15 06:00,0,19
94,2015-01-15 06:00,0,19
79,2015-01-15 09:00,3.6,21.5
79,2015-01-15 09:00,3.6,21.5
76,2015-01-15 12:00,14.4,22.4
76,2015-01-15 12:00,14.4,22.4
66,2015-01-15 15:00,3.6,25.6
66,2015-01-15 15:00,3.6,25.6
85,2015-01-15 18:00,3.6,20.8
85,2015-01-15 18:00,3.6,20.8
92,2015-01-16 00:00,0,19
92,2015-01-16 00:00,0,19
92,2015-01-16 03:00,7.2,18.8
92,2015-01-16 03:00,7.2,18.8
92,2015-01-16 06:00,3.6,18.2
92,2015-01-16 06:00,3.6,18.2
91,2015-01-16 09:00,14.4,20
91,2015-01-16 09:00,14.4,20
82,2015-01-16 12:00,14.4,22.6
82,2015-01-16 12:00,14.4,22.6
94,2015-01-16 15:00,18,20.1
94,2015-01-16 15:00,18,20.1
94,2015-01-16 18:00,3.6,19.6
94,2015-01-16 18:00,3.6,19.6
93,2015-01-16 21:00,18,19.3
93,2015-01-16 21:00,18,19.3
93,2015-01-17 00:00,14.4,19.6
93,2015-01-17 00:00,14.4,19.6
92,2015-01-17 03:00,39.6,17.8
92,2015-01-17 03:00,39.6,17.8
92,2015-01-17 06:00,36,19.1
92,2015-01-17 06:00,36,19.1
83,2015-01-17 09:00,36,20.6
83,2015-01-17 09:00,36,20.6
95,2015-01-17 12:00,32.4,19.8
95,2015-01-17 12:00,32.4,19.8
76,2015-01-17 15:00,28.8,22.7
76,2015-01-17 15:00,28.8,22.7
87,2015-01-17 18:00,18,21
87,2015-01-17 18:00,18,21
92,2015-01-17 21:00,7.2,19.7
92,2015-01-17 21:00,7.2,19.7
93,2015-01-18 00:00,10.8,19.3
93,2015-01-18 00:00,10.8,19.3
95,2015-01-18 03:00,10.8,18.8
95,2015-01-18 03:00,10.8,18.8
92,2015-01-18 06:00,3.6,18.4
92,2015-01-18 06:00,3.6,18.4
80,2015-01-18 09:00,14.4,21.6
80,2015-01-18 09:00,14.4,21.6
69,2015-01-18 12:00,14.4,24.4
69,2015-01-18 12:00,14.4,24.4
61,2015-01-18 15:00,3.6,27.9
61,2015-01-18 15:00,3.6,27.9
71,2015-01-18 18:00,14.4,23
71,2015-01-18 18:00,14.4,23
85,2015-01-18 21:00,3.6,20.8
85,2015-01-18 21:00,3.6,20.8
91,2015-01-19 00:00,3.6,19.5
91,2015-01-19 00:00,3.6,19.5
96,2015-01-19 03:00,0,19
