hum_mean_perc,time,wind_kmh,temp
94,2015-01-01 00:00,3.6,24
94,2015-01-01 00:00,3.6,24
94,2015-01-01 01:00,3.6,24
94,2015-01-01 01:00,3.6,24
100,2015-01-01 02:00,3.6,23
100,2015-01-01 02:00,3.6,23
94,2015-01-01 03:00,3.6,24
94,2015-01-01 03:00,3.6,24
100,2015-01-01 04:00,0,23
100,2015-01-01 04:00,0,23
94,2015-01-01 05:00,0,24
94,2015-01-01 05:00,0,24
94,2015-01-01 06:00,0,24
94,2015-01-01 06:00,0,24
94,2015-01-01 07:00,0,25
94,2015-01-01 07:00,0,25
79,2015-01-01 08:00,0,28
79,2015-01-01 08:00,0,28
74,2015-01-01 09:00,7.2,29
74,2015-01-01 09:00,7.2,29
74,2015-01-01 10:00,7.2,29
74,2015-01-01 10:00,7.2,29
79,2015-01-01 11:00,10.8,30
79,2015-01-01 11:00,10.8,30
70,2015-01-01 12:00,10.8,30
70,2015-01-01 12:00,10.8,30
66,2015-01-01 13:00,10.8,31
66,2015-01-01 13:00,10.8,31
70,2015-01-01 14:00,7.2,30
70,2015-01-01 14:00,7.2,30
79,2015-01-01 15:00,7.2,29
79,2015-01-01 15:00,7.2,29
79,2015-01-01 16:00,7.2,29
79,2015-01-01 16:00,7.2,29
79,2015-01-01 17:00,0,29
79,2015-01-01 17:00,0,29
79,2015-01-01 18:00,0,29
79,2015-01-01 18:00,0,29
94,2015-01-01 19:00,7.2,25
94,2015-01-01 19:00,7.2,25
94,2015-01-01 20:00,7.2,25
94,2015-01-01 20:00,7.2,25
100,2015-01-01 21:00,0,24
100,2015-01-01 21:00,0,24
100,2015-02-01 00:00,0,24
100,2015-02-01 00:00,0,24
100,2015-02-01 01:00,0,24
100,2015-02-01 01:00,0,24
100,2015-02-01 02:00,0,24
100,2015-02-01 02:00,0,24
94,2015-02-01 03:00,0,24
94,2015-02-01 03:00,0,24
94,2015-02-01 04:00,0,24
94,2015-02-01 04:00,0,24
94,2015-02-01 05:00,0,24
94,2015-02-01 05:00,0,24
94,2015-02-01 06:00,0,24
94,2015-02-01 06:00,0,24
89,2015-02-01 07:00,0,26
89,2015-02-01 07:00,0,26
79,2015-02-01 08:00,3.6,28
79,2015-02-01 08:00,3.6,28
70,2015-02-01 09:00,3.6,30
70,2015-02-01 09:00,3.6,30
70,2015-02-01 10:00,7.2,30
