hum_mean_perc,time,wind_kmh,temp
82,2015-01-31 21:00,14.4,14.9
69,2015-01-31 18:00,10.8,17.1
61,2015-01-31 15:00,14.4,18.8
68,2015-01-31 12:00,7.2,17.1
87,2015-01-31 09:00,7.2,12
91,2015-01-31 06:00,7.2,11.1
92,2015-01-31 03:00,7.2,11
90,2015-01-31 00:00,7.2,10.7
84,2015-01-30 21:00,3.6,12.2
66,2015-01-30 18:00,7.2,16.7
61,2015-01-30 15:00,10.8,17.8
62,2015-01-30 12:00,7.2,16.8
91,2015-01-30 06:00,3.6,10.1
87,2015-01-30 03:00,3.6,11.8
86,2015-01-30 00:00,7.2,11.8
87,2015-01-29 21:00,7.2,11
74,2015-01-29 18:00,10.8,14.6
64,2015-01-29 15:00,10.8,16.8
91,2015-01-29 12:00,3.6,14
95,2015-01-29 09:00,10.8,9.5
94,2015-01-29 06:00,7.2,8.5
93,2015-01-29 03:00,7.2,7.2
92,2015-01-29 00:00,10.8,8.5
90,2015-01-28 21:00,7.2,10.6
78,2015-01-28 18:00,10.8,14.6
63,2015-01-28 15:00,21.6,17.3
72,2015-01-28 12:00,3.6,15.1
93,2015-01-28 09:00,10.8,10.5
92,2015-01-28 06:00,7.2,8.3
92,2015-01-28 03:00,7.2,11.2
91,2015-01-28 00:00,10.8,10.7
90,2015-01-27 21:00,7.2,11.9
76,2015-01-27 18:00,14.4,15.2
65,2015-01-27 15:00,18,17.9
90,2015-01-27 09:00,3.6,6.8
90,2015-01-27 06:00,10.8,6.5
94,2015-01-27 03:00,10.8,7.5
93,2015-01-27 00:00,7.2,8.4
87,2015-01-26 21:00,3.6,10.2
57,2015-01-26 18:00,10.8,16.6
45,2015-01-26 15:00,18,19.6
30,2015-01-26 12:00,3.6,21.3
55,2015-01-26 09:00,18,11.4
72,2015-01-26 06:00,14.4,7.3
67,2015-01-26 03:00,10.8,9.4
70,2015-01-26 00:00,7.2,8.6
42,2015-01-25 21:00,10.8,16.3
32,2015-01-25 18:00,14.4,19.6
21,2015-01-25 15:00,10.8,23.6
27,2015-01-25 12:00,7.2,20.7
65,2015-01-25 09:00,14.4,12
81,2015-01-25 06:00,18,8.9
90,2015-01-25 03:00,14.4,8.5
93,2015-01-25 00:00,14.4,9.8
89,2015-01-24 21:00,3.6,9.9
75,2015-01-24 18:00,7.2,15.3
56,2015-01-24 15:00,18,18.7
49,2015-01-24 12:00,3.6,17.1
86,2015-01-24 09:00,7.2,8.5
90,2015-01-24 06:00,14.4,6.4
90,2015-01-24 03:00,0,6
