hum_mean_perc,time,wind_kmh,temp
59,2020-01-31 21:00,10.8,15.8
28,2020-01-31 18:00,25.2,20.4
26,2020-01-31 15:00,21.6,25.7
18,2020-01-31 12:00,7.2,24.7
39,2020-01-31 09:00,14.4,14.2
57,2020-01-31 06:00,10.8,8.2
61,2020-01-31 03:00,7.2,8.8
63,2020-01-31 00:00,10.8,11.9
54,2020-01-30 21:00,10.8,16.1
40,2020-01-30 18:00,21.6,19.8
19,2020-01-30 15:00,25.2,25.7
19,2020-01-30 12:00,0,24.7
38,2020-01-30 09:00,14.4,14.3
50,2020-01-30 06:00,10.8,10
61,2020-01-30 03:00,14.4,8.8
61,2020-01-30 00:00,10.8,10.9
48,2020-01-29 21:00,7.2,15.4
29,2020-01-29 18:00,21.6,20.6
20,2020-01-29 15:00,21.6,26
20,2020-01-29 12:00,0,24.1
38,2020-01-29 09:00,14.4,14.4
52,2020-01-29 06:00,14.4,10.4
65,2020-01-29 03:00,10.8,8.5
58,2020-01-29 00:00,14.4,12.1
51,2020-01-28 21:00,10.8,15.8
32,2020-01-28 18:00,18,20
19,2020-01-28 15:00,18,26.3
22,2020-01-28 12:00,10.8,23.2
41,2020-01-28 09:00,18,14.1
73,2020-01-28 06:00,14.4,8.2
95,2020-01-28 03:00,10.8,9.3
91,2020-01-28 00:00,10.8,10.1
79,2020-01-27 21:00,14.4,14.9
42,2020-01-27 18:00,14.4,19.7
36,2020-01-27 15:00,14.4,23.1
49,2020-01-27 12:00,0,19.1
77,2020-01-27 09:00,7.2,11.6
88,2020-01-27 06:00,0,7.3
99,2020-01-27 03:00,7.2,7.8
96,2020-01-27 00:00,10.8,11.1
88,2020-01-26 21:00,14.4,13.1
71,2020-01-26 18:00,14.4,16.8
50,2020-01-26 15:00,25.2,19
52,2020-01-26 12:00,10.8,18.6
91,2020-01-26 09:00,10.8,11.3
99,2020-01-26 06:00,10.8,7.7
99,2020-01-26 03:00,7.2,8.5
92,2020-01-26 00:00,7.2,11.2
77,2020-01-25 21:00,14.4,14.6
70,2020-01-25 18:00,25.2,16.4
49,2020-01-25 15:00,21.6,19.8
47,2020-01-25 12:00,7.2,18.6
80,2020-01-25 09:00,0,10.8
94,2020-01-25 06:00,7.2,7.5
95,2020-01-25 03:00,14.4,9.2
86,2020-01-25 00:00,7.2,12.1
77,2020-01-24 21:00,7.2,14.8
52,2020-01-24 18:00,14.4,16.8
35,2020-01-24 15:00,18,21.6
41,2020-01-24 12:00,7.2,20
79,2020-01-24 09:00,10.8,10.9
89,2020-01-24 06:00,14.4,9.1
84,2020-01-24 03:00,10.8,10.7
83,2020-01-24 00:00,10.8,12.9
82,2020-01-23 21:00,10.8,13.8
71,2020-01-23 18:00,0,15
66,2020-01-23 15:00,14.4,16.3
90,2020-01-23 12:00,10.8,14
99,2020-01-23 09:00,14.4,10.8
92,2020-01-23 06:00,7.2,9.5
96,2020-01-23 03:00,10.8,9.2
94,2020-01-23 00:00,7.2,9.7
86,2020-01-22 21:00,10.8,12
69,2020-01-22 18:00,14.4,15.3
45,2020-01-22 15:00,10.8,18.9
57,2020-01-22 12:00,7.2,16.3
92,2020-01-22 09:00,14.4,10.4
98,2020-01-22 06:00,10.8,6.6
93,2020-01-22 03:00,10.8,8.5
86,2020-01-22 00:00,10.8,10.9
80,2020-01-21 21:00,10.8,11.5
67,2020-01-21 18:00,28.8,14.3
49,2020-01-21 15:00,18,17.7
55,2020-01-21 12:00,7.2,15.9
73,2020-01-21 09:00,14.4,11.4
91,2020-01-21 06:00,7.2,7
90,2020-01-21 03:00,14.4,7.9
