hum_mean_perc,time,wind_kmh,temp
94,2015-01-31 21:00,0,10.8
87,2015-01-31 18:00,10.8,13.3
88,2015-01-31 15:00,10.8,12.5
100,2015-01-31 12:00,0,10.7
100,2015-01-31 09:00,7.2,9
100,2015-01-31 06:00,3.6,9.2
100,2015-01-31 00:00,0,9.4
96,2015-01-30 21:00,7.2,10.9
67,2015-01-30 18:00,10.8,15.8
56,2015-01-30 15:00,7.2,17.8
67,2015-01-30 12:00,7.2,15
97,2015-01-30 09:00,10.8,8.4
100,2015-01-30 06:00,7.2,5.8
100,2015-01-30 03:00,10.8,5.6
99,2015-01-30 00:00,10.8,8.1
92,2015-01-29 21:00,10.8,9.2
76,2015-01-29 18:00,0,13.4
75,2015-01-29 15:00,7.2,14
95,2015-01-29 12:00,10.8,9.8
100,2015-01-29 09:00,7.2,8.4
100,2015-01-29 06:00,7.2,5.1
99,2015-01-29 03:00,7.2,6.7
90,2015-01-29 00:00,10.8,8.2
77,2015-01-28 21:00,10.8,10.7
57,2015-01-28 18:00,10.8,15.4
48,2015-01-28 15:00,7.2,18.3
64,2015-01-28 12:00,7.2,14.5
95,2015-01-28 09:00,7.2,7.6
97,2015-01-28 06:00,0,5.4
96,2015-01-28 03:00,7.2,6.7
88,2015-01-28 00:00,0,8.9
68,2015-01-27 21:00,10.8,11.6
46,2015-01-27 18:00,7.2,17
42,2015-01-27 15:00,7.2,19.1
53,2015-01-27 12:00,3.6,16.5
88,2015-01-27 09:00,0,8.9
92,2015-01-27 06:00,7.2,5.6
92,2015-01-27 03:00,3.6,5.9
83,2015-01-27 00:00,0,9.7
74,2015-01-26 21:00,7.2,11.4
46,2015-01-26 18:00,7.2,17.6
39,2015-01-26 15:00,7.2,19.3
50,2015-01-26 12:00,3.6,17.1
91,2015-01-26 09:00,3.6,8.2
98,2015-01-26 06:00,3.6,5.6
98,2015-01-26 03:00,0,6
93,2015-01-26 00:00,7.2,7.9
82,2015-01-25 21:00,10.8,10.5
54,2015-01-25 18:00,7.2,16.5
