hum_mean_perc,time,wind_kmh,temp
71,2015-01-31 21:00,28.8,11.2
53,2015-01-31 18:00,46.8,14.3
72,2015-01-31 15:00,43.2,15.8
56,2015-01-31 12:00,18,18.6
69,2015-01-31 09:00,14.4,15.8
76,2015-01-31 06:00,3.6,12.1
67,2015-01-31 03:00,18,14.9
63,2015-01-31 00:00,25.2,16.2
84,2015-01-30 21:00,10.8,14.2
69,2015-01-30 18:00,7.2,16.5
54,2015-01-30 15:00,25.2,20.3
50,2015-01-30 12:00,14.4,19.7
63,2015-01-30 09:00,18,14.8
85,2015-01-30 06:00,10.8,8
84,2015-01-30 03:00,7.2,8.7
77,2015-01-30 00:00,10.8,11.2
82,2015-01-29 21:00,10.8,10.9
69,2015-01-29 18:00,7.2,13.8
45,2015-01-29 15:00,28.8,17.5
40,2015-01-29 12:00,7.2,17
73,2015-01-29 09:00,14.4,10.3
95,2015-01-29 06:00,3.6,3.6
84,2015-01-29 03:00,7.2,5.6
84,2015-01-29 00:00,7.2,6.6
88,2015-01-28 21:00,7.2,7.8
66,2015-01-28 18:00,18,12.9
48,2015-01-28 15:00,32.4,16.3
43,2015-01-28 12:00,14.4,16.6
67,2015-01-28 09:00,7.2,11.8
83,2015-01-28 06:00,7.2,4.4
85,2015-01-28 03:00,3.6,5.5
79,2015-01-28 00:00,10.8,7
90,2015-01-27 21:00,7.2,5.9
72,2015-01-27 18:00,7.2,11.8
43,2015-01-27 15:00,3.6,17.7
54,2015-01-27 12:00,7.2,14.8
74,2015-01-27 09:00,3.6,9
99,2015-01-27 06:00,7.2,3.3
96,2015-01-27 03:00,7.2,3.6
94,2015-01-27 00:00,7.2,6.5
77,2015-01-26 21:00,3.6,7.2
57,2015-01-26 18:00,3.6,11.2
26,2015-01-26 15:00,3.6,17.9
44,2015-01-26 12:00,7.2,14.9
60,2015-01-26 09:00,7.2,9.4
73,2015-01-26 06:00,3.6,3
86,2015-01-26 03:00,3.6,2.1
81,2015-01-26 00:00,3.6,4
80,2015-01-25 21:00,7.2,5.4
57,2015-01-25 18:00,10.8,10.6
27,2015-01-25 15:00,10.8,16.5
44,2015-01-25 12:00,3.6,14.2
75,2015-01-25 09:00,3.6,7.4
95,2015-01-25 06:00,3.6,2.5
100,2015-01-25 03:00,3.6,2.7
99,2015-01-25 00:00,7.2,3.7
91,2015-01-24 21:00,3.6,6
68,2015-01-24 18:00,10.8,11.4
40,2015-01-24 15:00,7.2,15.1
45,2015-01-24 12:00,7.2,13.9
60,2015-01-24 09:00,14.4,10.1
78,2015-01-24 06:00,14.4,5.6
68,2015-01-24 03:00,10.8,8.4
78,2015-01-24 00:00,14.4,8.3
76,2015-01-23 21:00,7.2,8.1
74,2015-01-23 18:00,14.4,9.6
62,2015-01-23 15:00,36,13.4
55,2015-01-23 12:00,32.4,13
65,2015-01-23 09:00,21.6,10.7
66,2015-01-23 06:00,18,10
