hum_mean_perc,time,wind_kmh,temp
96,2015-01-31 21:00,10.8,12.7
90,2015-01-31 18:00,18,14.2
74,2015-01-31 15:00,21.6,16.3
100,2015-01-31 12:00,18,13.7
100,2015-01-31 09:00,18,13
100,2015-01-31 06:00,21.6,12.7
100,2015-01-31 03:00,14.4,12.8
99,2015-01-31 00:00,14.4,12.5
95,2015-01-30 21:00,7.2,11.4
85,2015-01-30 18:00,10.8,15.4
82,2015-01-30 15:00,14.4,16.1
82,2015-01-30 12:00,14.4,16
92,2015-01-30 09:00,14.4,11.1
95,2015-01-30 06:00,14.4,10.1
96,2015-01-30 03:00,7.2,9.6
93,2015-01-30 00:00,7.2,7.3
87,2015-01-29 21:00,0,10.7
79,2015-01-29 18:00,10.8,13.1
66,2015-01-29 15:00,7.2,15.8
76,2015-01-29 12:00,14.4,13.3
100,2015-01-29 09:00,7.2,8.9
97,2015-01-29 06:00,10.8,4.4
95,2015-01-29 03:00,7.2,5.6
96,2015-01-29 00:00,7.2,7.3
90,2015-01-28 21:00,3.6,9.2
78,2015-01-28 18:00,7.2,13.7
73,2015-01-28 15:00,18,15.5
88,2015-01-28 12:00,10.8,13.7
100,2015-01-28 09:00,7.2,7.2
100,2015-01-28 06:00,7.2,5.2
100,2015-01-28 03:00,10.8,5.9
100,2015-01-28 00:00,10.8,8.9
95,2015-01-27 21:00,0,9.9
85,2015-01-27 18:00,14.4,13
60,2015-01-27 15:00,10.8,17.4
100,2015-01-27 09:00,7.2,5.4
98,2015-01-27 06:00,7.2,2.7
96,2015-01-27 03:00,0,2.8
94,2015-01-27 00:00,3.6,5.3
87,2015-01-26 21:00,7.2,10.2
74,2015-01-26 18:00,10.8,13.2
57,2015-01-26 15:00,14.4,17.9
68,2015-01-26 12:00,0,15.4
92,2015-01-26 09:00,7.2,4.6
92,2015-01-26 06:00,7.2,2.6
92,2015-01-26 03:00,3.6,4.6
91,2015-01-26 00:00,10.8,5.5
88,2015-01-25 21:00,3.6,8.3
67,2015-01-25 18:00,14.4,13
61,2015-01-25 15:00,14.4,16
