hum_mean_perc,time,wind_kmh,temp
82,2015-01-31 18:00,7.2,15.7
79,2015-01-31 15:00,10.8,16.2
88,2015-01-31 12:00,7.2,14.7
95,2015-01-31 09:00,7.2,13.7
91,2015-01-31 06:00,0,13.6
81,2015-01-30 18:00,7.2,16.2
83,2015-01-30 15:00,3.6,16.6
78,2015-01-30 12:00,10.8,15.7
91,2015-01-30 09:00,7.2,10.2
92,2015-01-30 06:00,7.2,8.4
66,2015-01-29 18:00,14.4,15.7
60,2015-01-29 15:00,10.8,16.9
72,2015-01-29 12:00,10.8,14.8
93,2015-01-29 09:00,7.2,9.9
71,2015-01-28 18:00,10.8,15.4
64,2015-01-28 15:00,14.4,17.1
72,2015-01-28 12:00,14.4,15.3
94,2015-01-28 09:00,7.2,8.7
94,2015-01-28 06:00,7.2,7.7
75,2015-01-27 18:00,10.8,15.7
52,2015-01-27 15:00,14.4,17.6
85,2015-01-27 12:00,10.8,14.5
100,2015-01-27 09:00,14.4,9.8
100,2015-01-27 06:00,7.2,8.4
79,2015-01-26 18:00,10.8,16.4
55,2015-01-26 15:00,14.4,19.3
70,2015-01-26 12:00,18,16
87,2015-01-26 09:00,10.8,7.2
93,2015-01-26 06:00,10.8,6.1
63,2015-01-25 18:00,14.4,15.9
56,2015-01-25 15:00,18,17.5
68,2015-01-25 12:00,14.4,14.7
92,2015-01-25 09:00,14.4,6.6
93,2015-01-25 06:00,14.4,7.7
73,2015-01-24 18:00,14.4,15.5
64,2015-01-24 15:00,18,16.8
66,2015-01-24 12:00,14.4,15.8
86,2015-01-24 09:00,10.8,10.3
87,2015-01-24 06:00,10.8,8.9
75,2015-01-23 18:00,14.4,15.7
64,2015-01-23 15:00,21.6,17.4
73,2015-01-23 12:00,21.6,16.3
87,2015-01-23 09:00,10.8,10.3
89,2015-01-23 06:00,10.8,9.3
70,2015-01-22 18:00,14.4,14.8
75,2015-01-22 15:00,10.8,14.7
70,2015-01-22 12:00,3.6,16.4
87,2015-01-22 09:00,7.2,9.3
86,2015-01-22 06:00,7.2,8.9
71,2015-01-21 18:00,7.2,13.7
67,2015-01-21 15:00,10.8,14.3
69,2015-01-21 12:00,10.8,14
92,2015-01-21 09:00,7.2,8.8
88,2015-01-20 18:00,3.6,12.7
60,2015-01-20 15:00,10.8,16.4
66,2015-01-20 12:00,7.2,15
83,2015-01-20 09:00,7.2,7.5
88,2015-01-20 06:00,7.2,6.3
62,2015-01-19 18:00,10.8,13.4
54,2015-01-19 15:00,18,14.7
65,2015-01-19 12:00,14.4,14.8
66,2015-01-19 09:00,21.6,13.7
68,2015-01-19 06:00,10.8,15.1
92,2015-01-18 18:00,21.6,14.2
88,2015-01-18 15:00,39.6,14.1
68,2015-01-18 12:00,28.8,15.3
75,2015-01-18 09:00,10.8,11.7
87,2015-01-18 06:00,3.6,8.7
60,2015-01-17 18:00,7.2,14.4
57,2015-01-17 15:00,10.8,15.7
62,2015-01-17 12:00,10.8,14.9
83,2015-01-17 09:00,10.8,8.1
90,2015-01-17 06:00,7.2,6.9
63,2015-01-16 18:00,10.8,14.1
67,2015-01-16 15:00,21.6,16.2
67,2015-01-16 12:00,10.8,16
92,2015-01-16 09:00,7.2,12.8
93,2015-01-16 06:00,10.8,13.2
82,2015-01-15 18:00,7.2,15.7
83,2015-01-15 15:00,10.8,17
89,2015-01-15 12:00,7.2,15.2
100,2015-01-15 09:00,18,10.4
100,2015-01-15 06:00,18,10.8
84,2015-01-14 18:00,10.8,17.3
71,2015-01-14 15:00,18,18.7
82,2015-01-14 12:00,18,16.5
93,2015-01-14 09:00,10.8,14
95,2015-01-14 06:00,14.4,14.1
91,2015-01-13 18:00,7.2,15.8
84,2015-01-13 15:00,10.8,17
94,2015-01-13 12:00,3.6,16
79,2015-01-13 09:00,7.2,14.3
88,2015-01-13 06:00,7.2,14.5
77,2015-01-12 18:00,10.8,18.8
72,2015-01-12 15:00,7.2,18.1
70,2015-01-12 12:00,10.8,18.1
83,2015-01-12 09:00,10.8,11.4
88,2015-01-12 06:00,10.8,10
75,2015-01-11 18:00,14.4,15.3
66,2015-01-11 15:00,10.8,16.5
80,2015-01-11 12:00,7.2,12.7
89,2015-01-11 09:00,7.2,9.9
89,2015-01-11 06:00,7.2,9.4
68,2015-01-10 18:00,3.6,18.5
51,2015-01-10 15:00,7.2,20.8
56,2015-01-10 12:00,10.8,17.2
79,2015-01-10 09:00,7.2,10.2
81,2015-01-10 06:00,7.2,9.7
75,2015-01-09 18:00,7.2,15
68,2015-01-09 15:00,3.6,16.6
76,2015-01-09 12:00,3.6,12.8
89,2015-01-09 09:00,10.8,6.7
95,2015-01-09 06:00,7.2,5.6
77,2015-01-08 18:00,10.8,15.3
57,2015-01-08 15:00,10.8,17.7
67,2015-01-08 12:00,21.6,15.3
89,2015-01-08 09:00,10.8,8
94,2015-01-08 06:00,10.8,7.2
69,2015-01-07 18:00,10.8,15.5
55,2015-01-07 15:00,18,17.4
69,2015-01-07 12:00,10.8,15.8
86,2015-01-07 09:00,7.2,9.2
95,2015-01-07 06:00,7.2,7
67,2015-01-06 18:00,10.8,15.5
59,2015-01-06 15:00,14.4,17.4
66,2015-01-06 12:00,10.8,16.7
89,2015-01-06 09:00,10.8,9.4
94,2015-01-06 06:00,7.2,7.4
77,2015-01-05 18:00,7.2,14.7
67,2015-01-05 15:00,10.8,16.7
73,2015-01-05 12:00,7.2,15.2
93,2015-01-05 06:00,7.2,5.9
83,2015-01-04 18:00,0,15
73,2015-01-04 15:00,7.2,17
68,2015-01-04 12:00,7.2,14.6
87,2015-01-04 09:00,7.2,5.3
91,2015-01-04 06:00,7.2,3.7
80,2015-01-03 18:00,0,14.5
75,2015-01-03 15:00,7.2,16
67,2015-01-03 12:00,7.2,15.6
89,2015-01-03 09:00,10.8,6.2
91,2015-01-03 06:00,7.2,4.8
73,2015-01-02 18:00,7.2,14.5
57,2015-01-02 15:00,7.2,16
71,2015-01-02 12:00,0,15.1
86,2015-01-02 09:00,10.8,6.2
92,2015-01-02 06:00,7.2,5.5
62,2015-01-01 18:00,7.2,15.7
53,2015-01-01 15:00,10.8,18
65,2015-01-01 12:00,10.8,15.7
91,2015-01-01 09:00,10.8,6.3
95,2015-01-01 06:00,14.4,5.4
75,2014-12-31 18:00,7.2,15.3
64,2014-12-31 15:00,7.2,18.1
68,2014-12-31 12:00,3.6,16.4
91,2014-12-31 09:00,3.6,7.4
91,2014-12-31 06:00,7.2,7.1
71,2014-12-30 18:00,3.6,16.3
54,2014-12-30 15:00,7.2,18.7
67,2014-12-30 12:00,7.2,15.7
83,2014-12-30 09:00,10.8,9
91,2014-12-30 06:00,10.8,7.8
78,2014-12-29 18:00,14.4,15
61,2014-12-29 15:00,14.4,18.6
65,2014-12-29 12:00,18,17.1
87,2014-12-29 09:00,7.2,10.7
92,2014-12-29 06:00,10.8,8.8
74,2014-12-28 18:00,10.8,15.4
58,2014-12-28 15:00,18,17.3
70,2014-12-28 12:00,10.8,15.7
92,2014-12-28 09:00,7.2,9.3
94,2014-12-28 06:00,10.8,7.4
71,2014-12-27 18:00,7.2,15.5
59,2014-12-27 15:00,10.8,18.4
69,2014-12-27 12:00,7.2,16
87,2014-12-27 09:00,7.2,8.6
