hum_mean_perc,time,wind_kmh,temp
69,2010-01-19 02:00,14.4,25.3
64,2010-01-19 08:00,18,27.6
34,2010-01-19 14:00,21.6,38.5
74,2010-01-19 20:00,21.6,28.3
77,2010-01-20 02:00,10.8,27.1
67,2010-01-20 14:00,7.2,28.5
55,2010-01-21 14:00,7.2,30.8
62,2010-01-21 20:00,14.4,28.4
73,2010-01-21 23:00,10.8,25.9
79,2010-01-22 02:00,10.8,25.3
84,2010-01-22 05:00,10.8,24.5
79,2010-01-22 08:00,7.2,26.2
64,2010-01-22 11:00,7.2,30.4
51,2010-01-22 14:00,14.4,33.5
67,2010-01-22 17:00,21.6,30.5
76,2010-01-22 20:00,18,27.8
78,2010-01-22 23:00,10.8,27.3
76,2010-01-23 05:00,7.2,27
72,2010-01-24 08:00,0,28.5
67,2010-01-24 17:00,18,29.6
74,2010-01-24 20:00,18,28.6
74,2010-01-24 23:00,7.2,28.3
79,2010-01-25 02:00,7.2,28
89,2010-01-25 08:00,NaN,26.2
69,2010-01-25 11:00,NaN,29.6
85,2010-01-25 20:00,14.4,27.5
90,2010-01-26 08:00,7.2,27.2
73,2010-01-26 14:00,25.2,32
83,2010-01-27 02:00,NaN,25.2
99,2010-01-27 08:00,21.6,25.1
89,2010-01-27 20:00,14.4,27.6
89,2010-01-28 08:00,7.2,27.5
98,2010-01-28 14:00,21.6,27.6
99,2010-01-28 20:00,25.2,25
90,2010-01-29 02:00,18,23.2
85,2010-01-29 08:00,28.8,23
84,2010-02-01 08:00,0,25
65,2010-02-01 14:00,21.6,31.5
78,2010-02-01 20:00,14.4,27.8
72,2010-02-02 08:00,18,25.8
60,2010-02-02 14:00,7.2,30.1
NaN,2010-02-03 08:00,7.2,NaN
53,2010-02-03 14:00,21.6,31.8
75,2010-02-03 20:00,21.6,27.4
78,2010-02-04 02:00,NaN,26
96,2010-02-04 08:00,18,24.4
61,2010-02-04 14:00,7.2,32.5
79,2010-02-04 20:00,18,26.8
76,2010-02-05 02:00,NaN,26.2
91,2010-02-05 08:00,10.8,26
70,2010-02-05 14:00,10.8,29.5
80,2010-02-05 20:00,25.2,26.6
86,2010-02-06 02:00,0,24.7
79,2010-02-06 08:00,10.8,24.8
63,2010-02-06 14:00,21.6,31.7
76,2010-02-06 20:00,21.6,28
75,2010-02-07 08:00,21.6,26.5
66,2010-02-07 14:00,32.4,31.2
81,2010-02-07 20:00,NaN,27.5
79,2010-02-08 02:00,NaN,24.7
57,2010-02-08 14:00,10.8,31
77,2010-02-09 08:00,0,26
56,2010-02-09 14:00,10.8,29.8
67,2010-02-09 20:00,18,26.6
80,2010-02-10 08:00,0,25.5
51,2010-02-10 14:00,18,32
80,2010-02-10 20:00,14.4,26.3
82,2010-02-11 02:00,7.2,25.6
82,2010-02-11 08:00,7.2,26.6
62,2010-02-11 14:00,28.8,32
72,2010-02-11 20:00,21.6,27.5
78,2010-02-12 08:00,14.4,26
68,2010-02-12 14:00,0,34.2
75,2010-02-12 20:00,NaN,28.5
77,2010-02-13 02:00,0,27
53,2010-02-13 14:00,NaN,36.4
87,2010-02-13 20:00,21.6,28.7
89,2010-02-14 02:00,18,25.4
78,2010-02-14 08:00,7.2,27.4
83,2010-02-14 20:00,NaN,26.4
88,2010-02-15 02:00,NaN,25.4
89,2010-02-15 08:00,0,26.2
47,2010-02-15 14:00,25.2,33
84,2010-02-16 02:00,NaN,26
83,2010-02-16 08:00,NaN,26.3
58,2010-02-16 14:00,21.6,35
76,2010-02-17 08:00,10.8,28.4
72,2010-02-17 14:00,14.4,29
87,2010-02-17 20:00,10.8,25.6
92,2010-02-18 02:00,NaN,23
97,2010-02-18 08:00,14.4,23.1
82,2010-02-18 14:00,10.8,27.4
87,2010-02-18 20:00,14.4,25.7
83,2010-02-19 02:00,7.2,24.2
84,2010-02-19 08:00,7.2,26
58,2010-02-19 14:00,14.4,32.5
NaN,2010-02-19 20:00,NaN,NaN
84,2010-02-20 02:00,14.4,25
77,2010-02-20 08:00,21.6,26
58,2010-02-20 14:00,10.8,31.3
77,2010-02-20 20:00,10.8,26
80,2010-02-21 02:00,7.2,24.6
80,2010-02-21 08:00,3.6,25.7
51,2010-02-21 14:00,14.4,32
77,2010-02-21 20:00,21.6,27
80,2010-02-22 02:00,NaN,24.5
82,2010-02-22 08:00,7.2,26.2
75,2010-02-22 14:00,36,30
NaN,2010-02-22 20:00,25.2,18.1
81,2010-02-23 02:00,14.4,26.4
