hum_mean_perc,time,wind_kmh,temp
42,2012-01-10 11:00,14.4,26
42,2012-01-10 12:00,14.4,27
48,2012-01-10 13:00,25.2,26
51,2012-01-10 14:00,25.2,26
54,2012-01-10 15:00,28.8,25
57,2012-01-10 16:00,32.4,25
65,2012-01-10 17:00,28.8,23
65,2012-01-10 18:00,28.8,23
73,2012-01-10 19:00,25.2,22
83,2012-01-10 22:00,7.2,20
83,2012-01-10 23:00,7.2,20
68,2012-01-11 00:00,28.8,18
73,2012-01-11 01:00,28.8,17
73,2012-01-11 02:00,25.2,17
73,2012-01-11 03:00,25.2,17
73,2012-01-11 04:00,25.2,17
77,2012-01-11 05:00,18,16
68,2012-01-11 06:00,28.8,17
68,2012-01-11 07:00,28.8,18
88,2012-01-11 08:00,32.4,20
50,2012-01-11 09:00,36,21
50,2012-01-11 10:00,28.8,22
41,2012-01-11 13:00,25.2,24
41,2012-01-11 14:00,21.6,24
68,2012-01-11 23:00,18,17
74,2012-01-12 01:00,14.4,24
88,2012-01-12 02:00,10.8,22
88,2012-01-12 04:00,14.4,21
88,2012-01-12 05:00,10.8,21
94,2012-01-12 06:00,10.8,21
65,2012-01-12 14:00,10.8,26
NaN,2012-01-12 15:00,10.8,NaN
69,2012-01-12 16:00,14.4,25
69,2012-01-12 17:00,18,25
78,2012-01-12 18:00,10.8,24
74,2012-01-12 19:00,14.4,24
74,2012-01-12 21:00,10.8,24
74,2012-01-12 22:00,7.2,24
74,2012-01-12 23:00,7.2,24
88,2012-02-10 01:00,7.2,18
94,2012-02-10 04:00,7.2,15
94,2012-02-10 05:00,10.8,15
94,2012-02-10 06:00,10.8,16
78,2012-02-10 07:00,18,19
65,2012-02-10 08:00,25.2,22
65,2012-02-10 09:00,25.2,22
37,2012-02-10 10:00,25.2,27
37,2012-02-10 11:00,28.8,28
31,2012-02-10 12:00,18,31
48,2012-02-10 13:00,28.8,29
48,2012-02-10 14:00,32.4,28
48,2012-02-10 15:00,28.8,28
51,2012-02-10 16:00,28.8,28
65,2012-02-10 17:00,28.8,25
78,2012-02-10 18:00,25.2,23
78,2012-02-10 19:00,25.2,23
83,2012-02-10 20:00,25.2,22
73,2012-02-10 21:00,25.2,22
69,2012-02-10 22:00,21.6,22
69,2012-02-10 23:00,14.4,21
72,2012-02-11 00:00,18,16
77,2012-02-11 02:00,18,15
68,2012-02-11 05:00,18,16
68,2012-02-11 06:00,18,16
44,2012-02-11 10:00,14.4,22
46,2012-02-11 11:00,14.4,21
41,2012-02-11 12:00,10.8,22
41,2012-02-11 13:00,10.8,22
39,2012-02-11 14:00,10.8,24
47,2012-02-11 15:00,14.4,23
50,2012-02-11 16:00,18,22
53,2012-02-11 18:00,18,21
60,2012-02-11 19:00,10.8,20
60,2012-02-11 20:00,10.8,20
60,2012-02-11 21:00,7.2,20
56,2012-02-11 22:00,7.2,20
68,2012-02-11 23:00,7.2,19
74,2012-02-12 00:00,7.2,24
88,2012-02-12 05:00,7.2,21
83,2012-02-12 06:00,7.2,22
88,2012-02-12 07:00,7.2,22
78,2012-02-12 08:00,7.2,23
69,2012-02-12 09:00,18,25
69,2012-02-12 10:00,18,25
61,2012-02-12 11:00,18,26
58,2012-02-12 12:00,21.6,27
58,2012-02-12 14:00,18,27
65,2012-02-12 15:00,25.2,26
65,2012-02-12 16:00,21.6,26
69,2012-02-12 17:00,21.6,25
69,2012-02-12 18:00,18,25
65,2012-02-12 19:00,18,25
69,2012-02-12 20:00,18,25
78,2012-02-12 21:00,14.4,24
78,2012-02-12 22:00,14.4,24
78,2012-02-12 23:00,10.8,24
78,2012-03-10 00:00,7.2,19
73,2012-03-10 02:00,3.6,17
68,2012-03-10 04:00,7.2,17
72,2012-03-10 05:00,7.2,15
82,2012-03-10 06:00,14.4,15
68,2012-03-10 07:00,18,19
65,2012-03-10 08:00,21.6,22
51,2012-03-10 09:00,21.6,25
45,2012-03-10 10:00,21.6,27
35,2012-03-10 11:00,21.6,30
31,2012-03-10 12:00,21.6,32
26,2012-03-10 13:00,25.2,33
36,2012-03-10 14:00,25.2,32
40,2012-03-10 15:00,25.2,31
48,2012-03-10 16:00,32.4,28
58,2012-03-10 17:00,28.8,26
65,2012-03-10 18:00,28.8,25
78,2012-03-10 19:00,25.2,23
78,2012-03-10 20:00,21.6,23
78,2012-03-10 21:00,21.6,23
83,2012-03-10 22:00,14.4,22
83,2012-03-10 23:00,7.2,21
73,2012-03-11 01:00,10.8,18
77,2012-03-11 05:00,7.2,17
83,2012-03-11 06:00,3.6,17
64,2012-03-11 08:00,3.6,20
64,2012-03-11 09:00,7.2,21
53,2012-03-11 10:00,10.8,22
53,2012-03-11 11:00,14.4,23
47,2012-03-11 12:00,18,24
50,2012-03-11 13:00,14.4,24
54,2012-03-11 15:00,28.8,24
54,2012-03-11 16:00,25.2,24
57,2012-03-11 17:00,32.4,23
