hum_mean_perc,time,wind_kmh,temp
46,2010-01-19 14:00,7.2,33.6
61,2010-01-22 14:00,3.6,31.9
54,2010-01-24 14:00,10.8,33
77,2010-01-26 08:00,0,28.4
75,2010-01-28 08:00,0,29.8
74,2010-01-28 14:00,10.8,31
75,2010-02-02 08:00,10.8,27.6
86,2010-02-04 14:00,10.8,26.8
93,2010-02-05 08:00,0,26
70,2010-02-08 08:00,0,27.5
93,2010-02-10 08:00,0,25
65,2010-02-11 14:00,7.2,30.5
41,2010-02-16 14:00,7.2,35.8
86,2010-02-18 14:00,7.2,26.8
89,2010-02-19 08:00,3.6,27
84,2010-02-20 08:00,14.4,26
75,2010-02-21 08:00,7.2,27.4
66,2010-02-21 14:00,10.8,29.2
82,2010-02-22 08:00,3.6,27.5
72,2010-02-22 14:00,10.8,30.2
73,2010-02-25 08:00,0,28.4
63,2010-02-25 14:00,7.2,30
86,2010-02-27 08:00,0,26.8
NaN,2010-03-02 08:00,0,24
77,2010-03-03 14:00,10.8,27
73,2010-03-03 20:00,7.2,25.4
72,2010-03-04 02:00,0,24.4
63,2010-03-04 08:00,7.2,27.5
59,2010-03-05 14:00,7.2,28.2
80,2010-03-05 20:00,0,23.7
87,2010-03-06 08:00,0,24.6
61,2010-03-06 14:00,10.8,28
77,2010-03-06 20:00,3.6,25.5
93,2010-03-07 08:00,0,25
72,2010-03-07 11:00,10.8,28
66,2010-03-07 14:00,10.8,28
73,2010-03-07 20:00,10.8,25.4
77,2010-03-08 02:00,7.2,24.6
87,2010-03-08 08:00,3.6,24.5
91,2010-03-08 20:00,10.8,25
95,2010-03-09 08:00,0,23.5
77,2010-03-09 14:00,10.8,28
96,2010-03-10 08:00,10.8,24.6
94,2010-03-10 20:00,0,24.9
97,2010-03-11 02:00,0,23.3
90,2010-03-11 20:00,0,25.4
96,2010-03-12 02:00,0,23
96,2010-03-12 08:00,0,25
86,2010-03-12 20:00,0,26
84,2010-03-13 08:00,0,27
74,2010-03-13 14:00,14.4,29
91,2010-03-14 08:00,7.2,26.6
83,2010-03-14 14:00,7.2,27
81,2010-03-14 20:00,14.4,26.4
80,2010-03-15 02:00,18,26.5
74,2010-03-15 08:00,21.6,26.5
71,2010-03-15 20:00,3.6,25
86,2010-03-16 08:00,0,23.6
58,2010-03-16 14:00,3.6,28.9
77,2010-03-16 20:00,0,24
76,2010-03-17 08:00,3.6,23.8
53,2010-03-17 14:00,3.6,32.4
95,2010-03-18 02:00,0,23.5
63,2010-03-18 14:00,7.2,28
80,2010-03-18 20:00,0,24.9
93,2010-03-19 02:00,0,22
87,2010-03-19 08:00,0,23.5
83,2010-03-19 20:00,0,24
86,2010-03-20 02:00,0,23
80,2010-03-20 08:00,0,25.2
66,2010-03-20 14:00,3.6,29.5
92,2010-03-21 02:00,0,22
