hum_mean_perc,time,wind_kmh,temp
28,2010-01-19 10:00,10.8,26
16,2010-01-19 13:00,7.2,33.2
43,2010-01-19 22:00,7.2,23.4
52,2010-01-21 01:00,10.8,20.6
61,2010-01-24 13:00,3.6,29.9
25,2010-01-24 16:00,10.8,34.5
45,2010-01-26 13:00,0,33.4
50,2010-01-27 13:00,10.8,33
66,2010-01-28 10:00,14.4,29.4
43,2010-01-28 16:00,10.8,35.2
65,2010-01-29 10:00,14.4,30
37,2010-02-04 07:00,7.2,24
31,2010-02-04 10:00,21.6,32
33,2010-02-06 01:00,7.2,24
35,2010-02-06 07:00,10.8,21.7
12,2010-02-08 16:00,7.2,35.3
22,2010-02-08 19:00,7.2,31
46,2010-02-09 04:00,10.8,21
52,2010-02-09 07:00,0,19.4
29,2010-02-09 13:00,10.8,34
40,2010-02-10 19:00,3.6,32.3
56,2010-02-10 22:00,7.2,27.7
58,2010-02-11 01:00,7.2,26
64,2010-02-11 04:00,7.2,25
71,2010-02-11 07:00,0,23.5
73,2010-02-12 10:00,7.2,28.2
40,2010-02-13 10:00,3.6,30.5
24,2010-02-13 13:00,7.2,36
21,2010-02-13 16:00,7.2,38
41,2010-02-14 13:00,3.6,36
19,2010-02-14 16:00,10.8,38
31,2010-02-14 19:00,7.2,33
46,2010-02-14 22:00,3.6,29
69,2010-02-15 07:00,3.6,22.7
70,2010-02-15 10:00,10.8,28.6
41,2010-02-15 16:00,10.8,35.8
82,2010-02-16 07:00,0,24.6
66,2010-02-16 10:00,7.2,30.3
67,2010-02-18 10:00,14.4,30.4
35,2010-02-18 19:00,7.2,35
58,2010-02-19 10:00,7.2,30.5
75,2010-02-20 07:00,3.6,25
75,2010-02-21 10:00,7.2,29.4
29,2010-02-23 19:00,7.2,36
81,2010-02-24 07:00,0,25.4
51,2010-02-24 10:00,10.8,36
NaN,2010-02-24 13:00,NaN,NaN
41,2010-02-24 19:00,0,32
61,2010-02-27 04:00,7.2,26.3
68,2010-02-27 07:00,3.6,25.6
64,2010-02-27 10:00,14.4,30.9
12,2010-03-03 10:00,14.4,34.6
17,2010-03-03 13:00,10.8,38
33,2010-03-03 22:00,7.2,29.6
41,2010-03-05 10:00,7.2,31.6
15,2010-03-05 13:00,10.8,37
22,2010-03-05 19:00,7.2,35
35,2010-03-05 22:00,10.8,28.4
32,2010-03-08 16:00,7.2,37.7
36,2010-03-09 16:00,10.8,36.8
82,2010-03-10 07:00,7.2,27.1
47,2010-03-10 13:00,10.8,35
37,2010-03-10 16:00,10.8,38
78,2010-03-12 07:00,0,24.7
72,2010-03-14 10:00,3.6,29
52,2010-03-15 13:00,10.8,34
22,2010-03-20 10:00,14.4,29.6
18,2010-03-20 16:00,7.2,36
12,2010-03-24 10:00,14.4,31.5
23,2010-03-26 19:00,10.8,33.3
34,2010-03-26 22:00,7.2,27.7
21,2010-03-27 04:00,7.2,26.5
11,2010-03-27 10:00,21.6,33.6
28,2010-03-27 22:00,3.6,30
36,2010-03-28 07:00,18,25.4
16,2010-03-28 19:00,10.8,36
15,2010-03-29 13:00,14.4,36.5
17,2010-03-29 16:00,18,38
18,2010-03-30 10:00,18,34.5
17,2010-03-30 13:00,14.4,37.5
20,2010-03-30 16:00,10.8,39
35,2010-03-30 22:00,7.2,30.3
44,2010-03-31 04:00,10.8,25.6
51,2010-03-31 07:00,7.2,24.4
18,2010-03-31 19:00,10.8,36
35,2010-04-01 04:00,3.6,25.5
44,2010-04-01 07:00,7.2,25
23,2010-04-01 13:00,7.2,37
10,2010-04-01 16:00,14.4,40
18,2010-04-02 19:00,7.2,36
NaN,2010-04-02 22:00,3.6,30
38,2010-04-03 04:00,7.2,26.6
48,2010-04-03 07:00,3.6,25
58,2010-04-03 10:00,10.8,31
43,2010-04-03 13:00,10.8,35.4
30,2010-04-03 16:00,7.2,37.9
50,2010-04-04 10:00,3.6,33
39,2010-04-04 13:00,7.2,36.2
31,2010-04-04 16:00,7.2,38.6
22,2010-04-04 19:00,10.8,36.6
41,2010-04-04 22:00,0,32.7
43,2010-04-05 01:00,10.8,31
52,2010-04-05 04:00,3.6,29.7
57,2010-04-05 07:00,7.2,28.5
41,2010-04-05 19:00,10.8,35.1
56,2010-04-06 01:00,3.6,31.4
69,2010-04-06 07:00,3.6,27.1
68,2010-04-06 10:00,10.8,29.4
46,2010-04-06 13:00,7.2,34.6
34,2010-04-06 16:00,10.8,37.4
57,2010-04-07 01:00,10.8,30.8
73,2010-04-07 07:00,10.8,29
67,2010-04-07 10:00,3.6,30.2
46,2010-04-07 19:00,7.2,34
60,2010-04-08 01:00,3.6,30.4
77,2010-04-08 07:00,3.6,26.5
51,2010-04-08 10:00,0,32.4
59,2010-04-09 10:00,10.8,31.5
31,2010-04-09 16:00,7.2,37
34,2010-04-09 19:00,7.2,36
54,2010-04-10 16:00,0,36.1
44,2010-04-10 19:00,10.8,33.7
52,2010-04-10 22:00,14.4,31.4
59,2010-04-11 01:00,10.8,30
73,2010-04-11 07:00,0,26.5
55,2010-04-11 10:00,7.2,32
33,2010-04-11 13:00,10.8,36.5
36,2010-04-11 22:00,0,33.5
58,2010-04-12 10:00,0,32.5
41,2010-04-12 22:00,10.8,34.5
69,2010-04-13 04:00,14.4,30
60,2010-04-13 10:00,14.4,31.4
51,2010-04-13 13:00,10.8,33.5
41,2010-04-13 16:00,10.8,36
60,2010-04-14 01:00,7.2,29.1
68,2010-04-14 10:00,10.8,30
62,2010-04-14 13:00,14.4,32
42,2010-04-14 16:00,10.8,36.4
46,2010-04-14 19:00,10.8,34.5
80,2010-04-15 07:00,0,25
42,2010-04-15 16:00,14.4,36.2
42,2010-04-15 19:00,7.2,35
100,2010-04-16 04:00,3.6,28
65,2010-04-16 10:00,14.4,30
51,2010-04-16 13:00,10.8,33.5
88,2010-04-16 22:00,14.4,24.5
92,2010-04-17 07:00,0,23.4
78,2010-04-17 10:00,3.6,26.5
51,2010-04-17 13:00,3.6,31
38,2010-04-17 16:00,3.6,34
44,2010-04-17 19:00,7.2,31.4
52,2010-04-18 10:00,0,32
42,2010-04-18 13:00,10.8,36.4
31,2010-04-18 16:00,7.2,39
48,2010-04-18 22:00,18,33.5
78,2010-04-19 04:00,0,28
NaN,2010-04-19 10:00,14.4,32
46,2010-04-19 13:00,7.2,35.6
40,2010-04-19 16:00,7.2,37.5
71,2010-04-19 22:00,0,28
78,2010-04-20 01:00,7.2,28
77,2010-04-20 04:00,7.2,27.8
81,2010-04-20 07:00,0,27
85,2010-04-20 22:00,3.6,27
93,2010-04-21 01:00,0,27.5
82,2010-04-21 04:00,7.2,27.8
83,2010-04-21 07:00,10.8,27.2
73,2010-04-21 10:00,10.8,30
62,2010-04-21 13:00,10.8,32.4
71,2010-04-22 10:00,21.6,29
70,2010-04-22 13:00,14.4,30.4
61,2010-04-22 16:00,10.8,32
71,2010-04-22 19:00,10.8,30.2
78,2010-04-22 22:00,10.8,29
69,2010-04-23 10:00,10.8,29.8
60,2010-04-23 13:00,7.2,32
58,2010-04-23 19:00,7.2,32
66,2010-04-23 22:00,NaN,30.5
82,2010-04-24 01:00,3.6,24.2
91,2010-04-24 07:00,7.2,23.4
68,2010-04-24 19:00,10.8,29
81,2010-04-24 22:00,3.6,26.5
87,2010-04-25 01:00,3.6,25.6
95,2010-04-25 07:00,3.6,24.1
68,2010-04-25 10:00,7.2,28.8
47,2010-04-25 16:00,7.2,34.4
70,2010-04-25 22:00,14.4,25.6
58,2010-04-26 10:00,7.2,30
64,2010-04-29 10:00,3.6,30.3
50,2010-04-29 13:00,0,34
77,2010-04-30 10:00,10.8,28.5
58,2010-04-30 13:00,3.6,31.9
65,2010-04-30 16:00,7.2,31.2
82,2010-05-01 04:00,10.8,24.9
61,2010-05-01 10:00,7.2,29.6
50,2010-05-01 13:00,10.8,33
43,2010-05-01 16:00,7.2,35
71,2010-05-02 19:00,10.8,29.5
81,2010-05-02 22:00,7.2,28
90,2010-05-03 01:00,7.2,27
91,2010-05-03 07:00,3.6,26.6
98,2010-05-03 22:00,7.2,23.2
98,2010-05-04 01:00,3.6,23.5
58,2010-05-04 16:00,7.2,31.5
76,2010-05-05 10:00,3.6,27.5
69,2010-05-05 19:00,7.2,30
93,2010-05-06 04:00,0,26.5
88,2010-05-06 07:00,0,27
81,2010-05-06 10:00,14.4,28.5
66,2010-05-06 13:00,3.6,31.4
92,2010-05-06 16:00,10.8,23.4
81,2010-05-07 10:00,7.2,27
63,2010-05-07 13:00,7.2,30.5
62,2010-05-07 16:00,7.2,31.7
91,2010-05-08 01:00,7.2,25.9
95,2010-05-08 04:00,7.2,25.5
92,2010-05-08 07:00,3.6,26
90,2010-05-08 22:00,7.2,24.2
94,2010-05-09 01:00,3.6,24.1
93,2010-05-09 07:00,3.6,24.2
81,2010-05-09 10:00,0,27
74,2010-05-10 10:00,3.6,27.5
63,2010-05-10 13:00,7.2,30
59,2010-05-10 16:00,3.6,31.5
92,2010-05-11 04:00,3.6,26
90,2010-05-11 07:00,3.6,25.2
71,2010-05-11 10:00,10.8,29.5
63,2010-05-11 13:00,3.6,32
64,2010-05-11 22:00,3.6,28.5
70,2010-05-12 13:00,7.2,28.2
52,2010-05-12 16:00,10.8,31.5
87,2010-05-12 22:00,3.6,26.4
94,2010-05-13 01:00,3.6,25.4
96,2010-05-13 04:00,0,25.3
95,2010-05-13 07:00,7.2,25.6
92,2010-05-13 22:00,7.2,25.8
92,2010-05-14 01:00,0,26
96,2010-05-14 04:00,3.6,26
92,2010-05-14 07:00,10.8,25.5
85,2010-05-14 10:00,10.8,27
77,2010-05-15 10:00,7.2,28.8
66,2010-05-15 13:00,7.2,31.7
61,2010-05-15 16:00,7.2,32.5
85,2010-05-16 01:00,3.6,27
78,2010-05-16 10:00,7.2,29
71,2010-05-16 13:00,10.8,30.2
59,2010-05-16 16:00,10.8,33.4
82,2010-05-16 22:00,3.6,29
76,2010-05-17 10:00,10.8,27
85,2010-05-17 19:00,7.2,27.5
92,2010-05-17 22:00,0,27
84,2010-05-18 01:00,3.6,26.5
92,2010-05-18 07:00,0,25
72,2010-05-18 19:00,7.2,30.4
95,2010-05-18 22:00,7.2,24.4
92,2010-05-19 01:00,0,25
96,2010-05-19 07:00,0,25
63,2010-05-19 13:00,10.8,31.8
91,2010-05-20 10:00,3.6,23.5
74,2010-05-20 13:00,7.2,28.5
83,2010-05-20 16:00,14.4,27.2
92,2010-05-20 22:00,3.6,26
81,2010-05-21 10:00,10.8,27.4
85,2010-05-21 13:00,21.6,27
89,2010-05-21 16:00,0,25.8
92,2010-05-21 19:00,3.6,25.5
92,2010-05-21 22:00,7.2,25
95,2010-05-22 04:00,3.6,24.2
98,2010-05-22 07:00,3.6,24
79,2010-05-22 10:00,3.6,27.5
62,2010-05-22 16:00,7.2,31.4
81,2010-05-22 19:00,0,28.3
88,2010-05-22 22:00,3.6,27.5
96,2010-05-23 19:00,10.8,22.7
93,2010-05-23 22:00,0,22
84,2010-05-24 01:00,7.2,22.8
88,2010-05-24 04:00,3.6,22.8
96,2010-05-24 07:00,0,24
82,2010-05-24 10:00,0,27.4
78,2010-05-24 13:00,10.8,30
85,2010-05-25 10:00,7.2,29
85,2010-05-25 16:00,7.2,29
84,2010-05-25 22:00,7.2,25.1
74,2010-05-26 10:00,10.8,29
72,2010-05-26 13:00,28.8,30
68,2010-05-26 16:00,10.8,31.2
86,2010-05-26 19:00,3.6,28.3
90,2010-05-26 22:00,3.6,27.2
81,2010-05-27 13:00,14.4,27.5
36,2010-05-27 16:00,7.2,37.5
95,2010-05-27 22:00,3.6,25.6
95,2010-05-28 01:00,3.6,25
96,2010-05-28 07:00,3.6,24
96,2010-05-29 01:00,10.8,22.5
96,2010-05-29 04:00,7.2,22.5
94,2010-05-29 07:00,7.2,23
77,2010-05-29 10:00,14.4,27
67,2010-05-29 16:00,10.8,30.2
80,2010-05-30 10:00,3.6,28.5
68,2010-05-30 13:00,10.8,31.4
63,2010-05-30 16:00,10.8,32
85,2010-05-31 10:00,7.2,27.7
71,2010-05-31 13:00,10.8,29.4
92,2010-06-01 04:00,10.8,23.9
91,2010-06-01 07:00,0,23.7
65,2010-06-01 13:00,14.4,29
77,2010-06-01 19:00,3.6,27.4
87,2010-06-01 22:00,3.6,26
92,2010-06-02 01:00,7.2,25
92,2010-06-02 04:00,7.2,25
92,2010-06-02 07:00,3.6,25
91,2010-06-02 19:00,3.6,24
96,2010-06-02 22:00,0,23.5
91,2010-06-03 01:00,0,22.4
91,2010-06-03 04:00,0,22.5
96,2010-06-03 07:00,3.6,23
90,2010-06-03 10:00,7.2,24.6
74,2010-06-03 13:00,10.8,29
78,2010-06-04 10:00,10.8,27.5
59,2010-06-04 13:00,10.8,30
65,2010-06-04 16:00,10.8,31
75,2010-06-04 19:00,7.2,29.4
85,2010-06-04 22:00,0,27
88,2010-06-05 01:00,3.6,26
92,2010-06-05 07:00,10.8,25
89,2010-06-05 10:00,10.8,25.5
76,2010-06-05 13:00,7.2,28.3
74,2010-06-05 16:00,10.8,28.5
80,2010-06-05 19:00,3.6,27
90,2010-06-05 22:00,3.6,25.6
96,2010-06-06 04:00,0,24.2
96,2010-06-06 07:00,3.6,24.4
88,2010-06-06 10:00,10.8,26.5
93,2010-06-06 13:00,25.2,21.2
76,2010-06-06 16:00,10.8,25
58,2010-06-08 16:00,7.2,31.5
81,2010-06-11 10:00,3.6,26.4
84,2010-06-11 22:00,7.2,27.5
97,2010-06-12 01:00,7.2,21.7
96,2010-06-14 22:00,7.2,22.9
98,2010-06-15 04:00,3.6,22
61,2010-06-18 16:00,7.2,32
89,2010-06-25 22:00,7.2,25.5
96,2010-06-26 04:00,10.8,23.4
98,2010-06-26 07:00,3.6,23.2
96,2010-06-27 07:00,7.2,23.4
88,2010-06-28 10:00,0,26.5
80,2010-06-29 10:00,3.6,28
65,2010-06-29 13:00,7.2,30.3
61,2010-06-29 16:00,10.8,32.5
82,2010-06-29 22:00,7.2,27.4
90,2010-06-30 01:00,3.6,26.4
95,2010-06-30 04:00,3.6,25.6
94,2010-06-30 07:00,0,25
72,2010-06-30 13:00,0,30
62,2010-06-30 16:00,10.8,32.8
91,2010-06-30 22:00,0,24.5
91,2010-07-01 01:00,0,24
93,2010-07-01 07:00,0,23.5
87,2010-07-01 10:00,14.4,24.6
84,2010-07-01 19:00,7.2,26
88,2010-07-02 01:00,7.2,24.4
94,2010-07-02 07:00,0,22.5
96,2010-07-03 07:00,0,23.5
NaN,2010-07-03 10:00,10.8,NaN
72,2010-07-03 13:00,NaN,28.6
59,2010-07-03 16:00,7.2,31.2
92,2010-07-04 10:00,7.2,22.6
72,2010-07-04 13:00,3.6,28.6
89,2010-07-04 22:00,0,25.5
93,2010-07-05 01:00,0,24.4
94,2010-07-05 07:00,7.2,24
67,2010-07-05 13:00,10.8,30.6
58,2010-07-05 16:00,7.2,31.7
78,2010-07-05 19:00,18,28
89,2010-07-05 22:00,0,26
91,2010-07-06 01:00,0,25.6
80,2010-07-06 10:00,7.2,26
70,2010-07-06 13:00,7.2,28
67,2010-07-06 16:00,10.8,30
76,2010-07-06 19:00,7.2,28.3
90,2010-07-06 22:00,3.6,26.3
98,2010-07-07 01:00,10.8,22
98,2010-07-07 04:00,7.2,21.8
98,2010-07-07 07:00,10.8,22.2
96,2010-07-07 10:00,7.2,23.1
74,2010-07-07 13:00,3.6,27.4
96,2010-07-08 07:00,7.2,22.5
84,2010-07-08 10:00,3.6,26
72,2010-07-08 13:00,14.4,30
65,2010-07-08 16:00,18,30.1
84,2010-07-09 10:00,7.2,25
73,2010-07-09 13:00,10.8,28
65,2010-07-09 16:00,7.2,30
95,2010-07-10 01:00,14.4,24
96,2010-07-10 07:00,14.4,22.5
89,2010-07-10 10:00,10.8,24.6
76,2010-07-10 13:00,14.4,27
96,2010-07-10 16:00,0,23.7
98,2010-07-10 19:00,0,23.5
96,2010-07-10 22:00,7.2,22.4
96,2010-07-11 07:00,0,22.8
89,2010-07-11 10:00,0,25
74,2010-07-11 13:00,10.8,28
68,2010-07-11 16:00,10.8,29
80,2010-07-11 19:00,3.6,27.3
89,2010-07-11 22:00,3.6,26
93,2010-07-12 01:00,0,25.3
91,2010-07-12 04:00,7.2,24.5
96,2010-07-12 07:00,3.6,23.5
75,2010-07-12 16:00,7.2,28.4
85,2010-07-12 19:00,3.6,27
90,2010-07-12 22:00,7.2,25.3
87,2010-07-13 10:00,7.2,26.2
70,2010-07-13 16:00,14.4,29.7
86,2010-07-14 10:00,7.2,26.5
85,2010-07-14 13:00,10.8,27
75,2010-07-14 16:00,14.4,28.8
85,2010-07-14 19:00,0,27.2
