hum_mean_perc,time,wind_kmh,temp
56,2010-01-19 10:00,10.8,24.2
35,2010-01-19 13:00,18,30.8
68,2010-01-22 13:00,18,29.6
61,2010-01-24 13:00,10.8,31.4
58,2010-01-25 16:00,18,33.2
89,2010-01-26 10:00,14.4,27.5
71,2010-01-26 13:00,14.4,31
82,2010-01-26 19:00,14.4,29
82,2010-01-27 10:00,3.6,29.2
65,2010-01-27 16:00,18,32.6
67,2010-01-28 16:00,18,32.5
77,2010-01-28 19:00,10.8,29.6
83,2010-01-29 10:00,14.4,28.7
52,2010-01-29 13:00,18,34.4
98,2010-02-01 07:00,7.2,25
60,2010-02-02 13:00,14.4,32.4
80,2010-02-03 10:00,14.4,29.7
49,2010-02-03 13:00,14.4,34.6
53,2010-02-03 16:00,18,34.6
96,2010-02-04 07:00,0,25.7
85,2010-02-04 10:00,14.4,29
59,2010-02-04 13:00,10.8,34
61,2010-02-04 16:00,14.4,34
72,2010-02-04 19:00,18,30.5
96,2010-02-05 07:00,0,26
80,2010-02-05 13:00,18,29
100,2010-02-06 07:00,10.8,25
82,2010-02-06 10:00,14.4,28.2
29,2010-02-06 16:00,18,36.8
41,2010-02-06 19:00,10.8,31.4
75,2010-02-08 10:00,10.8,28
30,2010-02-08 13:00,14.4,35
19,2010-02-08 16:00,18,37
66,2010-02-08 19:00,14.4,31
92,2010-02-09 07:00,0,25.6
83,2010-02-09 10:00,10.8,28.6
56,2010-02-09 13:00,14.4,33.5
49,2010-02-09 16:00,14.4,34.5
92,2010-02-10 07:00,0,26.7
76,2010-02-10 10:00,10.8,30
55,2010-02-10 13:00,14.4,33.8
94,2010-02-11 07:00,0,26
73,2010-02-11 10:00,10.8,30.8
64,2010-02-11 13:00,14.4,33
83,2010-02-11 16:00,0,27
93,2010-02-12 07:00,10.8,24
78,2010-02-12 10:00,10.8,29.4
64,2010-02-12 13:00,14.4,33
88,2010-02-12 22:00,14.4,28.2
85,2010-02-13 01:00,0,27.4
94,2010-02-13 07:00,0,25
76,2010-02-13 10:00,18,30
57,2010-02-13 13:00,14.4,34.5
93,2010-02-14 07:00,10.8,23
50,2010-02-14 16:00,18,34.2
78,2010-02-15 10:00,10.8,29.9
61,2010-02-15 13:00,18,32.8
54,2010-02-15 16:00,21.6,34
96,2010-02-16 07:00,0,25
85,2010-02-16 10:00,14.4,28.6
52,2010-02-16 16:00,21.6,34.6
72,2010-02-16 19:00,14.4,30
80,2010-02-18 10:00,14.4,30.2
54,2010-02-18 13:00,18,35.2
94,2010-02-19 07:00,14.4,25.3
81,2010-02-19 10:00,14.4,29.7
62,2010-02-19 16:00,21.6,34
95,2010-02-20 07:00,0,26.4
82,2010-02-20 10:00,0,30.5
65,2010-02-20 13:00,18,33.5
89,2010-02-20 22:00,14.4,28.6
60,2010-02-22 16:00,25.2,34.7
66,2010-02-22 19:00,14.4,30.6
90,2010-02-23 07:00,0,23.8
80,2010-02-23 10:00,0,29.6
94,2010-02-24 07:00,0,27
82,2010-02-24 10:00,14.4,29.6
56,2010-02-24 13:00,18,35
58,2010-02-24 16:00,18,35.2
72,2010-02-24 19:00,14.4,31
78,2010-02-25 10:00,10.8,29.5
62,2010-02-25 13:00,14.4,34.5
61,2010-02-25 16:00,18,34
93,2010-02-26 04:00,7.2,27.4
54,2010-02-26 16:00,14.4,35.5
75,2010-02-26 19:00,18,30.8
53,2010-02-27 13:00,14.4,35.8
62,2010-02-27 16:00,21.6,34.2
53,2010-02-28 13:00,14.4,35.2
53,2010-02-28 16:00,14.4,35.4
94,2010-02-28 19:00,10.8,23.8
87,2010-02-28 22:00,18,24.6
84,2010-03-01 10:00,10.8,28
67,2010-03-01 13:00,18,33.5
65,2010-03-01 16:00,18,33.1
91,2010-03-02 07:00,7.2,25
72,2010-03-02 19:00,10.8,31
96,2010-03-03 07:00,0,26.5
59,2010-03-03 13:00,14.4,35.2
62,2010-03-03 16:00,21.6,34.5
94,2010-03-04 07:00,10.8,27
88,2010-03-05 01:00,0,28.8
96,2010-03-05 07:00,0,27
75,2010-03-05 10:00,18,31
60,2010-03-06 13:00,18,33.8
58,2010-03-06 16:00,21.6,34
70,2010-03-06 19:00,18,30.8
78,2010-03-07 10:00,14.4,30
53,2010-03-07 13:00,21.6,35.4
93,2010-03-08 07:00,0,26.5
86,2010-03-08 10:00,18,29
60,2010-03-08 13:00,14.4,34.5
61,2010-03-08 16:00,21.6,34.2
72,2010-03-08 19:00,14.4,31
92,2010-03-09 01:00,0,28.2
61,2010-03-10 16:00,18,33.6
72,2010-03-10 19:00,14.4,29.4
96,2010-03-11 07:00,0,25
85,2010-03-11 10:00,18,29.1
71,2010-03-11 13:00,18,31.7
95,2010-03-12 07:00,7.2,26.6
59,2010-03-12 13:00,21.6,33.4
82,2010-03-12 19:00,0,29
89,2010-03-12 22:00,0,27.8
92,2010-03-13 01:00,0,27
77,2010-03-13 10:00,10.8,30.4
NaN,2010-03-13 13:00,18,NaN
83,2010-03-14 10:00,10.8,29.2
80,2010-03-14 13:00,18,30.6
73,2010-03-14 16:00,14.4,31.6
82,2010-03-14 19:00,0,29
81,2010-03-15 10:00,14.4,29.4
67,2010-03-15 13:00,14.4,32.4
52,2010-03-15 16:00,18,33.8
82,2010-03-16 10:00,18,25.6
91,2010-03-16 16:00,18,24
87,2010-03-16 19:00,7.2,25
91,2010-03-16 22:00,0,24.6
96,2010-03-17 04:00,0,23.8
96,2010-03-17 07:00,0,23.5
79,2010-03-17 10:00,10.8,27.2
62,2010-03-17 13:00,14.4,32.2
96,2010-03-18 07:00,10.8,25.7
82,2010-03-18 10:00,10.8,29
64,2010-03-18 13:00,14.4,32.6
59,2010-03-18 16:00,18,33.5
94,2010-03-19 07:00,0,26.1
78,2010-03-19 10:00,14.4,30.3
60,2010-03-19 13:00,21.6,34
97,2010-03-20 07:00,0,24.4
85,2010-03-20 10:00,14.4,28.2
69,2010-03-20 13:00,14.4,31.6
95,2010-03-21 07:00,0,26.6
87,2010-03-21 10:00,10.8,28.2
47,2010-03-21 16:00,14.4,32
79,2010-03-23 07:00,10.8,25.6
16,2010-03-23 13:00,10.8,38.3
81,2010-03-24 10:00,10.8,29
63,2010-03-24 13:00,18,32.4
92,2010-03-27 07:00,10.8,25.7
95,2010-03-27 10:00,10.8,27.1
62,2010-03-27 13:00,18,33.5
63,2010-03-27 16:00,14.4,34.4
96,2010-03-28 07:00,10.8,26.6
82,2010-03-28 10:00,0,30.2
61,2010-03-28 13:00,14.4,33.8
65,2010-03-28 16:00,14.4,33.4
96,2010-03-29 07:00,0,26.5
81,2010-03-29 10:00,14.4,30
62,2010-03-29 13:00,10.8,33.5
