hum_mean_perc,time,wind_kmh,temp
37,2010-01-19 07:00,25.2,21
NaN,2010-01-19 10:00,21.6,25.5
19,2010-01-19 13:00,10.8,31.6
27,2010-01-19 22:00,21.6,27.1
28,2010-01-20 13:00,21.6,31.5
20,2010-01-20 22:00,14.4,27.9
24,2010-01-21 01:00,21.6,25.2
25,2010-01-21 04:00,21.6,24.3
27,2010-01-21 10:00,14.4,27.5
21,2010-01-21 19:00,7.2,31
24,2010-01-22 04:00,21.6,24.5
18,2010-01-22 10:00,10.8,28.2
14,2010-01-22 13:00,7.2,34.4
15,2010-01-22 16:00,7.2,35.5
25,2010-01-23 01:00,7.2,25.8
23,2010-01-24 07:00,18,25
14,2010-01-24 16:00,7.2,35
48,2010-01-25 04:00,7.2,24
37,2010-01-25 19:00,NaN,32.7
24,2010-01-25 22:00,7.2,30
63,2010-01-26 10:00,3.6,29.5
49,2010-01-26 13:00,3.6,34
41,2010-01-26 16:00,3.6,36
48,2010-01-26 19:00,3.6,33.5
70,2010-01-27 04:00,3.6,25.5
51,2010-01-27 13:00,18,34.6
44,2010-01-27 16:00,3.6,36
71,2010-01-28 10:00,14.4,29.6
35,2010-01-28 16:00,7.2,37
38,2010-01-28 19:00,7.2,34.5
46,2010-01-28 22:00,3.6,31.5
55,2010-01-29 01:00,3.6,29
65,2010-01-29 04:00,3.6,26.5
52,2010-01-29 10:00,10.8,30.8
39,2010-01-29 13:00,3.6,35.6
28,2010-02-01 04:00,7.2,26.3
NaN,2010-02-01 07:00,3.6,NaN
26,2010-02-03 07:00,10.8,24.3
12,2010-02-03 10:00,21.6,30.7
15,2010-02-03 13:00,10.8,35.5
20,2010-02-03 16:00,14.4,37.5
28,2010-02-03 19:00,7.2,33.2
38,2010-02-03 22:00,3.6,29
23,2010-02-04 07:00,3.6,25.2
15,2010-02-04 10:00,18,31.4
19,2010-02-04 13:00,14.4,36.5
28,2010-02-04 16:00,7.2,37.5
36,2010-02-04 19:00,7.2,34.5
17,2010-02-05 01:00,18,29
24,2010-02-05 07:00,10.8,25.6
18,2010-02-05 10:00,25.2,29.5
21,2010-02-05 19:00,7.2,34
