hum_mean_perc,time,wind_kmh,temp
83,2015-01-01 00:00,0,19
83,2015-01-01 00:00,0,19
78,2015-01-01 01:00,10.8,18
78,2015-01-01 01:00,10.8,18
73,2015-01-01 02:00,10.8,18
73,2015-01-01 02:00,10.8,18
73,2015-01-01 03:00,14.4,18
73,2015-01-01 03:00,14.4,18
73,2015-01-01 04:00,10.8,18
73,2015-01-01 04:00,10.8,18
78,2015-01-01 05:00,10.8,18
78,2015-01-01 05:00,10.8,18
68,2015-01-01 06:00,7.2,17
68,2015-01-01 06:00,7.2,17
56,2015-01-01 07:00,10.8,17
56,2015-01-01 07:00,10.8,17
52,2015-01-01 08:00,14.4,17
52,2015-01-01 08:00,14.4,17
33,2015-01-01 09:00,10.8,20
33,2015-01-01 09:00,10.8,20
29,2015-01-01 10:00,18,22
29,2015-01-01 10:00,18,22
27,2015-01-01 11:00,25.2,24
27,2015-01-01 11:00,25.2,24
26,2015-01-01 12:00,18,26
26,2015-01-01 12:00,18,26
NaN,2015-01-01 13:00,25.2,NaN
NaN,2015-01-01 13:00,25.2,NaN
18,2015-01-01 14:00,18,30
18,2015-01-01 14:00,18,30
19,2015-01-01 15:00,14.4,30
19,2015-01-01 15:00,14.4,30
19,2015-01-01 16:00,10.8,31
19,2015-01-01 16:00,10.8,31
19,2015-01-01 17:00,7.2,31
19,2015-01-01 17:00,7.2,31
94,2015-01-01 18:00,0,28
94,2015-01-01 18:00,0,28
47,2015-01-01 19:00,0,25
47,2015-01-01 19:00,0,25
57,2015-01-01 20:00,0,22
57,2015-01-01 20:00,0,22
53,2015-01-01 21:00,14.4,22
53,2015-01-01 21:00,14.4,22
53,2015-01-01 22:00,18,22
53,2015-01-01 22:00,18,22
53,2015-01-01 23:00,18,21
53,2015-01-01 23:00,18,21
49,2015-02-01 00:00,18,20
49,2015-02-01 00:00,18,20
33,2015-02-01 01:00,14.4,20
33,2015-02-01 01:00,14.4,20
33,2015-02-01 02:00,18,20
33,2015-02-01 02:00,18,20
30,2015-02-01 03:00,18,20
30,2015-02-01 03:00,18,20
26,2015-02-01 04:00,18,20
26,2015-02-01 04:00,18,20
32,2015-02-01 05:00,14.4,19
32,2015-02-01 05:00,14.4,19
30,2015-02-01 06:00,18,18
30,2015-02-01 06:00,18,18
32,2015-02-01 07:00,18,18
32,2015-02-01 07:00,18,18
26,2015-02-01 08:00,18,18
26,2015-02-01 08:00,18,18
24,2015-02-01 09:00,21.6,19
24,2015-02-01 09:00,21.6,19
21,2015-02-01 10:00,28.8,21
21,2015-02-01 10:00,28.8,21
20,2015-02-01 11:00,28.8,22
20,2015-02-01 11:00,28.8,22
22,2015-02-01 12:00,28.8,23
22,2015-02-01 12:00,28.8,23
24,2015-02-01 13:00,28.8,25
24,2015-02-01 13:00,28.8,25
20,2015-02-01 14:00,14.4,26
20,2015-02-01 14:00,14.4,26
24,2015-02-01 15:00,10.8,27
24,2015-02-01 15:00,10.8,27
23,2015-02-01 16:00,10.8,28
23,2015-02-01 16:00,10.8,28
20,2015-02-01 17:00,10.8,28
20,2015-02-01 17:00,10.8,28
26,2015-02-01 18:00,7.2,27
26,2015-02-01 18:00,7.2,27
41,2015-02-01 19:00,0,24
41,2015-02-01 19:00,0,24
60,2015-02-01 20:00,0,21
60,2015-02-01 20:00,0,21
56,2015-02-01 21:00,0,20
56,2015-02-01 21:00,0,20
29,2015-02-01 22:00,14.4,21
29,2015-02-01 22:00,14.4,21
49,2015-02-01 23:00,18,19
49,2015-02-01 23:00,18,19
49,2015-03-01 00:00,0,18
49,2015-03-01 00:00,0,18
37,2015-03-01 01:00,0,19
37,2015-03-01 01:00,0,19
37,2015-03-01 02:00,0,19
37,2015-03-01 02:00,0,19
43,2015-03-01 03:00,10.8,18
43,2015-03-01 03:00,10.8,18
42,2015-03-01 04:00,10.8,17
42,2015-03-01 04:00,10.8,17
37,2015-03-01 05:00,10.8,17
37,2015-03-01 05:00,10.8,17
45,2015-03-01 06:00,10.8,16
45,2015-03-01 06:00,10.8,16
45,2015-03-01 07:00,10.8,16
45,2015-03-01 07:00,10.8,16
51,2015-03-01 08:00,18,15
51,2015-03-01 08:00,18,15
32,2015-03-01 09:00,18,19
32,2015-03-01 09:00,18,19
26,2015-03-01 10:00,21.6,20
26,2015-03-01 10:00,21.6,20
27,2015-03-01 11:00,18,22
27,2015-03-01 11:00,18,22
21,2015-03-01 13:00,21.6,27
21,2015-03-01 13:00,21.6,27
19,2015-03-01 14:00,21.6,28
19,2015-03-01 14:00,21.6,28
19,2015-03-01 15:00,25.2,30
19,2015-03-01 15:00,25.2,30
20,2015-03-01 16:00,14.4,30
20,2015-03-01 16:00,14.4,30
27,2015-03-01 17:00,0,29
27,2015-03-01 17:00,0,29
37,2015-03-01 18:00,0,28
37,2015-03-01 18:00,0,28
51,2015-03-01 19:00,0,25
51,2015-03-01 19:00,0,25
39,2015-03-01 20:00,0,24
39,2015-03-01 20:00,0,24
65,2015-03-01 21:00,0,22
65,2015-03-01 21:00,0,22
39,2015-03-01 22:00,14.4,24
39,2015-03-01 22:00,14.4,24
38,2015-03-01 23:00,14.4,23
38,2015-03-01 23:00,14.4,23
41,2015-04-01 00:00,10.8,22
41,2015-04-01 00:00,10.8,22
46,2015-04-01 01:00,14.4,21
46,2015-04-01 01:00,14.4,21
31,2015-04-01 02:00,14.4,22
31,2015-04-01 02:00,14.4,22
31,2015-04-01 03:00,14.4,21
31,2015-04-01 03:00,14.4,21
43,2015-04-01 04:00,14.4,20
43,2015-04-01 04:00,14.4,20
33,2015-04-01 05:00,18,20
33,2015-04-01 05:00,18,20
35,2015-04-01 06:00,14.4,20
35,2015-04-01 06:00,14.4,20
37,2015-04-01 07:00,18,19
37,2015-04-01 07:00,18,19
49,2015-04-01 08:00,14.4,18
49,2015-04-01 08:00,14.4,18
30,2015-04-01 09:00,18,20
30,2015-04-01 09:00,18,20
29,2015-04-01 10:00,28.8,23
29,2015-04-01 10:00,28.8,23
30,2015-04-01 11:00,18,25
30,2015-04-01 11:00,18,25
24,2015-04-01 12:00,21.6,26
24,2015-04-01 12:00,21.6,26
28,2015-04-01 13:00,18,27
28,2015-04-01 13:00,18,27
22,2015-04-01 14:00,25.2,30
22,2015-04-01 14:00,25.2,30
15,2015-04-01 15:00,18,31
15,2015-04-01 15:00,18,31
13,2015-04-01 16:00,14.4,30
13,2015-04-01 16:00,14.4,30
24,2015-04-01 17:00,0,31
24,2015-04-01 17:00,0,31
29,2015-04-01 18:00,0,29
29,2015-04-01 18:00,0,29
