hum_mean_perc,time,wind_kmh,temp
92,2015-01-01 00:00,14.4,20.5
91,2015-01-01 03:00,14.4,20
92,2015-01-01 06:00,14.4,20.1
50,2015-01-01 09:00,10.8,21
27,2015-01-01 12:00,18,27.6
43,2015-01-01 15:00,18,25.2
70,2015-01-01 18:00,18,23
79,2015-01-01 21:00,14.4,21.6
64,2015-01-02 00:00,21.6,21.9
34,2015-01-02 03:00,21.6,21.2
35,2015-01-02 06:00,21.6,20.3
33,2015-01-02 09:00,14.4,19.6
28,2015-01-02 12:00,18,24.6
46,2015-01-02 15:00,14.4,24.1
58,2015-01-02 18:00,18,22.3
70,2015-01-02 21:00,25.2,21.5
75,2015-01-03 00:00,21.6,21.4
81,2015-01-03 03:00,18,21.1
40,2015-01-03 06:00,14.4,20
33,2015-01-03 09:00,14.4,21.1
28,2015-01-03 12:00,18,26.6
49,2015-01-03 15:00,14.4,26.3
63,2015-01-03 18:00,14.4,24.2
70,2015-01-03 21:00,14.4,23.2
75,2015-01-04 00:00,14.4,23
52,2015-01-04 03:00,14.4,23
43,2015-01-04 06:00,18,22.6
45,2015-01-04 09:00,14.4,22.5
26,2015-01-04 12:00,18,26.4
53,2015-01-04 15:00,14.4,26.5
69,2015-01-04 18:00,18,23.2
73,2015-01-04 21:00,18,22.6
75,2015-01-05 00:00,21.6,22.5
70,2015-01-05 03:00,21.6,22.5
54,2015-01-05 06:00,21.6,22.6
56,2015-01-05 09:00,18,22.5
58,2015-01-05 12:00,28.8,24
54,2015-01-05 15:00,25.2,24.3
60,2015-01-05 18:00,21.6,24.1
84,2015-01-05 21:00,21.6,22
80,2015-01-06 00:00,32.4,21.3
82,2015-01-06 03:00,21.6,21.2
66,2015-01-06 06:00,21.6,21.3
61,2015-01-06 09:00,21.6,22.1
55,2015-01-06 12:00,18,24
60,2015-01-06 15:00,21.6,24.7
74,2015-01-06 18:00,21.6,22.6
87,2015-01-06 21:00,18,21.6
81,2015-01-07 00:00,21.6,21.9
82,2015-01-07 03:00,14.4,21.5
84,2015-01-07 06:00,18,21.1
83,2015-01-07 09:00,18,21.8
58,2015-01-07 12:00,28.8,23.7
63,2015-01-07 15:00,28.8,23
68,2015-01-07 18:00,25.2,22
73,2015-01-07 21:00,21.6,21.2
75,2015-01-08 00:00,25.2,21
72,2015-01-08 03:00,25.2,20.6
68,2015-01-08 06:00,25.2,20.4
60,2015-01-08 09:00,28.8,21.2
55,2015-01-08 12:00,28.8,23
56,2015-01-08 15:00,32.4,22.8
66,2015-01-08 18:00,28.8,21.5
68,2015-01-08 21:00,25.2,20.4
68,2015-01-09 00:00,25.2,20.6
72,2015-01-09 03:00,25.2,20.4
68,2015-01-09 06:00,25.2,20.3
57,2015-01-09 09:00,28.8,21
54,2015-01-09 12:00,25.2,22.7
53,2015-01-09 15:00,25.2,23.3
71,2015-01-09 18:00,25.2,21.5
79,2015-01-09 21:00,18,20.5
91,2015-01-10 00:00,18,20
86,2015-01-10 03:00,18,19.7
86,2015-01-10 06:00,18,19.7
91,2015-01-10 09:00,14.4,20
73,2015-01-10 12:00,18,22.3
68,2015-01-10 15:00,18,22.5
76,2015-01-10 18:00,14.4,21.5
89,2015-01-10 21:00,14.4,20.6
86,2015-01-11 00:00,14.4,20.3
92,2015-01-11 03:00,18,19.8
89,2015-01-11 06:00,14.4,19.7
88,2015-01-11 09:00,18,19.9
74,2015-01-11 12:00,18,22.2
64,2015-01-11 15:00,14.4,24
71,2015-01-11 18:00,10.8,23
87,2015-01-11 21:00,10.8,20.5
93,2015-01-12 00:00,14.4,20.2
92,2015-01-12 03:00,14.4,20
92,2015-01-12 06:00,10.8,19.7
86,2015-01-12 09:00,14.4,20.5
71,2015-01-12 12:00,18,22.7
72,2015-01-12 15:00,21.6,23
84,2015-01-12 18:00,18,21.5
85,2015-01-12 21:00,18,20.7
89,2015-01-13 00:00,14.4,20.2
89,2015-01-13 03:00,18,19.7
92,2015-01-13 06:00,14.4,19.4
85,2015-01-13 09:00,18,20.1
77,2015-01-13 12:00,21.6,21.6
79,2015-01-13 15:00,21.6,21.6
78,2015-01-13 18:00,18,20.9
87,2015-01-13 21:00,18,20
