hum_mean_perc,time,wind_kmh,temp
78,2015-01-01 00:00,14.4,21
78,2015-01-01 00:30,14.4,21
83,2015-01-01 01:00,14.4,20
83,2015-01-01 01:30,14.4,20
83,2015-01-01 02:00,10.8,20
83,2015-01-01 02:30,10.8,20
83,2015-01-01 03:00,10.8,20
83,2015-01-01 03:30,10.8,20
78,2015-01-01 04:00,10.8,20
73,2015-01-01 04:30,14.4,21
83,2015-01-01 05:00,10.8,20
83,2015-01-01 05:30,10.8,20
83,2015-01-01 06:00,10.8,20
83,2015-01-01 06:30,7.2,20
78,2015-01-01 07:00,10.8,20
73,2015-01-01 07:30,10.8,20
50,2015-01-01 08:00,10.8,21
35,2015-01-01 08:30,7.2,21
29,2015-01-01 09:00,10.8,21
25,2015-01-01 09:30,7.2,22
22,2015-01-01 10:00,10.8,23
22,2015-01-01 10:30,14.4,23
22,2015-01-01 11:00,14.4,24
19,2015-01-01 11:30,14.4,25
18,2015-01-01 12:00,14.4,26
17,2015-01-01 12:30,10.8,26
16,2015-01-01 13:00,10.8,27
15,2015-01-01 13:30,3.6,28
30,2015-01-01 14:00,14.4,26
28,2015-01-01 14:30,18,26
32,2015-01-01 15:00,14.4,25
30,2015-01-01 15:30,14.4,25
34,2015-01-01 16:00,18,25
42,2015-01-01 16:30,21.6,25
50,2015-01-01 17:00,21.6,24
53,2015-01-01 18:00,18,23
57,2015-01-01 18:30,21.6,23
50,2015-01-01 19:00,18,23
50,2015-01-01 19:30,18,23
50,2015-01-01 20:00,14.4,23
57,2015-01-01 20:30,18,22
61,2015-01-01 21:00,14.4,22
65,2015-01-01 21:30,14.4,22
65,2015-01-01 22:00,14.4,22
65,2015-01-01 22:30,14.4,22
65,2015-01-01 23:00,18,22
57,2015-01-01 23:30,18,22
83,2015-01-02 00:00,18,18
83,2015-01-02 00:30,18,18
83,2015-01-02 01:00,18,18
83,2015-01-02 01:30,14.4,18
83,2015-01-02 02:00,14.4,18
88,2015-01-02 02:30,14.4,17
88,2015-01-02 03:00,18,17
88,2015-01-02 03:30,14.4,17
88,2015-01-02 04:00,18,18
94,2015-01-02 04:30,18,17
94,2015-01-02 05:00,18,17
94,2015-01-02 05:30,18,17
94,2015-01-02 06:00,18,17
88,2015-01-02 06:30,14.4,18
88,2015-01-02 07:00,18,18
88,2015-01-02 07:30,18,18
88,2015-01-02 08:00,18,18
88,2015-01-02 08:30,18,18
88,2015-01-02 09:00,18,18
88,2015-01-02 10:00,18,19
83,2015-01-02 10:30,21.6,19
83,2015-01-02 11:00,25.2,20
83,2015-01-02 11:30,25.2,20
83,2015-01-02 12:00,25.2,20
78,2015-01-02 12:30,25.2,21
78,2015-01-02 13:00,25.2,21
78,2015-01-02 13:30,25.2,21
73,2015-01-02 14:00,28.8,21
78,2015-01-02 14:30,25.2,21
78,2015-01-02 15:00,25.2,21
73,2015-01-02 16:00,28.8,21
69,2015-01-02 16:30,25.2,22
73,2015-01-02 17:00,28.8,21
78,2015-01-02 18:00,25.2,20
78,2015-01-02 18:30,18,20
83,2015-01-02 19:00,18,19
83,2015-01-02 19:30,18,19
83,2015-01-02 20:00,18,19
83,2015-01-02 20:30,18,19
83,2015-01-02 21:00,18,19
83,2015-01-02 21:30,21.6,19
83,2015-01-02 22:00,18,19
88,2015-01-02 22:30,18,19
88,2015-01-02 23:00,14.4,18
88,2015-01-02 23:30,14.4,18
68,2015-01-03 00:00,18,19
68,2015-01-03 01:00,18,19
68,2015-01-03 01:30,18,19
73,2015-01-03 02:00,18,19
73,2015-01-03 02:30,18,19
78,2015-01-03 03:00,18,18
