hum_mean_perc,time,wind_kmh,temp
76,2010-01-19 02:00,14.4,19.8
89,2010-01-19 08:00,10.8,19
71,2010-01-19 14:00,25.2,20.6
66,2010-01-19 20:00,28.8,18.7
78,2010-01-20 02:00,18,17.1
51,2010-01-20 14:00,36,24
76,2010-01-21 02:00,14.4,18.6
88,2010-01-21 20:00,25.2,21.3
95,2010-01-21 23:00,28.8,20.2
97,2010-01-22 02:00,25.2,19.5
94,2010-01-22 05:00,25.2,19.9
86,2010-01-22 08:00,28.8,20.3
71,2010-01-22 11:00,25.2,22
60,2010-01-22 14:00,25.2,23.9
59,2010-01-22 17:00,32.4,22.5
72,2010-01-22 20:00,25.2,20.1
76,2010-01-22 23:00,21.6,19
85,2010-01-23 02:00,14.4,17.8
89,2010-01-23 05:00,10.8,17.2
86,2010-01-24 08:00,10.8,18.8
60,2010-01-24 11:00,18,22.1
57,2010-01-24 14:00,25.2,23.9
57,2010-01-24 17:00,21.6,24.9
76,2010-01-24 20:00,21.6,21.7
87,2010-01-24 23:00,28.8,19.7
83,2010-01-25 08:00,21.6,20.8
75,2010-01-25 11:00,28.8,23.3
84,2010-01-25 20:00,25.2,20.4
92,2010-01-26 02:00,10.8,19.8
90,2010-01-26 08:00,10.8,18.8
59,2010-01-26 14:00,21.6,25
77,2010-01-26 20:00,14.4,20.2
98,2010-01-27 02:00,10.8,18.2
96,2010-01-27 08:00,10.8,19.1
67,2010-01-27 14:00,36,23.3
84,2010-01-27 20:00,43.2,19.9
77,2010-01-28 02:00,36,18.6
66,2010-01-28 08:00,39.6,19.7
44,2010-01-28 14:00,46.8,24.2
63,2010-01-28 20:00,43.2,19.7
63,2010-01-29 02:00,43.2,18.4
44,2010-01-29 14:00,39.6,26.4
75,2010-02-01 08:00,10.8,17.2
64,2010-02-01 14:00,25.2,21.6
73,2010-02-01 20:00,14.4,20.4
52,2010-02-02 14:00,18,23.6
82,2010-02-03 08:00,14.4,17.6
64,2010-02-03 14:00,NaN,22.7
73,2010-02-03 20:00,18,20.4
94,2010-02-04 02:00,14.4,18.3
78,2010-02-04 08:00,18,19.9
45,2010-02-04 14:00,10.8,27.4
74,2010-02-04 20:00,18,21.6
85,2010-02-05 02:00,7.2,18.5
86,2010-02-05 08:00,18,19.2
56,2010-02-05 14:00,32.4,23.8
77,2010-02-05 20:00,18,19.1
92,2010-02-06 02:00,7.2,16.2
83,2010-02-06 08:00,18,18.3
55,2010-02-06 14:00,39.6,24.7
81,2010-02-06 20:00,21.6,20.2
83,2010-02-07 02:00,25.2,19.6
86,2010-02-07 08:00,25.2,19.9
48,2010-02-07 14:00,36,27.5
80,2010-02-07 20:00,21.6,20.5
88,2010-02-08 02:00,7.2,21.3
NaN,2010-02-08 08:00,39.6,NaN
63,2010-02-08 14:00,25.2,26.3
87,2010-02-08 20:00,21.6,21.6
89,2010-02-09 02:00,NaN,19.9
71,2010-02-09 08:00,14.4,23.7
64,2010-02-09 14:00,32.4,26.9
77,2010-02-09 20:00,10.8,22.3
83,2010-02-10 02:00,3.6,20.7
97,2010-02-10 08:00,21.6,20.4
68,2010-02-10 14:00,28.8,24.8
69,2010-02-10 20:00,28.8,19.8
79,2010-02-11 02:00,18,18.4
79,2010-02-11 08:00,7.2,19.3
48,2010-02-11 14:00,10.8,27.1
80,2010-02-11 20:00,28.8,20.2
82,2010-02-12 02:00,3.6,17.2
70,2010-02-12 08:00,18,18.5
50,2010-02-12 14:00,28.8,23.4
77,2010-02-12 20:00,32.4,19.7
98,2010-02-13 02:00,14.4,18.5
84,2010-02-13 08:00,10.8,18.9
41,2010-02-13 14:00,10.8,24.8
81,2010-02-13 20:00,28.8,19.3
76,2010-02-14 02:00,25.2,19.7
74,2010-02-14 08:00,10.8,20.8
42,2010-02-14 14:00,21.6,29.1
88,2010-02-14 20:00,21.6,21.1
95,2010-02-15 02:00,10.8,19.8
97,2010-02-15 08:00,7.2,19
48,2010-02-15 14:00,21.6,25.4
69,2010-02-15 20:00,18,19.6
83,2010-02-16 02:00,21.6,18.3
93,2010-02-16 08:00,18,15.3
57,2010-02-16 14:00,21.6,20.7
67,2010-02-16 20:00,18,17.9
54,2010-02-17 08:00,7.2,17.3
36,2010-02-17 14:00,10.8,23
61,2010-02-17 20:00,21.6,18.4
68,2010-02-18 08:00,10.8,18.9
48,2010-02-18 14:00,21.6,24.6
76,2010-02-18 20:00,25.2,19.9
84,2010-02-19 02:00,18,20.2
83,2010-02-19 08:00,25.2,21.1
60,2010-02-19 14:00,39.6,26.8
77,2010-02-19 20:00,21.6,23
85,2010-02-20 02:00,18,20.7
82,2010-02-20 08:00,NaN,21.8
26,2010-02-20 14:00,7.2,36
94,2010-02-20 20:00,28.8,21.9
90,2010-02-21 08:00,32.4,22.6
62,2010-02-21 14:00,43.2,27.3
84,2010-02-21 20:00,39.6,22
78,2010-02-22 02:00,7.2,22
73,2010-02-22 08:00,18,23.4
70,2010-02-22 20:00,25.2,23.5
78,2010-02-23 02:00,14.4,22.6
77,2010-02-23 08:00,7.2,23.3
56,2010-02-23 14:00,18,28.7
86,2010-02-23 20:00,36,22.3
82,2010-02-24 02:00,10.8,22.9
88,2010-02-24 08:00,7.2,22.3
43,2010-02-24 14:00,10.8,31
91,2010-02-24 20:00,18,20.5
100,2010-02-25 02:00,10.8,18.6
93,2010-02-25 08:00,14.4,20.6
69,2010-02-25 14:00,36,24.7
78,2010-02-25 20:00,32.4,21
77,2010-02-26 02:00,25.2,20.2
68,2010-02-26 08:00,7.2,21
46,2010-02-26 14:00,25.2,28.2
72,2010-02-26 20:00,25.2,22.7
73,2010-02-27 02:00,14.4,20.6
56,2010-02-27 08:00,18,22.6
45,2010-02-27 14:00,25.2,28.1
