hum_mean_perc,time,wind_kmh,temp
85,2010-01-19 02:00,10.8,24.2
78,2010-01-19 08:00,10.8,26.4
84,2010-01-19 20:00,21.6,23.9
83,2010-01-20 02:00,10.8,22.5
91,2010-01-20 14:00,14.4,22.7
91,2010-01-21 02:00,7.2,22
77,2010-01-21 20:00,10.8,24
84,2010-01-22 02:00,7.2,23.4
84,2010-01-22 05:00,7.2,23.8
73,2010-01-22 08:00,14.4,25.4
55,2010-01-22 11:00,21.6,28.6
71,2010-01-22 14:00,28.8,29.7
79,2010-01-22 17:00,18,27
91,2010-01-22 20:00,7.2,25.9
76,2010-01-23 02:00,7.2,25
90,2010-01-23 05:00,14.4,23.5
87,2010-01-24 08:00,10.8,26.3
72,2010-01-24 11:00,18,28.8
64,2010-01-24 14:00,18,30.5
67,2010-01-24 17:00,14.4,29.7
91,2010-01-24 20:00,10.8,26.4
84,2010-01-25 08:00,18,26.9
73,2010-01-25 11:00,21.6,29.1
86,2010-01-25 20:00,7.2,26.4
94,2010-01-26 02:00,3.6,25.6
96,2010-01-26 08:00,10.8,25.6
82,2010-01-26 14:00,14.4,26.5
96,2010-01-26 20:00,18,21.3
98,2010-01-27 02:00,7.2,21.5
92,2010-01-27 08:00,3.6,23.4
72,2010-01-27 14:00,18,27.8
85,2010-01-27 20:00,10.8,25.8
89,2010-01-28 02:00,10.8,25
62,2010-01-28 08:00,36,25.8
68,2010-01-28 14:00,32.4,26.5
87,2010-01-28 20:00,21.6,21.4
55,2010-01-29 02:00,18,21.9
71,2010-01-29 08:00,18,22.5
84,2010-01-29 14:00,25.2,22.5
77,2010-02-01 08:00,18,25.6
80,2010-02-01 14:00,25.2,25.9
97,2010-02-01 20:00,18,22.4
85,2010-02-02 14:00,10.8,23.7
84,2010-02-03 08:00,18,24.3
70,2010-02-03 14:00,25.2,28.2
93,2010-02-03 20:00,14.4,25.7
84,2010-02-04 02:00,14.4,23.1
74,2010-02-04 08:00,18,26.2
73,2010-02-04 14:00,32.4,27.4
83,2010-02-04 20:00,10.8,24.3
83,2010-02-05 02:00,10.8,23.6
78,2010-02-05 08:00,7.2,24.9
74,2010-02-05 14:00,21.6,28.1
87,2010-02-05 20:00,18,25.9
92,2010-02-06 02:00,10.8,24.6
84,2010-02-06 08:00,7.2,26.7
61,2010-02-06 14:00,14.4,32.3
89,2010-02-06 20:00,14.4,26.2
95,2010-02-07 02:00,7.2,25.1
83,2010-02-07 08:00,10.8,27.4
69,2010-02-07 14:00,18,31.1
88,2010-02-07 20:00,10.8,25.9
90,2010-02-08 02:00,7.2,24.9
88,2010-02-08 08:00,NaN,26.1
68,2010-02-08 14:00,21.6,30
82,2010-02-08 20:00,14.4,25.9
86,2010-02-09 02:00,10.8,24.1
78,2010-02-09 08:00,7.2,25.9
61,2010-02-09 14:00,25.2,29.3
83,2010-02-10 02:00,10.8,23.2
72,2010-02-10 08:00,18,25.3
58,2010-02-10 14:00,21.6,30.3
81,2010-02-10 20:00,18,25.1
91,2010-02-11 02:00,14.4,23.5
79,2010-02-11 08:00,3.6,26.2
73,2010-02-11 14:00,21.6,28.8
85,2010-02-11 20:00,10.8,25.7
87,2010-02-12 02:00,14.4,24.7
80,2010-02-12 08:00,14.4,26.4
59,2010-02-12 14:00,21.6,31.9
81,2010-02-12 20:00,10.8,26.3
88,2010-02-13 02:00,36,25.6
83,2010-02-13 08:00,21.6,27.3
77,2010-02-13 14:00,21.6,28.5
94,2010-02-13 20:00,18,24.9
90,2010-02-14 02:00,14.4,23.5
82,2010-02-14 08:00,10.8,25.5
65,2010-02-14 14:00,10.8,27.9
80,2010-02-14 20:00,7.2,24.8
83,2010-02-15 02:00,10.8,24.5
77,2010-02-15 08:00,14.4,26.9
68,2010-02-15 14:00,28.8,30.5
85,2010-02-15 20:00,25.2,26.1
82,2010-02-16 02:00,7.2,24.9
73,2010-02-16 08:00,NaN,27.9
53,2010-02-16 14:00,18,32.3
96,2010-02-16 20:00,18,23
95,2010-02-17 08:00,14.4,21.2
84,2010-02-17 14:00,25.2,23.8
93,2010-02-17 20:00,10.8,22
73,2010-02-18 08:00,3.6,24.8
72,2010-02-18 14:00,18,26.7
80,2010-02-18 20:00,10.8,25.3
88,2010-02-19 02:00,NaN,24.3
84,2010-02-19 08:00,7.2,25.2
79,2010-02-19 14:00,21.6,27.8
83,2010-02-19 20:00,18,24.7
88,2010-02-20 02:00,NaN,20.9
69,2010-02-20 08:00,7.2,25.7
70,2010-02-20 14:00,14.4,27.8
85,2010-02-20 20:00,10.8,25.4
79,2010-02-21 08:00,10.8,25.8
67,2010-02-21 14:00,25.2,29.7
85,2010-02-21 20:00,14.4,26
90,2010-02-22 02:00,25.2,25
79,2010-02-22 08:00,14.4,26.2
83,2010-02-22 14:00,21.6,28.7
83,2010-02-22 20:00,7.2,26.6
92,2010-02-23 02:00,NaN,24.7
80,2010-02-23 08:00,NaN,27.2
72,2010-02-23 14:00,21.6,29
86,2010-02-23 20:00,14.4,26.6
78,2010-02-24 02:00,7.2,24.5
73,2010-02-24 08:00,10.8,26.7
76,2010-02-24 14:00,25.2,28.6
85,2010-02-24 20:00,21.6,26.4
80,2010-02-25 02:00,21.6,25.3
72,2010-02-25 08:00,14.4,26.6
66,2010-02-25 14:00,28.8,28.9
88,2010-02-25 20:00,25.2,25.4
79,2010-02-26 02:00,18,25.8
82,2010-02-26 08:00,25.2,24.3
77,2010-02-26 14:00,28.8,26.7
88,2010-02-26 20:00,25.2,24
79,2010-02-27 02:00,21.6,23.4
92,2010-02-27 08:00,10.8,22.6
90,2010-02-27 14:00,14.4,23.6
