hum_mean_perc,time,wind_kmh,temp
89,2010-01-19 02:00,10.8,17.7
77,2010-01-19 08:00,18,20.2
58,2010-01-19 14:00,18,25.1
89,2010-01-19 20:00,14.4,17.2
97,2010-01-20 02:00,18,16
63,2010-01-20 14:00,21.6,23.1
98,2010-01-21 02:00,10.8,16.8
95,2010-01-21 20:00,10.8,17.7
93,2010-01-21 23:00,7.2,17
99,2010-01-22 02:00,7.2,16.4
99,2010-01-22 05:00,7.2,16.3
92,2010-01-22 08:00,18,17.6
70,2010-01-22 11:00,14.4,22
67,2010-01-22 14:00,14.4,22.1
66,2010-01-22 20:00,7.2,22.2
94,2010-01-22 23:00,14.4,17.9
98,2010-01-23 02:00,7.2,16.4
98,2010-01-23 05:00,7.2,16.4
88,2010-01-24 08:00,7.2,18.4
70,2010-01-24 11:00,21.6,22.3
63,2010-01-24 14:00,14.4,24.1
74,2010-01-24 20:00,7.2,21.2
92,2010-01-25 08:00,10.8,18.6
77,2010-01-25 11:00,14.4,21.4
70,2010-01-25 20:00,7.2,22.2
99,2010-01-26 02:00,3.6,16.5
93,2010-01-26 08:00,10.8,18.2
70,2010-01-26 14:00,21.6,23.6
88,2010-01-26 20:00,7.2,19.5
96,2010-01-27 02:00,14.4,16.8
98,2010-01-27 08:00,14.4,17.3
83,2010-01-27 14:00,21.6,20.3
80,2010-01-27 20:00,14.4,21.1
97,2010-01-28 02:00,10.8,17
90,2010-01-28 08:00,21.6,19.2
67,2010-01-28 14:00,14.4,24.6
84,2010-01-28 20:00,10.8,19.4
96,2010-01-29 02:00,10.8,16.4
93,2010-01-29 08:00,10.8,17.9
56,2010-01-29 14:00,7.2,25.5
75,2010-02-01 08:00,7.2,20.9
97,2010-02-01 14:00,14.4,16.6
81,2010-02-01 20:00,7.2,19.3
36,2010-02-02 14:00,NaN,27.2
93,2010-02-03 08:00,21.6,17.5
58,2010-02-03 14:00,21.6,24.9
69,2010-02-03 20:00,10.8,22.5
94,2010-02-04 02:00,NaN,14.9
64,2010-02-04 08:00,NaN,21.2
87,2010-02-04 14:00,10.8,16.9
54,2010-02-04 20:00,NaN,20.6
95,2010-02-05 02:00,10.8,15.9
90,2010-02-05 08:00,14.4,17
