hum_mean_perc,time,wind_kmh,temp
NaN,2012-01-10 03:00,14.4,10
14,2012-01-10 13:00,7.2,25
12,2012-01-10 14:00,0,27
13,2012-01-10 15:00,7.2,26
13,2012-01-10 16:00,10.8,27
13,2012-01-10 17:00,10.8,27
14,2012-01-10 18:00,7.2,25
15,2012-01-10 19:00,7.2,24
23,2012-01-10 20:00,0,21
26,2012-01-10 21:00,3.6,20
30,2012-01-10 22:00,7.2,18
71,2012-01-11 05:00,21.6,10
76,2012-01-11 06:00,18,10
76,2012-01-11 07:00,14.4,10
72,2012-01-11 08:00,18,11
63,2012-01-11 09:00,18,13
63,2012-01-11 10:00,21.6,13
55,2012-01-11 11:00,18,14
52,2012-01-11 12:00,18,16
48,2012-01-11 13:00,14.4,16
46,2012-01-11 14:00,14.4,18
46,2012-01-11 15:00,7.2,19
43,2012-01-11 16:00,10.8,19
46,2012-01-11 17:00,10.8,19
46,2012-01-11 18:00,10.8,18
56,2012-01-11 19:00,7.2,17
63,2012-01-11 20:00,18,15
63,2012-01-11 21:00,21.6,14
67,2012-01-11 22:00,0,13
68,2012-01-12 00:00,32.4,18
73,2012-01-12 01:00,21.6,18
73,2012-01-12 02:00,18,18
78,2012-01-12 03:00,18,18
73,2012-01-12 05:00,18,17
73,2012-01-12 06:00,21.6,17
73,2012-01-12 07:00,21.6,17
73,2012-01-12 08:00,21.6,18
68,2012-01-12 09:00,21.6,19
69,2012-01-12 10:00,21.6,20
64,2012-01-12 11:00,28.8,20
69,2012-01-12 12:00,21.6,20
60,2012-01-12 13:00,28.8,21
69,2012-01-12 14:00,25.2,20
60,2012-01-12 15:00,25.2,21
64,2012-01-12 16:00,21.6,20
64,2012-01-12 17:00,21.6,20
78,2012-01-12 18:00,14.4,19
73,2012-01-12 19:00,18,18
68,2012-01-12 20:00,10.8,18
73,2012-01-12 21:00,14.4,18
78,2012-01-12 22:00,14.4,18
54,2012-02-10 05:00,7.2,11
55,2012-02-10 07:00,3.6,13
48,2012-02-10 07:09,0,15
37,2012-02-10 07:51,0,17
37,2012-02-10 08:00,0,17
32,2012-02-10 08:21,0,19
27,2012-02-10 09:00,3.6,21
25,2012-02-10 09:51,0,23
27,2012-02-10 10:00,0,23
22,2012-02-10 11:00,7.2,25
15,2012-02-10 12:00,14.4,27
14,2012-02-10 13:00,14.4,28
14,2012-02-10 14:00,18,28
11,2012-02-10 15:00,14.4,29
10,2012-02-10 16:00,18,30
10,2012-02-10 17:00,14.4,29
13,2012-02-10 18:00,10.8,27
15,2012-02-10 19:00,7.2,24
15,2012-02-10 20:00,3.6,24
20,2012-02-10 21:00,3.6,22
24,2012-02-10 22:00,0,20
28,2012-02-10 23:00,14.4,18
82,2012-02-11 04:00,7.2,10
82,2012-02-11 05:00,10.8,10
82,2012-02-11 06:00,10.8,11
77,2012-02-11 07:00,18,12
67,2012-02-11 08:00,18,14
67,2012-02-11 09:00,18,14
63,2012-02-11 10:00,18,16
59,2012-02-11 11:00,14.4,16
56,2012-02-11 11:09,18,18
49,2012-02-11 12:00,18,19
49,2012-02-11 13:00,18,20
50,2012-02-11 14:00,18,21
41,2012-02-11 15:00,14.4,22
44,2012-02-11 16:00,14.4,22
43,2012-02-11 17:00,14.4,21
46,2012-02-11 18:00,14.4,20
49,2012-02-11 19:00,10.8,19
59,2012-02-11 20:00,10.8,17
59,2012-02-11 21:00,10.8,17
63,2012-02-11 22:00,7.2,16
83,2012-02-12 05:00,18,17
83,2012-02-12 06:00,18,17
83,2012-02-12 06:54,21.6,17
83,2012-02-12 07:00,21.6,17
83,2012-02-12 08:00,18,17
83,2012-02-12 08:55,18,17
78,2012-02-12 09:00,18,18
83,2012-02-12 10:00,18,18
94,2012-02-12 11:00,14.4,17
83,2012-02-12 12:00,21.6,18
73,2012-02-12 13:00,21.6,20
78,2012-02-12 14:00,18,19
88,2012-02-12 15:00,18,18
100,2012-02-12 15:23,21.6,17
100,2012-02-12 16:00,14.4,17
100,2012-02-12 16:21,18,16
100,2012-02-12 17:00,18,17
100,2012-02-12 18:00,14.4,16
100,2012-02-12 19:00,10.8,16
100,2012-02-12 20:00,7.2,16
100,2012-02-12 21:00,3.6,16
100,2012-02-12 22:00,10.8,16
48,2012-03-10 00:00,7.2,15
51,2012-03-10 03:00,7.2,13
59,2012-03-10 04:00,0,13
62,2012-03-10 05:00,0,11
51,2012-03-10 06:00,0,13
51,2012-03-10 07:00,0,14
45,2012-03-10 07:18,0,16
48,2012-03-10 08:00,10.8,16
40,2012-03-10 08:05,0,18
35,2012-03-10 08:16,0,20
25,2012-03-10 09:00,0,23
21,2012-03-10 10:00,7.2,25
14,2012-03-10 11:00,10.8,27
11,2012-03-10 12:00,10.8,28
10,2012-03-10 13:00,10.8,30
10,2012-03-10 14:00,14.4,30
9,2012-03-10 15:00,14.4,30
9,2012-03-10 16:00,7.2,30
9,2012-03-10 17:00,10.8,30
13,2012-03-10 18:00,10.8,28
12,2012-03-10 19:00,0,26
14,2012-03-10 20:00,0,24
14,2012-03-10 21:00,0,24
28,2012-03-10 22:00,7.2,19
82,2012-03-11 05:00,10.8,11
82,2012-03-11 06:00,3.6,11
72,2012-03-11 07:00,10.8,13
63,2012-03-11 07:45,14.4,15
63,2012-03-11 08:00,14.4,15
52,2012-03-11 09:00,18,17
46,2012-03-11 10:00,21.6,19
46,2012-03-11 11:00,21.6,20
41,2012-03-11 12:00,21.6,22
38,2012-03-11 13:00,18,22
33,2012-03-11 14:00,25.2,23
34,2012-03-11 15:00,21.6,24
31,2012-03-11 16:00,18,24
31,2012-03-11 17:00,18,24
36,2012-03-11 18:00,18,22
46,2012-03-11 19:00,10.8,19
43,2012-03-11 20:00,7.2,19
46,2012-03-11 21:00,7.2,18
46,2012-03-11 22:00,7.2,18
100,2012-03-12 01:00,3.6,16
100,2012-03-12 03:00,3.6,15
100,2012-03-12 05:00,0,15
94,2012-03-12 05:58,25.2,13
94,2012-03-12 06:00,32.4,13
88,2012-03-12 06:56,14.4,14
88,2012-03-12 07:00,14.4,14
88,2012-03-12 08:00,7.2,15
94,2012-03-12 09:00,7.2,15
94,2012-03-12 10:00,7.2,15
94,2012-03-12 11:00,14.4,15
94,2012-03-12 12:00,10.8,16
73,2012-03-12 12:55,7.2,19
78,2012-03-12 13:00,7.2,19
94,2012-03-12 14:00,72,12
77,2012-03-12 14:09,36,16
94,2012-03-12 14:12,72,12
100,2012-03-12 14:20,36,11
100,2012-03-12 14:24,25.2,11
100,2012-03-12 15:00,14.4,13
100,2012-03-12 16:00,7.2,17
88,2012-03-12 17:00,7.2,19
69,2012-03-12 18:00,7.2,20
73,2012-03-12 19:00,10.8,19
100,2012-03-12 20:00,14.4,17
100,2012-03-12 20:26,10.8,17
100,2012-03-12 21:00,18,17
100,2012-03-12 22:00,10.8,17
34,2012-04-10 05:00,7.2,16
44,2012-04-10 06:00,0,14
45,2012-04-10 07:00,0,15
30,2012-04-10 07:51,0,19
28,2012-04-10 08:00,0,20
25,2012-04-10 08:16,0,22
21,2012-04-10 09:00,0,24
17,2012-04-10 09:03,0,26
11,2012-04-10 10:00,7.2,29
9,2012-04-10 11:00,7.2,31
8,2012-04-10 12:00,7.2,31
8,2012-04-10 13:00,7.2,32
9,2012-04-10 14:00,18,32
9,2012-04-10 15:00,7.2,32
9,2012-04-10 16:00,7.2,32
10,2012-04-10 17:00,7.2,32
11,2012-04-10 18:00,10.8,30
12,2012-04-10 19:00,7.2,28
17,2012-04-10 20:00,7.2,26
19,2012-04-10 21:00,7.2,25
27,2012-04-10 22:00,0,21
63,2012-04-11 02:00,10.8,14
77,2012-04-11 05:00,7.2,12
77,2012-04-11 06:00,3.6,12
67,2012-04-11 06:17,0,14
63,2012-04-11 07:00,3.6,15
59,2012-04-11 07:21,7.2,17
56,2012-04-11 08:00,10.8,18
46,2012-04-11 09:00,10.8,20
29,2012-04-11 10:00,18,23
29,2012-04-11 11:00,18,24
26,2012-04-11 12:00,25.2,26
24,2012-04-11 13:00,21.6,27
20,2012-04-11 14:00,25.2,28
23,2012-04-11 15:00,18,28
20,2012-04-11 16:00,21.6,28
21,2012-04-11 17:00,14.4,27
28,2012-04-11 18:00,10.8,25
31,2012-04-11 19:00,7.2,23
31,2012-04-11 20:00,0,22
31,2012-04-11 21:00,0,22
33,2012-04-11 22:00,0,21
100,2012-04-12 00:00,0,17
100,2012-04-12 05:00,0,15
100,2012-04-12 06:00,0,15
100,2012-04-12 07:00,7.2,16
88,2012-04-12 07:48,3.6,19
88,2012-04-12 08:00,7.2,19
78,2012-04-12 09:00,10.8,21
74,2012-04-12 10:00,14.4,23
61,2012-04-12 11:00,18,24
61,2012-04-12 12:00,21.6,25
61,2012-04-12 13:00,18,25
48,2012-04-12 14:00,21.6,27
45,2012-04-12 15:00,18,28
54,2012-04-12 16:00,14.4,25
65,2012-04-12 16:58,10.8,22
78,2012-04-12 17:00,14.4,20
73,2012-04-12 18:00,7.2,21
69,2012-04-12 19:00,7.2,21
83,2012-04-12 20:00,0,19
83,2012-04-12 21:00,7.2,19
69,2012-04-12 22:00,3.6,20
28,2012-05-10 04:00,10.8,19
42,2012-05-10 05:00,0,16
45,2012-05-10 06:00,10.8,15
37,2012-05-10 06:25,7.2,17
32,2012-05-10 07:00,7.2,18
35,2012-05-10 07:25,0,20
31,2012-05-10 08:00,0,21
27,2012-05-10 08:16,0,23
