hum_mean_perc,time,wind_kmh,temp
17,2012-01-10 00:00,7.2,15
26,2012-01-10 03:00,7.2,11
33,2012-01-10 06:48,18,14
15,2012-01-10 11:00,14.4,26
11,2012-01-10 12:00,7.2,27
9,2012-01-10 13:00,7.2,28
6,2012-01-10 14:00,10.8,28
4,2012-01-10 15:00,10.8,29
4,2012-01-10 16:00,7.2,29
4,2012-01-10 17:00,10.8,29
7,2012-01-10 18:00,10.8,27
8,2012-01-10 19:00,7.2,25
16,2012-01-10 20:00,10.8,21
17,2012-01-10 21:00,14.4,20
19,2012-01-10 22:00,10.8,19
21,2012-01-10 23:00,10.8,18
34,2012-01-11 00:00,18,18
37,2012-01-11 01:00,18,17
39,2012-01-11 02:00,28.8,17
42,2012-01-11 03:00,25.2,16
45,2012-01-11 04:00,28.8,15
51,2012-01-11 05:00,18,14
51,2012-01-11 06:00,14.4,14
51,2012-01-11 07:00,18,15
45,2012-01-11 08:00,28.8,17
40,2012-01-11 09:00,32.4,19
40,2012-01-11 10:00,25.2,20
38,2012-01-11 11:00,18,21
33,2012-01-11 12:00,14.4,23
31,2012-01-11 13:00,14.4,23
27,2012-01-11 14:00,10.8,24
26,2012-01-11 15:00,10.8,25
27,2012-01-11 16:00,10.8,24
25,2012-01-11 17:00,14.4,24
29,2012-01-11 18:00,25.2,23
31,2012-01-11 19:00,21.6,22
40,2012-01-11 20:00,25.2,20
43,2012-01-11 21:00,28.8,19
46,2012-01-11 22:00,25.2,18
52,2012-01-11 23:00,25.2,17
38,2012-01-12 00:00,3.6,22
40,2012-01-12 01:00,7.2,21
50,2012-01-12 02:00,14.4,21
60,2012-01-12 03:00,10.8,20
64,2012-01-12 04:00,10.8,18
77,2012-01-12 05:00,18,15
88,2012-01-12 06:00,7.2,14
88,2012-01-12 07:00,14.4,14
88,2012-01-12 08:00,14.4,15
88,2012-01-12 09:00,25.2,16
94,2012-01-12 09:45,21.6,15
94,2012-01-12 10:00,25.2,15
88,2012-01-12 11:00,28.8,16
77,2012-01-12 12:00,28.8,17
68,2012-01-12 13:00,39.6,17
73,2012-01-12 14:00,36,17
88,2012-01-12 15:00,32.4,15
82,2012-01-12 16:00,32.4,15
72,2012-01-12 17:00,36,16
82,2012-01-12 18:00,32.4,15
82,2012-01-12 19:00,28.8,14
77,2012-01-12 20:00,25.2,15
82,2012-01-12 21:00,25.2,15
82,2012-01-12 22:00,25.2,15
88,2012-01-12 23:00,25.2,14
25,2012-02-10 01:00,14.4,16
25,2012-02-10 02:00,10.8,16
29,2012-02-10 03:00,10.8,15
29,2012-02-10 04:00,14.4,15
33,2012-02-10 05:00,18,13
33,2012-02-10 06:00,18,14
31,2012-02-10 07:00,21.6,16
23,2012-02-10 08:00,25.2,21
20,2012-02-10 09:00,25.2,23
16,2012-02-10 10:00,21.6,26
12,2012-02-10 11:00,21.6,27
11,2012-02-10 12:00,18,28
10,2012-02-10 13:00,14.4,29
8,2012-02-10 14:00,10.8,30
7,2012-02-10 15:00,10.8,30
7,2012-02-10 16:00,7.2,30
5,2012-02-10 17:00,7.2,30
5,2012-02-10 18:00,7.2,29
8,2012-02-10 19:00,3.6,26
9,2012-02-10 20:00,7.2,24
13,2012-02-10 21:00,10.8,21
14,2012-02-10 22:00,10.8,20
17,2012-02-10 23:00,14.4,19
52,2012-02-11 00:00,25.2,17
55,2012-02-11 01:00,25.2,16
55,2012-02-11 02:00,28.8,16
59,2012-02-11 03:00,25.2,15
55,2012-02-11 04:00,28.8,15
59,2012-02-11 05:00,36,14
55,2012-02-11 06:00,32.4,14
55,2012-02-11 07:00,36,14
42,2012-02-11 09:00,39.6,17
40,2012-02-11 10:00,36,19
31,2012-02-11 11:00,28.8,22
33,2012-02-11 12:00,25.2,22
27,2012-02-11 13:00,18,24
27,2012-02-11 14:00,14.4,24
24,2012-02-11 15:00,10.8,25
24,2012-02-11 16:00,10.8,25
24,2012-02-11 17:00,10.8,25
27,2012-02-11 19:00,14.4,23
31,2012-02-11 20:00,18,21
