hum_mean_perc,time,wind_kmh,temp
33,2013-01-09 00:00,10.8,3
33,2013-01-09 01:00,7.2,3
38,2013-01-09 02:00,14.4,2
41,2013-01-09 03:00,10.8,1
44,2013-01-09 04:00,14.4,0
40,2013-01-09 04:30,14.4,0
40,2013-01-09 05:00,14.4,0
40,2013-01-09 05:30,18,0
40,2013-01-09 06:00,18,0
51,2013-01-09 06:30,21.6,-1
44,2013-01-09 07:00,18,0
35,2013-01-09 07:30,21.6,3
33,2013-01-09 08:00,21.6,4
29,2013-01-09 08:30,25.2,6
29,2013-01-09 09:00,28.8,6
25,2013-01-09 09:30,21.6,8
25,2013-01-09 10:00,21.6,8
23,2013-01-09 10:30,18,9
24,2013-01-09 11:00,10.8,10
24,2013-01-09 11:30,7.2,10
22,2013-01-09 12:00,10.8,11
18,2013-01-09 12:30,10.8,12
16,2013-01-09 13:00,10.8,13
15,2013-01-09 13:30,18,13
15,2013-01-09 14:00,14.4,14
15,2013-01-09 14:30,18,14
17,2013-01-09 15:00,18,14
15,2013-01-09 15:30,18,14
17,2013-01-09 16:00,14.4,14
15,2013-01-09 16:30,10.8,14
17,2013-01-09 17:00,18,14
16,2013-01-09 17:30,18,13
18,2013-01-09 18:00,14.4,12
18,2013-01-09 18:30,10.8,12
20,2013-01-09 19:00,10.8,10
23,2013-01-09 19:30,10.8,9
25,2013-01-09 20:00,10.8,9
29,2013-01-09 20:30,14.4,6
31,2013-01-09 21:00,18,5
31,2013-01-09 21:30,14.4,5
26,2013-01-09 22:00,18,6
31,2013-01-09 23:00,18,5
76,2013-01-10 00:00,10.8,6
81,2013-01-10 01:00,14.4,5
76,2013-01-10 02:00,7.2,5
81,2013-01-10 03:00,7.2,4
75,2013-01-10 04:00,10.8,4
75,2013-01-10 04:30,7.2,4
81,2013-01-10 05:00,7.2,3
75,2013-01-10 05:30,3.6,4
70,2013-01-10 06:00,7.2,5
70,2013-01-10 06:30,7.2,5
71,2013-01-10 07:00,7.2,6
62,2013-01-10 07:30,10.8,8
58,2013-01-10 08:00,10.8,9
54,2013-01-10 08:30,10.8,10
50,2013-01-10 09:00,10.8,11
47,2013-01-10 09:30,7.2,12
39,2013-01-10 10:00,7.2,14
34,2013-01-10 10:30,10.8,15
29,2013-01-10 11:00,14.4,16
30,2013-01-10 11:30,10.8,17
27,2013-01-10 12:00,7.2,17
26,2013-01-10 12:30,14.4,18
24,2013-01-10 13:00,10.8,18
22,2013-01-10 13:30,7.2,19
21,2013-01-10 14:00,7.2,20
20,2013-01-10 14:30,7.2,20
18,2013-01-10 15:00,7.2,21
16,2013-01-10 15:30,10.8,21
17,2013-01-10 16:00,7.2,21
18,2013-01-10 16:30,10.8,21
17,2013-01-10 17:00,3.6,21
18,2013-01-10 17:30,3.6,20
22,2013-01-10 18:00,7.2,19
21,2013-01-10 18:30,10.8,19
24,2013-01-10 19:00,14.4,18
34,2013-01-10 19:30,18,17
36,2013-01-10 20:00,14.4,16
39,2013-01-10 20:30,18,15
39,2013-01-10 21:00,14.4,15
39,2013-01-10 21:30,10.8,15
39,2013-01-10 22:00,14.4,15
39,2013-01-10 22:30,14.4,14
41,2013-01-10 23:00,10.8,14
41,2013-01-10 23:30,14.4,13
25,2013-01-11 00:00,18,17
41,2013-01-11 01:00,21.6,13
41,2013-01-11 02:00,21.6,12
54,2013-01-11 03:00,14.4,9
47,2013-01-11 04:00,18,10
41,2013-01-11 04:30,21.6,11
41,2013-01-11 05:00,25.2,11
43,2013-01-11 05:30,25.2,10
40,2013-01-11 06:00,21.6,10
41,2013-01-11 06:30,25.2,11
38,2013-01-11 07:00,25.2,12
36,2013-01-11 07:30,21.6,13
33,2013-01-11 08:00,18,14
34,2013-01-11 08:30,18,15
31,2013-01-11 09:00,14.4,16
28,2013-01-11 09:30,7.2,18
26,2013-01-11 10:00,7.2,19
23,2013-01-11 10:30,10.8,20
23,2013-01-11 11:00,18,21
20,2013-01-11 11:30,18,21
23,2013-01-11 12:00,21.6,21
27,2013-01-11 12:30,14.4,21
25,2013-01-11 13:00,21.6,22
25,2013-01-11 13:30,18,22
23,2013-01-11 14:00,18,23
22,2013-01-11 14:30,21.6,23
22,2013-01-11 15:00,14.4,23
21,2013-01-11 15:30,25.2,24
19,2013-01-11 16:00,18,24
20,2013-01-11 16:30,21.6,23
19,2013-01-11 17:00,25.2,23
22,2013-01-11 17:30,28.8,22
23,2013-01-11 18:00,25.2,20
24,2013-01-11 18:30,21.6,19
26,2013-01-11 19:00,18,18
27,2013-01-11 19:30,21.6,17
31,2013-01-11 20:00,18,15
31,2013-01-11 20:30,18,15
34,2013-01-11 21:00,18,15
31,2013-01-11 21:30,18,15
36,2013-01-11 22:00,18,13
33,2013-01-11 23:00,18,14
88,2013-01-12 00:00,10.8,14
94,2013-01-12 01:00,14.4,14
82,2013-01-12 04:00,21.6,14
82,2013-01-12 04:30,21.6,14
82,2013-01-12 05:00,10.8,14
82,2013-01-12 05:30,10.8,14
82,2013-01-12 06:00,10.8,14
82,2013-01-12 06:30,18,14
82,2013-01-12 07:00,21.6,14
82,2013-01-12 07:30,21.6,15
77,2013-01-12 08:00,28.8,16
77,2013-01-12 09:00,32.4,16
77,2013-01-12 09:30,36,16
73,2013-01-12 10:30,32.4,19
69,2013-01-12 11:00,25.2,20
69,2013-01-12 11:30,28.8,20
64,2013-01-12 12:00,25.2,21
61,2013-01-12 12:30,28.8,22
61,2013-01-12 13:00,28.8,22
57,2013-01-12 14:00,21.6,22
53,2013-01-12 15:00,21.6,23
50,2013-01-12 16:00,25.2,23
50,2013-01-12 16:30,25.2,24
50,2013-01-12 17:00,21.6,23
