hum_mean_perc,time,wind_kmh,temp
79,2013-11-05 23:00,0,16.7
86,2013-11-06 05:00,7.2,14.1
52,2013-11-06 11:00,14.4,19.7
55,2013-11-06 17:00,10.8,17.2
75,2013-11-06 23:00,3.6,14
85,2013-11-07 05:00,7.2,12.5
54,2013-11-07 11:00,10.8,18.3
49,2013-11-07 17:00,14.4,19.5
76,2013-11-07 23:00,0,14.2
88,2013-11-08 05:00,3.6,11.2
48,2013-11-08 11:00,10.8,19.3
44,2013-11-08 17:00,10.8,20.9
69,2013-11-08 23:00,3.6,14.9
85,2013-11-09 05:00,0,11.9
47,2013-11-09 11:00,7.2,22.8
48,2013-11-09 17:00,21.6,21.8
47,2013-11-09 23:00,10.8,19.2
42,2013-11-10 05:00,7.2,17.8
22,2013-11-10 11:00,7.2,27.4
22,2013-11-10 17:00,10.8,29.3
50,2013-11-10 23:00,7.2,20
36,2013-11-11 05:00,7.2,19
26,2013-11-11 11:00,14.4,28.1
26,2013-11-11 17:00,10.8,31.7
55,2013-11-11 23:00,7.2,21.1
71,2013-11-12 05:00,3.6,16.7
36,2013-11-12 11:00,7.2,28.5
47,2013-11-12 17:00,18,26.8
74,2013-11-12 23:00,3.6,19.3
83,2013-11-13 05:00,3.6,16.8
71,2013-11-13 11:00,7.2,18.8
52,2013-11-13 17:00,14.4,24.7
76,2013-11-13 23:00,7.2,18.5
72,2013-11-14 05:00,3.6,16.3
52,2013-11-14 17:00,14.4,21.6
77,2013-11-14 23:00,0,15.2
87,2013-11-15 05:00,0,13
39,2013-11-15 11:00,7.2,24.1
83,2013-11-15 17:00,3.6,17.2
90,2013-11-15 23:00,3.6,14.6
90,2013-11-16 05:00,3.6,14.6
84,2013-11-16 11:00,3.6,15.1
84,2013-11-16 17:00,0,15.7
90,2013-11-16 23:00,3.6,14.5
91,2013-11-17 05:00,3.6,14.7
74,2013-11-17 11:00,7.2,19.7
56,2013-11-17 17:00,14.4,23.1
59,2013-12-10 20:00,7.2,23.3
58,2013-12-10 23:00,7.2,22.2
64,2013-12-11 02:00,10.8,20.9
62,2013-12-11 05:00,10.8,20.8
54,2013-12-11 08:00,10.8,23.5
39,2013-12-11 11:00,7.2,28.6
33,2013-12-11 14:00,10.8,30.7
35,2013-12-11 17:00,10.8,29.9
51,2013-12-11 20:00,10.8,24.9
57,2013-12-11 23:00,10.8,22.7
50,2013-12-12 02:00,10.8,23.1
49,2013-12-12 05:00,7.2,23
40,2013-12-12 08:00,10.8,26.6
29,2013-12-12 11:00,3.6,31.1
32,2013-12-12 14:00,10.8,32
32,2013-12-12 17:00,14.4,30.6
45,2013-12-12 20:00,10.8,26.9
49,2013-12-12 23:00,7.2,24.7
66,2013-12-13 02:00,3.6,20.8
70,2013-12-13 05:00,3.6,19.9
63,2013-12-13 08:00,7.2,22.2
47,2013-12-13 11:00,3.6,26.9
39,2013-12-13 14:00,10.8,30.4
41,2013-12-13 17:00,14.4,28.9
54,2013-12-13 20:00,10.8,25.2
58,2013-12-13 23:00,7.2,22.5
59,2013-12-14 02:00,3.6,21.7
78,2013-12-14 05:00,3.6,18.2
70,2013-12-14 08:00,3.6,20.8
47,2013-12-14 11:00,7.2,26.6
47,2013-12-14 14:00,14.4,26.7
51,2013-12-14 17:00,18,24.6
58,2013-12-14 20:00,3.6,20.7
67,2013-12-14 23:00,7.2,18.6
79,2013-12-15 02:00,0,16.8
82,2013-12-15 05:00,0,15.8
72,2013-12-15 08:00,7.2,19.2
56,2013-12-15 11:00,3.6,21.8
51,2013-12-15 14:00,14.4,24.3
43,2013-12-15 17:00,10.8,23.7
60,2013-12-15 20:00,10.8,20.7
68,2013-12-15 23:00,3.6,18.9
79,2013-12-16 02:00,3.6,16.5
66,2013-12-16 05:00,7.2,18.1
60,2013-12-16 08:00,7.2,20.7
48,2013-12-16 11:00,14.4,24.6
38,2013-12-16 14:00,14.4,26.5
39,2013-12-16 17:00,14.4,26.9
49,2013-12-16 20:00,10.8,21.5
58,2013-12-16 23:00,10.8,19
61,2013-12-17 02:00,10.8,18
64,2013-12-17 05:00,7.2,17.9
50,2013-12-17 08:00,10.8,21.8
39,2013-12-17 11:00,10.8,26.2
33,2013-12-17 14:00,14.4,29.2
37,2013-12-17 17:00,14.4,27.9
49,2013-12-17 20:00,10.8,22.2
49,2013-12-17 23:00,10.8,20.1
43,2013-12-18 02:00,10.8,19.4
