hum_mean_perc,time,wind_kmh,temp
95,2010-01-19 02:00,3.6,16.8
86,2010-01-19 08:00,7.2,19.5
94,2010-01-19 14:00,10.8,18.3
94,2010-01-19 20:00,0,18.7
94,2010-01-20 02:00,3.6,18.1
88,2010-01-20 14:00,3.6,19.7
94,2010-01-21 02:00,3.6,17.8
85,2010-01-21 20:00,0,20.5
92,2010-01-21 23:00,3.6,18.9
92,2010-01-22 02:00,0,18.9
94,2010-01-22 05:00,3.6,18.4
90,2010-01-22 08:00,7.2,20.1
70,2010-01-22 11:00,14.4,23.5
65,2010-01-22 14:00,14.4,24.7
59,2010-01-22 17:00,10.8,25
87,2010-01-22 20:00,10.8,20.2
88,2010-01-22 23:00,0,19.4
91,2010-01-23 02:00,3.6,18.7
93,2010-01-23 05:00,3.6,18.6
89,2010-01-24 08:00,10.8,19.9
81,2010-01-24 11:00,7.2,21.3
55,2010-01-24 14:00,14.4,27.1
65,2010-01-24 17:00,14.4,25.4
83,2010-01-24 20:00,3.6,20.4
89,2010-01-24 23:00,3.6,20.2
86,2010-01-25 08:00,10.8,20
71,2010-01-25 11:00,18,23.6
83,2010-01-25 20:00,7.2,21.7
89,2010-01-26 02:00,3.6,18.7
78,2010-01-26 08:00,14.4,22.1
68,2010-01-26 14:00,18,25.2
78,2010-01-26 20:00,10.8,21.9
85,2010-01-27 02:00,10.8,20.1
93,2010-01-27 08:00,14.4,19.2
70,2010-01-27 14:00,14.4,24.6
81,2010-01-27 20:00,0,22.7
92,2010-01-28 02:00,0,17.9
85,2010-01-28 08:00,0,21.2
47,2010-01-28 14:00,3.6,29.2
63,2010-01-28 20:00,3.6,23.7
89,2010-01-29 02:00,7.2,19
81,2010-01-29 08:00,10.8,21.5
44,2010-01-29 14:00,7.2,28.8
75,2010-02-01 08:00,3.6,21.4
33,2010-02-01 14:00,18,29.8
73,2010-02-01 20:00,3.6,22
32,2010-02-02 14:00,10.8,30.4
74,2010-02-03 08:00,21.6,21.7
50,2010-02-03 14:00,14.4,29.3
64,2010-02-03 20:00,3.6,23.1
90,2010-02-04 02:00,10.8,15.8
72,2010-02-04 08:00,3.6,20.2
50,2010-02-04 14:00,7.2,27.6
74,2010-02-04 20:00,7.2,21.6
74,2010-02-05 08:00,18,21.5
54,2010-02-05 14:00,7.2,25.4
83,2010-02-06 02:00,3.6,17.8
73,2010-02-06 08:00,7.2,20.6
63,2010-02-06 14:00,10.8,23.1
81,2010-02-06 20:00,3.6,18.9
89,2010-02-07 02:00,3.6,16.6
78,2010-02-07 08:00,3.6,20.6
41,2010-02-07 14:00,7.2,29.4
75,2010-02-07 20:00,3.6,23.7
87,2010-02-08 02:00,7.2,18.6
71,2010-02-08 08:00,7.2,22.2
42,2010-02-08 14:00,3.6,29.7
63,2010-02-08 20:00,7.2,23.3
84,2010-02-09 02:00,3.6,18.6
78,2010-02-09 08:00,10.8,19.9
49,2010-02-09 14:00,7.2,27.4
69,2010-02-10 08:00,10.8,18.9
34,2010-02-10 14:00,3.6,28.8
70,2010-02-10 20:00,3.6,23
73,2010-02-11 02:00,10.8,18.4
64,2010-02-11 08:00,3.6,20.8
32,2010-02-11 14:00,10.8,30.4
79,2010-02-12 02:00,7.2,18.7
59,2010-02-12 08:00,14.4,23.1
25,2010-02-12 14:00,7.2,32.1
64,2010-02-12 20:00,0,23.9
74,2010-02-13 02:00,7.2,19.3
60,2010-02-13 08:00,10.8,23.1
29,2010-02-13 14:00,10.8,33.6
47,2010-02-13 20:00,3.6,26.9
60,2010-02-14 02:00,3.6,21.1
77,2010-02-14 08:00,18,21.3
47,2010-02-14 14:00,18,29.2
65,2010-02-14 20:00,25.2,21.6
75,2010-02-15 02:00,7.2,19.6
77,2010-02-15 08:00,7.2,21.5
51,2010-02-15 14:00,7.2,27.3
82,2010-02-15 20:00,7.2,18.9
88,2010-02-16 02:00,7.2,18
77,2010-02-16 08:00,10.8,21.5
67,2010-02-16 14:00,18,22.2
85,2010-02-16 20:00,7.2,19.1
93,2010-02-17 08:00,3.6,18.1
47,2010-02-17 14:00,3.6,27.1
67,2010-02-17 20:00,7.2,21
77,2010-02-19 08:00,7.2,20.2
39,2010-02-19 14:00,10.8,28.4
51,2010-02-19 20:00,3.6,23.2
74,2010-02-20 02:00,7.2,18.5
76,2010-02-20 08:00,14.4,19.2
34,2010-02-20 14:00,10.8,27.9
48,2010-02-20 20:00,3.6,22.4
70,2010-02-21 08:00,3.6,19.3
30,2010-02-21 14:00,7.2,29.4
56,2010-02-21 20:00,0,22.5
76,2010-02-22 02:00,3.6,16.7
67,2010-02-22 08:00,10.8,20.1
37,2010-02-22 14:00,7.2,28.4
62,2010-02-22 20:00,0,23.6
76,2010-02-23 02:00,7.2,19.3
79,2010-02-23 08:00,10.8,19.4
43,2010-02-23 14:00,10.8,28.1
58,2010-02-23 20:00,7.2,23.4
80,2010-02-24 02:00,7.2,18.7
81,2010-02-24 08:00,10.8,18.5
41,2010-02-24 14:00,10.8,27.1
53,2010-02-24 20:00,3.6,22.7
60,2010-02-25 02:00,14.4,20.6
91,2010-02-25 08:00,0,16.8
52,2010-02-25 14:00,3.6,24.9
73,2010-02-25 20:00,7.2,20.6
87,2010-02-26 02:00,0,17.4
80,2010-02-26 08:00,3.6,19.8
46,2010-02-26 14:00,3.6,26.7
70,2010-02-26 20:00,3.6,20.4
87,2010-02-27 02:00,3.6,16.3
78,2010-02-28 08:00,10.8,18.6
47,2010-02-28 14:00,3.6,26.6
57,2010-02-28 20:00,3.6,24.4
33,2010-03-02 14:00,3.6,29.3
60,2010-03-02 20:00,3.6,22.9
80,2010-03-03 02:00,18,18.3
75,2010-03-03 08:00,14.4,19.3
48,2010-03-03 14:00,7.2,27.4
80,2010-03-03 20:00,0,20.6
84,2010-03-04 02:00,7.2,17.8
79,2010-03-04 08:00,10.8,19.1
85,2010-03-05 02:00,3.6,18.2
77,2010-03-05 08:00,10.8,19.7
49,2010-03-05 14:00,10.8,26.9
84,2010-03-05 20:00,10.8,18.4
93,2010-03-06 02:00,3.6,16.1
82,2010-03-06 08:00,7.2,19.1
41,2010-03-06 14:00,7.2,28.5
66,2010-03-06 20:00,3.6,21.8
78,2010-03-07 02:00,3.6,16.4
73,2010-03-07 08:00,7.2,18.7
42,2010-03-07 14:00,7.2,26.4
52,2010-03-07 20:00,3.6,19.8
78,2010-03-08 02:00,3.6,13.3
76,2010-03-08 08:00,10.8,16.7
33,2010-03-08 14:00,7.2,27.6
54,2010-03-08 20:00,7.2,21.2
77,2010-03-09 02:00,7.2,14.5
69,2010-03-09 08:00,3.6,16.3
33,2010-03-09 14:00,10.8,27.4
65,2010-03-09 20:00,3.6,20.1
82,2010-03-10 02:00,3.6,14.9
72,2010-03-10 08:00,7.2,17.9
31,2010-03-10 14:00,10.8,30.2
49,2010-03-10 20:00,7.2,22.2
79,2010-03-11 02:00,7.2,15.7
68,2010-03-11 08:00,3.6,19.1
26,2010-03-11 14:00,7.2,31.3
51,2010-03-11 20:00,3.6,22.6
82,2010-03-12 02:00,7.2,15.9
70,2010-03-12 08:00,7.2,19.3
24,2010-03-12 14:00,14.4,32.4
45,2010-03-12 20:00,7.2,23.4
72,2010-03-13 02:00,3.6,17.1
66,2010-03-13 08:00,7.2,20.9
28,2010-03-13 14:00,7.2,30.8
79,2010-03-13 20:00,10.8,19
85,2010-03-14 02:00,7.2,16.3
79,2010-03-14 08:00,7.2,19
34,2010-03-14 14:00,3.6,29.5
60,2010-03-14 20:00,0,20.6
83,2010-03-15 02:00,10.8,17
77,2010-03-15 08:00,10.8,18.9
42,2010-03-15 14:00,10.8,28.5
57,2010-03-15 20:00,14.4,20.4
70,2010-03-16 02:00,7.2,17.7
76,2010-03-16 08:00,7.2,17.8
41,2010-03-16 14:00,10.8,28.1
64,2010-03-16 20:00,3.6,18.5
87,2010-03-17 02:00,7.2,16.6
78,2010-03-17 08:00,10.8,16.6
34,2010-03-17 14:00,14.4,28.1
71,2010-03-18 02:00,3.6,16.2
75,2010-03-18 08:00,10.8,18.2
30,2010-03-18 14:00,10.8,29.8
60,2010-03-18 20:00,0,21.2
84,2010-03-19 02:00,3.6,15.4
80,2010-03-19 08:00,10.8,18.9
43,2010-03-19 14:00,18,28.4
89,2010-03-20 02:00,0,16.6
82,2010-03-20 08:00,7.2,17.9
58,2010-03-20 14:00,10.8,21.9
77,2010-03-20 20:00,0,18.9
88,2010-03-21 02:00,0,15.8
87,2010-03-21 08:00,10.8,16.4
45,2010-03-21 14:00,3.6,26.2
77,2010-03-21 20:00,0,20.2
87,2010-03-22 02:00,0,15.6
84,2010-03-22 08:00,3.6,17.5
44,2010-03-22 14:00,0,26.5
80,2010-03-22 20:00,0,17.6
86,2010-03-23 02:00,0,14.7
80,2010-03-23 08:00,0,17.1
34,2010-03-23 14:00,7.2,27.8
68,2010-03-23 20:00,0,19.5
81,2010-03-24 02:00,3.6,16.7
80,2010-03-24 08:00,7.2,18.2
72,2010-03-24 14:00,14.4,20.5
81,2010-03-24 20:00,7.2,18.3
90,2010-03-25 02:00,3.6,16.1
83,2010-03-25 08:00,7.2,18.2
46,2010-03-25 14:00,10.8,27.4
60,2010-03-25 20:00,7.2,22.9
86,2010-03-26 02:00,0,19.4
88,2010-03-26 08:00,10.8,18.7
46,2010-03-26 14:00,14.4,27.8
71,2010-03-26 20:00,7.2,22
86,2010-03-27 02:00,3.6,20.1
91,2010-03-27 08:00,10.8,19
58,2010-03-27 14:00,14.4,25.6
77,2010-03-27 20:00,3.6,21.7
86,2010-03-28 02:00,7.2,15.4
75,2010-03-28 08:00,3.6,17
32,2010-03-28 14:00,7.2,28.8
68,2010-03-28 20:00,0,20.7
81,2010-03-29 02:00,7.2,19.8
85,2010-03-29 08:00,14.4,20.6
90,2010-03-29 14:00,14.4,19.4
93,2010-03-29 20:00,3.6,18.5
95,2010-03-30 02:00,3.6,16.6
91,2010-03-30 08:00,3.6,18.7
54,2010-03-30 14:00,14.4,26.5
85,2010-03-30 20:00,3.6,19.8
91,2010-03-31 02:00,0,17.8
87,2010-03-31 08:00,3.6,18.1
87,2010-03-31 14:00,3.6,19.2
93,2010-03-31 20:00,0,17.5
94,2010-04-01 02:00,7.2,17
94,2010-04-01 08:00,7.2,17.3
80,2010-04-01 14:00,7.2,20.5
94,2010-04-01 20:00,3.6,17.5
93,2010-04-02 02:00,0,17
93,2010-04-02 08:00,3.6,16.6
57,2010-04-02 14:00,3.6,23.7
74,2010-04-02 20:00,7.2,18.8
91,2010-04-03 02:00,3.6,14.7
96,2010-04-03 08:00,3.6,14
41,2010-04-03 14:00,7.2,26
74,2010-04-03 20:00,7.2,19.9
88,2010-04-04 02:00,3.6,15.9
85,2010-04-04 08:00,7.2,17.3
43,2010-04-04 14:00,3.6,27.1
77,2010-04-04 20:00,10.8,20.2
90,2010-04-05 02:00,10.8,15.9
78,2010-04-05 14:00,7.2,21.4
88,2010-04-05 20:00,10.8,16.9
90,2010-04-06 02:00,3.6,15.8
92,2010-04-06 08:00,3.6,16.2
49,2010-04-06 14:00,10.8,25.7
85,2010-04-07 02:00,3.6,17.7
90,2010-04-07 08:00,0,17.6
39,2010-04-07 14:00,10.8,26.3
75,2010-04-07 20:00,3.6,18.3
88,2010-04-08 02:00,3.6,13.5
79,2010-04-08 08:00,3.6,17
89,2010-04-09 08:00,10.8,18.4
59,2010-04-09 14:00,18,23.9
67,2010-04-09 20:00,7.2,19.4
88,2010-04-10 02:00,7.2,13.6
80,2010-04-10 08:00,3.6,15.8
28,2010-04-10 14:00,18,27.3
71,2010-04-10 20:00,3.6,16.6
85,2010-04-11 02:00,3.6,11.7
87,2010-04-11 08:00,10.8,14.9
48,2010-04-11 14:00,14.4,25.7
71,2010-04-11 20:00,7.2,19.4
89,2010-04-12 02:00,7.2,14.6
85,2010-04-12 08:00,3.6,15.7
75,2010-04-12 20:00,3.6,18.4
91,2010-04-13 02:00,3.6,13.1
80,2010-04-13 08:00,7.2,15.9
33,2010-04-13 14:00,3.6,28.2
71,2010-04-13 20:00,3.6,18.5
85,2010-04-14 02:00,3.6,15
88,2010-04-14 08:00,10.8,15.1
28,2010-04-14 14:00,7.2,27.3
