hum_mean_perc,time,wind_kmh,temp
95,2010-01-19 02:00,7.2,16.6
77,2010-01-19 08:00,7.2,21.7
62,2010-01-19 14:00,10.8,25.3
90,2010-01-19 20:00,3.6,18.3
94,2010-01-20 02:00,3.6,17
93,2010-01-20 14:00,7.2,17.8
94,2010-01-21 02:00,7.2,17.2
88,2010-01-21 14:00,10.8,19.3
81,2010-01-21 20:00,0,19.2
94,2010-01-22 02:00,3.6,18.2
78,2010-01-22 08:00,10.8,21.2
59,2010-01-22 14:00,18,25.1
88,2010-01-22 20:00,10.8,19.6
94,2010-01-23 02:00,0,17.7
95,2010-01-24 08:00,7.2,17.7
63,2010-01-24 14:00,10.8,25.2
86,2010-01-24 20:00,7.2,19.3
85,2010-01-25 08:00,10.8,20.3
83,2010-01-25 20:00,3.6,20.8
90,2010-01-26 02:00,0,17.9
91,2010-01-26 08:00,18,18.6
65,2010-01-26 14:00,18,25.4
81,2010-01-26 20:00,7.2,21.5
84,2010-01-27 02:00,10.8,20
85,2010-01-27 08:00,7.2,19.7
75,2010-01-27 14:00,10.8,22.4
76,2010-01-27 20:00,7.2,21.9
94,2010-01-28 02:00,0,17
84,2010-01-28 08:00,7.2,21.2
48,2010-01-28 14:00,7.2,27.1
76,2010-01-28 20:00,7.2,22
87,2010-01-29 02:00,10.8,18.1
77,2010-01-29 08:00,14.4,21.1
59,2010-01-29 14:00,7.2,24.8
68,2010-02-01 08:00,0,22.6
58,2010-02-01 14:00,3.6,26.3
86,2010-02-01 20:00,0,19.6
29,2010-02-02 14:00,7.2,28.6
78,2010-02-03 08:00,14.4,20.8
46,2010-02-03 14:00,10.8,27.6
76,2010-02-03 20:00,7.2,19.2
93,2010-02-04 02:00,7.2,15
73,2010-02-04 08:00,0,20.2
46,2010-02-04 14:00,3.6,27.7
78,2010-02-04 20:00,3.6,19.5
79,2010-02-05 08:00,14.4,19.8
49,2010-02-05 14:00,7.2,27.3
80,2010-02-05 20:00,3.6,17
89,2010-02-06 02:00,7.2,15.6
72,2010-02-06 08:00,3.6,21.2
42,2010-02-06 14:00,3.6,27.4
86,2010-02-06 20:00,3.6,19
85,2010-02-07 02:00,0,17.5
70,2010-02-07 08:00,3.6,21.5
37,2010-02-07 14:00,3.6,28.7
72,2010-02-07 20:00,7.2,21.8
87,2010-02-08 02:00,0,18.1
68,2010-02-08 08:00,7.2,22.2
39,2010-02-08 14:00,3.6,28.9
65,2010-02-08 20:00,0,23.7
81,2010-02-09 02:00,7.2,18.1
69,2010-02-09 08:00,10.8,21
43,2010-02-09 14:00,7.2,27.2
53,2010-02-09 20:00,0,20.7
65,2010-02-10 02:00,3.6,15.7
61,2010-02-10 08:00,0,20
29,2010-02-10 14:00,7.2,27.6
59,2010-02-10 20:00,0,22.2
84,2010-02-11 02:00,3.6,17.3
77,2010-02-11 08:00,0,19.6
34,2010-02-11 14:00,7.2,28.8
70,2010-02-11 20:00,0,22.6
82,2010-02-12 02:00,3.6,18.5
69,2010-02-12 08:00,7.2,22.2
32,2010-02-12 14:00,10.8,30.1
55,2010-02-12 20:00,0,24.6
76,2010-02-13 02:00,7.2,17.9
53,2010-02-13 08:00,0,25.6
27,2010-02-13 14:00,7.2,31.5
59,2010-02-13 20:00,0,24.4
84,2010-02-14 02:00,14.4,18.7
83,2010-02-14 08:00,18,19.9
36,2010-02-14 14:00,14.4,28.5
91,2010-02-15 02:00,0,19.1
81,2010-02-15 08:00,7.2,19.7
59,2010-02-15 14:00,3.6,24.3
79,2010-02-15 20:00,7.2,19.3
92,2010-02-16 02:00,3.6,17.4
79,2010-02-16 08:00,10.8,21.2
49,2010-02-16 14:00,14.4,26.6
91,2010-02-16 20:00,7.2,20.3
88,2010-02-17 08:00,3.6,19.3
49,2010-02-17 14:00,3.6,25.1
67,2010-02-17 20:00,0,22.7
85,2010-02-18 08:00,7.2,18.4
52,2010-02-18 14:00,10.8,25.3
64,2010-02-18 20:00,3.6,21.2
89,2010-02-19 02:00,7.2,17.3
79,2010-02-19 08:00,18,18.9
37,2010-02-19 14:00,7.2,27
58,2010-02-19 20:00,7.2,22.4
86,2010-02-20 02:00,14.4,16.9
75,2010-02-20 08:00,10.8,18.7
32,2010-02-20 14:00,14.4,27.1
58,2010-02-20 20:00,10.8,21.2
78,2010-02-21 08:00,7.2,18
27,2010-02-21 14:00,7.2,27.2
54,2010-02-21 20:00,0,20.6
80,2010-02-22 02:00,0,15.5
75,2010-02-22 08:00,0,19.3
32,2010-02-22 14:00,7.2,27.1
60,2010-02-22 20:00,7.2,21.5
81,2010-02-23 02:00,10.8,18.7
71,2010-02-23 08:00,21.6,20
40,2010-02-23 14:00,14.4,27.1
59,2010-02-23 20:00,18,23
78,2010-02-24 02:00,14.4,18.3
78,2010-02-24 08:00,18,17.1
37,2010-02-24 14:00,7.2,26.1
61,2010-02-24 20:00,3.6,20.2
70,2010-02-25 02:00,18,18.3
91,2010-02-25 08:00,0,16.9
89,2010-02-25 14:00,18,18.4
80,2010-02-25 20:00,7.2,18.8
88,2010-02-26 02:00,0,16.5
84,2010-02-26 08:00,7.2,18.1
46,2010-02-26 14:00,7.2,25.6
83,2010-02-26 20:00,10.8,18.9
87,2010-02-27 02:00,14.4,16.7
83,2010-02-27 08:00,0,17.2
53,2010-02-27 14:00,7.2,23.6
79,2010-02-27 20:00,3.6,19.5
89,2010-02-28 02:00,3.6,15.9
78,2010-02-28 08:00,7.2,17.8
47,2010-02-28 14:00,10.8,26
56,2010-02-28 20:00,0,21
32,2010-03-01 14:00,3.6,26.9
66,2010-03-01 20:00,0,20.9
86,2010-03-02 02:00,3.6,15.5
71,2010-03-02 08:00,0,20.9
33,2010-03-02 14:00,7.2,28.3
64,2010-03-02 20:00,3.6,22.7
93,2010-03-03 02:00,10.8,16.4
81,2010-03-03 08:00,10.8,17.5
45,2010-03-03 14:00,3.6,26.2
87,2010-03-03 20:00,0,18.6
88,2010-03-04 02:00,0,16.8
84,2010-03-04 08:00,7.2,18.3
88,2010-03-05 02:00,0,16
73,2010-03-05 08:00,0,19.2
47,2010-03-05 14:00,10.8,25.4
88,2010-03-05 20:00,7.2,18
95,2010-03-06 02:00,0,15.6
82,2010-03-06 08:00,0,18.7
43,2010-03-06 14:00,14.4,26.4
61,2010-03-06 20:00,7.2,20.7
81,2010-03-07 02:00,7.2,16.5
81,2010-03-07 08:00,18,16.1
30,2010-03-07 14:00,10.8,24.3
57,2010-03-07 20:00,0,17.9
84,2010-03-08 02:00,10.8,14.4
76,2010-03-08 08:00,10.8,16.6
42,2010-03-08 14:00,10.8,24.4
66,2010-03-08 20:00,3.6,17.9
81,2010-03-09 02:00,0,13.6
70,2010-03-09 08:00,3.6,18
32,2010-03-09 14:00,7.2,25.8
55,2010-03-09 20:00,0,19.3
86,2010-03-10 02:00,3.6,13.6
61,2010-03-10 08:00,0,19.9
29,2010-03-10 14:00,7.2,28
54,2010-03-10 20:00,0,21.9
77,2010-03-11 02:00,3.6,15.9
83,2010-03-11 08:00,0,18.4
24,2010-03-11 14:00,10.8,30.3
60,2010-03-11 20:00,0,21.1
79,2010-03-12 02:00,0,15.9
70,2010-03-12 08:00,0,20.4
25,2010-03-12 14:00,10.8,30.8
60,2010-03-12 20:00,7.2,21.5
69,2010-03-13 02:00,0,18
73,2010-03-13 08:00,10.8,20.7
28,2010-03-13 14:00,7.2,29.8
75,2010-03-13 20:00,14.4,18.7
84,2010-03-14 02:00,0,17.1
78,2010-03-14 08:00,0,18.8
35,2010-03-14 14:00,3.6,27.4
70,2010-03-14 20:00,14.4,20.7
75,2010-03-15 02:00,18,18
72,2010-03-15 08:00,14.4,18.8
42,2010-03-15 14:00,7.2,26.5
62,2010-03-15 20:00,0,21.8
80,2010-03-16 02:00,0,16.4
73,2010-03-16 08:00,3.6,17.8
44,2010-03-16 14:00,10.8,25.6
66,2010-03-16 20:00,7.2,20.6
89,2010-03-17 02:00,3.6,15.3
87,2010-03-17 08:00,3.6,15.7
29,2010-03-17 14:00,10.8,26.8
80,2010-03-18 02:00,3.6,15.4
94,2010-03-18 08:00,7.2,15.3
29,2010-03-18 14:00,10.8,28.3
70,2010-03-18 20:00,0,18.4
79,2010-03-19 02:00,0,16.6
75,2010-03-19 08:00,10.8,19.6
46,2010-03-19 14:00,7.2,26.5
90,2010-03-20 02:00,0,15
90,2010-03-20 08:00,0,16.1
47,2010-03-20 14:00,3.6,23.4
70,2010-03-20 20:00,0,19.4
95,2010-03-21 02:00,3.6,14.7
87,2010-03-21 08:00,0,16.5
52,2010-03-21 14:00,3.6,23.4
84,2010-03-21 20:00,3.6,17.9
92,2010-03-22 02:00,3.6,15.4
87,2010-03-22 08:00,10.8,17.4
69,2010-03-22 14:00,3.6,21.2
86,2010-03-22 20:00,0,16.2
94,2010-03-23 02:00,3.6,13.7
95,2010-03-23 08:00,0,14.8
34,2010-03-23 14:00,3.6,26.4
75,2010-03-23 20:00,3.6,19.1
84,2010-03-24 02:00,10.8,15.7
86,2010-03-24 08:00,3.6,16.5
69,2010-03-24 14:00,10.8,19.8
84,2010-03-24 20:00,0,17.9
90,2010-03-25 02:00,0,15.9
91,2010-03-25 08:00,0,17.9
41,2010-03-25 14:00,10.8,27.9
71,2010-03-25 20:00,0,20.5
91,2010-03-26 02:00,3.6,18.5
93,2010-03-26 08:00,7.2,18.6
65,2010-03-26 14:00,10.8,24
71,2010-03-26 20:00,3.6,20.9
84,2010-03-27 02:00,3.6,19.5
78,2010-03-27 08:00,7.2,20.8
56,2010-03-27 14:00,14.4,25.2
76,2010-03-27 20:00,0,21.3
92,2010-03-28 02:00,3.6,16.7
97,2010-03-28 08:00,0,16.8
29,2010-03-28 14:00,3.6,29.4
58,2010-03-28 20:00,7.2,23.1
82,2010-03-29 02:00,7.2,20.2
80,2010-03-29 08:00,14.4,20.5
67,2010-03-29 14:00,14.4,22.2
89,2010-03-29 20:00,0,19
93,2010-03-30 02:00,3.6,16.4
94,2010-03-30 08:00,0,18
40,2010-03-30 14:00,0,26.3
73,2010-03-30 20:00,3.6,20.3
89,2010-03-31 02:00,0,17.6
87,2010-03-31 08:00,7.2,17.8
57,2010-03-31 14:00,14.4,24.4
93,2010-03-31 20:00,3.6,16.9
94,2010-04-01 02:00,10.8,16.1
91,2010-04-01 08:00,3.6,16.9
73,2010-04-01 14:00,7.2,20.5
92,2010-04-01 20:00,0,17.5
92,2010-04-02 02:00,7.2,16.5
90,2010-04-02 08:00,3.6,17.1
69,2010-04-02 14:00,10.8,20.2
88,2010-04-02 20:00,0,16.5
93,2010-04-03 02:00,0,15.6
97,2010-04-03 08:00,0,16.3
44,2010-04-03 14:00,3.6,25.4
78,2010-04-03 20:00,3.6,18.9
88,2010-04-04 02:00,0,14.8
86,2010-04-04 08:00,0,17.4
43,2010-04-04 14:00,10.8,26.1
79,2010-04-04 20:00,3.6,17.7
92,2010-04-05 02:00,0,14.4
75,2010-04-05 14:00,10.8,21
92,2010-04-05 20:00,3.6,15.2
95,2010-04-06 02:00,0,16.2
95,2010-04-06 08:00,0,16.8
59,2010-04-06 14:00,14.4,23.6
94,2010-04-07 02:00,0,16.9
88,2010-04-07 08:00,0,17.9
39,2010-04-07 14:00,7.2,25.4
76,2010-04-07 20:00,0,19
90,2010-04-08 02:00,0,13.8
90,2010-04-08 08:00,0,15.4
89,2010-04-09 08:00,3.6,18.6
59,2010-04-09 14:00,14.4,22.7
80,2010-04-09 20:00,7.2,18.5
76,2010-04-10 02:00,0,16.7
68,2010-04-10 08:00,0,16.9
26,2010-04-10 14:00,18,26.4
67,2010-04-10 20:00,0,16.3
82,2010-04-11 02:00,0,11.6
87,2010-04-11 08:00,14.4,16.1
51,2010-04-11 14:00,14.4,24
79,2010-04-11 20:00,3.6,16.9
85,2010-04-12 08:00,0,16.6
43,2010-04-12 14:00,7.2,25.2
79,2010-04-12 20:00,0,17.3
90,2010-04-13 02:00,0,13.3
88,2010-04-13 08:00,0,15.6
29,2010-04-13 14:00,3.6,26.3
69,2010-04-13 20:00,0,17
87,2010-04-14 02:00,0,12.7
96,2010-04-14 08:00,0,13.9
24,2010-04-14 14:00,3.6,27.1
68,2010-04-14 20:00,3.6,17.4
88,2010-04-15 02:00,0,12.4
90,2010-04-15 08:00,0,15.1
