hum_mean_perc,time,wind_kmh,temp
72,2013-11-05 23:00,18,18
91,2013-11-06 05:00,10.8,13.3
20,2013-11-06 11:00,14.4,29.2
39,2013-11-06 17:00,28.8,25.2
57,2013-11-06 23:00,14.4,17.5
49,2013-11-07 05:00,14.4,13.2
29,2013-11-07 11:00,21.6,21.1
27,2013-11-07 17:00,21.6,24.4
65,2013-11-07 23:00,3.6,15.4
80,2013-11-08 05:00,7.2,11.4
46,2013-11-08 11:00,7.2,20.7
48,2013-11-08 17:00,21.6,21.4
72,2013-11-08 23:00,10.8,15.4
78,2013-11-09 05:00,7.2,14.2
49,2013-11-09 11:00,10.8,22.4
32,2013-11-09 17:00,18,25.6
71,2013-11-09 23:00,3.6,15.2
85,2013-11-10 05:00,3.6,11.3
28,2013-11-10 11:00,7.2,23.3
43,2013-11-10 17:00,25.2,24.7
67,2013-11-10 23:00,3.6,16.4
83,2013-11-11 05:00,7.2,11.3
29,2013-11-11 11:00,10.8,24.7
37,2013-11-11 17:00,21.6,27.9
72,2013-11-11 23:00,7.2,17.7
85,2013-11-12 05:00,7.2,14.1
38,2013-11-12 11:00,7.2,27
34,2013-11-12 17:00,25.2,31.4
71,2013-11-12 23:00,3.6,19.2
82,2013-11-13 05:00,3.6,15.8
41,2013-11-13 11:00,10.8,27.9
48,2013-11-13 17:00,21.6,27.1
67,2013-11-13 23:00,7.2,21.1
80,2013-11-14 05:00,3.6,16.9
49,2013-11-14 11:00,7.2,25.6
62,2013-11-14 17:00,21.6,21.1
65,2013-11-14 23:00,7.2,17.7
75,2013-11-15 05:00,3.6,16.3
47,2013-11-15 11:00,25.2,24.5
63,2013-11-15 17:00,39.6,21.5
65,2013-11-15 23:00,25.2,20.8
95,2013-11-16 05:00,7.2,17.3
81,2013-11-16 11:00,3.6,17.5
84,2013-11-16 17:00,10.8,18
80,2013-11-16 23:00,7.2,15.5
91,2013-11-17 05:00,50.4,14
90,2013-11-17 11:00,18,18.3
75,2013-11-17 17:00,18,19.5
71,2013-12-10 23:00,7.2,20.2
82,2013-12-11 05:00,25.2,16.8
37,2013-12-11 11:00,10.8,26.4
43,2013-12-11 17:00,25.2,27.1
69,2013-12-11 23:00,14.4,20.1
67,2013-12-12 05:00,14.4,17.9
32,2013-12-12 11:00,14.4,26.8
22,2013-12-12 17:00,7.2,31.4
58,2013-12-12 23:00,7.2,22.4
72,2013-12-13 05:00,7.2,18.9
35,2013-12-13 17:00,21.6,29.1
65,2013-12-13 23:00,10.8,18.8
75,2013-12-14 05:00,50.4,16.2
31,2013-12-14 11:00,7.2,27.5
43,2013-12-14 17:00,25.2,27.1
64,2013-12-14 23:00,7.2,21.1
66,2013-12-15 05:00,10.8,19.6
41,2013-12-15 11:00,21.6,25.8
77,2013-12-15 17:00,10.8,20
87,2013-12-15 23:00,7.2,16.7
91,2013-12-16 05:00,7.2,16.2
48,2013-12-16 11:00,7.2,23.7
53,2013-12-16 17:00,21.6,23.8
61,2013-12-16 23:00,7.2,18.2
72,2013-12-17 05:00,10.8,15.5
40,2013-12-17 11:00,3.6,24.9
44,2013-12-17 17:00,28.8,24.2
71,2013-12-17 23:00,7.2,15.9
81,2013-12-18 05:00,7.2,12.5
33,2013-12-18 11:00,10.8,24.8
42,2013-12-18 17:00,28.8,27.4
75,2013-12-19 02:00,3.6,16.8
81,2013-12-19 05:00,7.2,14.9
55,2013-12-19 08:00,7.2,22.3
32,2013-12-19 11:00,7.2,28.6
15,2013-12-19 14:00,10.8,35.3
25,2013-12-19 17:00,28.8,31.5
36,2013-12-19 20:00,7.2,24.1
48,2013-12-19 23:00,7.2,19.1
57,2013-12-20 02:00,7.2,17.6
63,2013-12-20 05:00,7.2,16.4
43,2013-12-20 08:00,3.6,23.5
22,2013-12-20 11:00,7.2,33.6
18,2013-12-20 14:00,14.4,38.7
20,2013-12-20 17:00,28.8,35.4
27,2013-12-20 20:00,10.8,30.3
39,2013-12-20 23:00,10.8,24.2
63,2013-12-21 02:00,10.8,20.5
71,2013-12-21 05:00,7.2,18.8
53,2013-12-21 08:00,3.6,25.1
40,2013-12-21 11:00,7.2,29.1
35,2013-12-21 14:00,18,33.8
39,2013-12-21 17:00,21.6,30.1
59,2013-12-21 20:00,14.4,23
68,2013-12-21 23:00,32.4,20.5
77,2013-12-22 02:00,3.6,17.7
83,2013-12-22 05:00,50.4,16.3
64,2013-12-22 08:00,3.6,22.8
37,2013-12-22 11:00,3.6,29.9
31,2013-12-22 14:00,10.8,34.6
33,2013-12-22 17:00,21.6,32.5
52,2013-12-22 20:00,14.4,24.6
60,2013-12-22 23:00,32.4,20.8
68,2013-12-23 02:00,7.2,20.5
71,2013-12-23 05:00,7.2,20.4
68,2013-12-23 08:00,7.2,21
50,2013-12-23 11:00,7.2,26.1
36,2013-12-23 14:00,14.4,30.2
54,2013-12-23 17:00,25.2,26.5
69,2013-12-23 23:00,7.2,20
79,2013-12-24 02:00,39.6,17.9
82,2013-12-24 05:00,21.6,16.3
57,2013-12-24 08:00,3.6,24.5
44,2013-12-24 11:00,7.2,29.8
33,2013-12-24 14:00,10.8,33.5
54,2013-12-24 17:00,25.2,27
67,2013-12-24 20:00,18,23.1
67,2013-12-24 23:00,18,22
75,2013-12-25 02:00,3.6,20.1
72,2013-12-25 05:00,14.4,21.4
68,2013-12-25 08:00,10.8,23.9
47,2013-12-25 11:00,7.2,29.2
34,2013-12-25 14:00,10.8,33.3
28,2013-12-25 17:00,18,36
49,2013-12-25 20:00,10.8,27.5
54,2013-12-25 23:00,21.6,24.9
64,2013-12-26 02:00,14.4,23.2
71,2013-12-26 05:00,18,20.3
62,2013-12-26 08:00,18,23
45,2013-12-26 11:00,7.2,27.1
39,2013-12-26 14:00,18,29.4
39,2013-12-26 17:00,7.2,29.7
57,2013-12-26 20:00,18,22.6
69,2013-12-26 23:00,7.2,19.5
74,2013-12-27 02:00,3.6,18
79,2013-12-27 05:00,7.2,17.4
59,2013-12-27 08:00,7.2,23
42,2013-12-27 11:00,7.2,29.8
30,2013-12-27 14:00,10.8,34.9
69,2013-12-27 17:00,18,27.3
66,2013-12-27 20:00,7.2,23.7
61,2013-12-27 23:00,7.2,21.4
65,2013-12-28 02:00,7.2,19.5
76,2013-12-28 05:00,7.2,17.4
61,2013-12-28 08:00,0,22.4
40,2013-12-28 11:00,14.4,26.3
46,2013-12-28 14:00,25.2,26.3
52,2013-12-28 17:00,25.2,22.9
58,2013-12-29 02:00,10.8,18.9
55,2013-12-29 05:00,10.8,19
47,2013-12-29 08:00,10.8,22.2
40,2013-12-29 11:00,14.4,26.8
30,2013-12-29 14:00,10.8,30.9
24,2013-12-29 17:00,10.8,32.9
52,2013-12-29 20:00,10.8,25.2
59,2013-12-29 23:00,7.2,22.2
69,2013-12-30 02:00,61.2,19.6
73,2013-12-30 05:00,7.2,19
52,2013-12-30 08:00,7.2,24.7
31,2013-12-30 11:00,10.8,31.3
32,2013-12-30 14:00,25.2,33.6
33,2013-12-30 17:00,25.2,31.2
39,2013-12-30 20:00,14.4,24.1
55,2013-12-30 23:00,7.2,20.3
61,2013-12-31 02:00,7.2,18.3
67,2013-12-31 05:00,7.2,16.9
51,2013-12-31 08:00,7.2,22.1
32,2013-12-31 11:00,7.2,28.5
28,2013-12-31 14:00,25.2,33.1
36,2013-12-31 17:00,18,30.3
61,2013-12-31 20:00,14.4,23.2
66,2013-12-31 23:00,7.2,21.5
70,2014-01-01 02:00,7.2,20.8
78,2014-01-01 05:00,46.8,18.7
57,2014-01-01 08:00,7.2,24.5
35,2014-01-01 11:00,7.2,30.8
26,2014-01-01 14:00,21.6,36.7
33,2014-01-01 17:00,28.8,32.6
53,2014-01-01 20:00,18,25.8
69,2014-01-01 23:00,10.8,21.8
67,2014-01-02 02:00,7.2,22.3
74,2014-01-02 05:00,7.2,20.7
62,2014-01-02 08:00,10.8,24.5
39,2014-01-02 11:00,10.8,29.6
26,2014-01-02 14:00,10.8,35
33,2014-01-02 17:00,28.8,34.4
51,2014-01-02 20:00,14.4,27.3
65,2014-01-02 23:00,7.2,23.5
72,2014-01-03 02:00,7.2,21.6
80,2014-01-03 05:00,7.2,19.6
60,2014-01-03 08:00,3.6,26
34,2014-01-03 11:00,7.2,33.3
22,2014-01-03 14:00,10.8,39.4
29,2014-01-03 17:00,25.2,35.7
42,2014-01-03 20:00,7.2,29.9
53,2014-01-03 23:00,7.2,26.2
60,2014-01-04 02:00,3.6,24.7
64,2014-01-04 05:00,7.2,24.1
47,2014-01-04 08:00,3.6,29.3
28,2014-01-04 11:00,7.2,36.8
17,2014-01-04 14:00,25.2,39.3
41,2014-01-04 17:00,25.2,32.1
53,2014-01-04 20:00,10.8,27.1
57,2014-01-04 23:00,7.2,24.6
80,2014-01-05 02:00,7.2,22.9
92,2014-01-05 05:00,7.2,20
87,2014-01-05 08:00,3.6,21.1
85,2014-01-05 11:00,7.2,22.5
74,2014-01-05 14:00,14.4,24
70,2014-01-05 17:00,14.4,23.2
84,2014-01-05 20:00,3.6,21.3
93,2014-01-05 23:00,10.8,20.5
91,2014-01-06 02:00,21.6,18.9
90,2014-01-06 05:00,7.2,19.7
91,2014-01-06 08:00,7.2,20
81,2014-01-06 11:00,7.2,21.8
72,2014-01-06 14:00,3.6,23.4
78,2014-01-06 17:00,21.6,23.5
78,2014-01-06 20:00,7.2,22.3
88,2014-01-06 23:00,3.6,21.2
93,2014-01-07 02:00,7.2,20.9
92,2014-01-07 05:00,3.6,20.8
94,2014-01-07 08:00,14.4,19.6
94,2014-01-07 11:00,10.8,20.6
73,2014-01-07 14:00,7.2,24.7
93,2014-01-08 02:00,7.2,19.8
94,2014-01-08 05:00,7.2,19.6
92,2014-01-08 08:00,14.4,20.1
68,2014-01-08 11:00,3.6,26.3
57,2014-01-08 14:00,7.2,29.7
71,2014-01-08 17:00,10.8,26.5
88,2014-01-08 20:00,10.8,22.1
79,2014-01-08 23:00,10.8,21
86,2014-01-09 02:00,7.2,18.4
94,2014-01-09 05:00,7.2,18.6
83,2014-01-09 08:00,10.8,21.3
65,2014-01-09 14:00,18,23.9
55,2014-01-09 17:00,14.4,24.9
78,2014-01-09 20:00,7.2,20.9
77,2014-01-09 23:00,3.6,20.1
89,2014-01-10 02:00,3.6,18.2
88,2014-01-10 05:00,18,17.4
92,2014-01-10 08:00,18,17.5
90,2014-01-10 11:00,18,16.3
59,2014-01-10 14:00,14.4,20.4
64,2014-01-10 17:00,10.8,20.7
72,2014-01-10 20:00,14.4,17.8
78,2014-01-10 23:00,3.6,16.7
83,2014-01-11 02:00,3.6,16
90,2014-01-11 05:00,14.4,13.4
70,2014-01-11 08:00,3.6,18.1
52,2014-01-11 11:00,7.2,22.3
47,2014-01-11 14:00,7.2,26.7
46,2014-01-11 17:00,14.4,28.7
65,2014-01-11 20:00,10.8,21.5
69,2014-01-11 23:00,7.2,19
84,2014-01-12 02:00,3.6,16
83,2014-01-12 05:00,3.6,15.7
66,2014-01-12 08:00,7.2,19.6
60,2014-01-12 11:00,10.8,22.6
47,2014-01-12 14:00,14.4,27.9
47,2014-01-12 17:00,21.6,24.7
71,2014-01-12 20:00,18,19.3
68,2014-01-12 23:00,7.2,19.5
79,2014-01-13 02:00,7.2,18.2
80,2014-01-13 05:00,7.2,17.2
68,2014-01-13 08:00,10.8,19.5
57,2014-01-13 11:00,7.2,21.2
45,2014-01-13 14:00,10.8,24.6
46,2014-01-13 17:00,21.6,25
62,2014-01-13 20:00,14.4,19.1
75,2014-01-13 23:00,10.8,16.3
78,2014-01-14 02:00,3.6,15.6
88,2014-01-14 05:00,7.2,12.9
60,2014-01-14 08:00,10.8,19.5
27,2014-01-14 11:00,7.2,28.6
23,2014-01-14 14:00,7.2,33.5
14,2014-01-14 17:00,10.8,36.1
33,2014-01-14 20:00,7.2,28.4
48,2014-01-14 23:00,7.2,24.2
62,2014-01-15 02:00,3.6,20.4
66,2014-01-15 05:00,3.6,19.2
57,2014-01-15 08:00,3.6,22.7
25,2014-01-15 11:00,7.2,31.6
32,2014-01-15 14:00,21.6,34.6
44,2014-01-15 17:00,21.6,30.2
60,2014-01-15 20:00,14.4,22.9
76,2014-01-15 23:00,7.2,19.8
81,2014-01-16 02:00,3.6,18.1
87,2014-01-16 05:00,14.4,16.1
67,2014-01-16 08:00,3.6,21.1
25,2014-01-16 14:00,10.8,32.6
34,2014-01-16 17:00,25.2,31.6
49,2014-01-16 20:00,10.8,23.8
67,2014-01-16 23:00,3.6,19.8
78,2014-01-17 02:00,0,18
86,2014-01-17 05:00,3.6,15.9
71,2014-01-17 08:00,7.2,20.7
25,2014-01-17 11:00,7.2,28.2
22,2014-01-17 14:00,7.2,32.4
44,2014-01-17 17:00,25.2,27.9
48,2014-01-17 20:00,10.8,21.7
67,2014-01-17 23:00,7.2,18.7
67,2014-01-18 02:00,7.2,18.2
70,2014-01-18 05:00,3.6,17.6
59,2014-01-18 08:00,7.2,21.8
46,2014-01-18 11:00,10.8,26.8
40,2014-01-18 14:00,10.8,31
56,2014-01-18 17:00,18,25.5
68,2014-01-18 20:00,10.8,21.3
73,2014-01-18 23:00,3.6,19.6
71,2014-01-19 02:00,3.6,20.3
73,2014-01-19 05:00,7.2,19.4
64,2014-01-19 08:00,3.6,22.9
49,2014-01-19 11:00,7.2,27.1
37,2014-01-19 14:00,10.8,31.5
52,2014-01-19 17:00,25.2,28
70,2014-01-19 20:00,14.4,22.1
72,2014-01-19 23:00,7.2,21.4
75,2014-01-20 02:00,7.2,20.4
82,2014-01-20 05:00,10.8,18.9
63,2014-01-20 08:00,3.6,23.7
46,2014-01-20 11:00,7.2,27.6
48,2014-01-20 14:00,25.2,29.6
37,2014-01-20 17:00,25.2,27.8
64,2014-01-20 20:00,10.8,21
72,2014-01-20 23:00,10.8,18.5
79,2014-01-21 02:00,7.2,16.8
86,2014-01-21 05:00,7.2,14.5
68,2014-01-21 08:00,3.6,20.5
42,2014-01-21 11:00,7.2,26.6
28,2014-01-21 14:00,7.2,32.4
43,2014-01-21 17:00,25.2,31.1
61,2014-01-21 20:00,10.8,25.8
49,2014-01-23 02:00,7.2,24
61,2014-01-23 05:00,7.2,21.6
51,2014-01-23 08:00,7.2,26.3
27,2014-01-23 11:00,7.2,33.6
31,2014-01-23 14:00,36,36.2
54,2014-01-23 17:00,25.2,27.9
64,2014-01-23 20:00,10.8,23
53,2014-01-23 23:00,3.6,21.1
61,2014-01-24 02:00,3.6,18.1
66,2014-01-24 05:00,3.6,18
51,2014-01-24 08:00,3.6,22.3
38,2014-01-24 11:00,14.4,29.1
46,2014-01-24 14:00,28.8,28.5
57,2014-01-24 17:00,25.2,25
68,2014-01-24 20:00,14.4,21.7
75,2014-01-24 23:00,7.2,19.2
75,2014-01-25 02:00,7.2,18.5
80,2014-01-25 05:00,7.2,18.2
65,2014-01-25 08:00,7.2,19.6
45,2014-01-25 11:00,7.2,24.6
34,2014-01-25 14:00,10.8,29
46,2014-01-25 17:00,18,26.8
66,2014-01-25 20:00,14.4,20.3
73,2014-01-25 23:00,3.6,17.9
75,2014-01-26 02:00,32.4,16.5
83,2014-01-26 05:00,3.6,15.4
69,2014-01-26 08:00,3.6,19.2
44,2014-01-26 11:00,7.2,26.5
22,2014-01-26 14:00,3.6,31.9
41,2014-01-26 17:00,21.6,30.6
63,2014-01-26 20:00,14.4,24.2
74,2014-01-26 23:00,43.2,20.7
78,2014-01-27 02:00,7.2,19.9
83,2014-01-27 05:00,7.2,18.5
62,2014-01-27 08:00,0,24.2
34,2014-01-27 11:00,7.2,30.5
26,2014-01-27 14:00,7.2,36.3
29,2014-01-27 17:00,18,37.1
32,2014-01-27 20:00,7.2,28.9
32,2014-01-27 23:00,7.2,25.3
52,2014-01-28 02:00,18,20.9
60,2014-01-28 05:00,7.2,19.2
36,2014-01-28 08:00,3.6,25.5
27,2014-01-28 11:00,7.2,32.6
24,2014-01-28 14:00,14.4,36.8
88,2014-01-28 20:00,10.8,22.9
90,2014-01-28 23:00,14.4,22.5
