hum_mean_perc,time,wind_kmh,temp
13,2020-30-06 23:00,10.8,35
14,2020-30-06 22:00,0,36
13,2020-30-06 21:00,0,37
12,2020-30-06 20:00,7.2,37
9,2020-30-06 19:00,10.8,41
8,2020-30-06 18:00,10.8,42
8,2020-30-06 17:00,10.8,42
8,2020-30-06 16:00,14.4,42
9,2020-30-06 15:00,14.4,42
9,2020-30-06 14:00,14.4,41
9,2020-30-06 13:00,7.2,40
11,2020-30-06 12:00,14.4,39
11,2020-30-06 11:00,7.2,38
11,2020-30-06 10:00,7.2,37
13,2020-30-06 09:00,7.2,35
15,2020-30-06 08:00,14.4,33
20,2020-30-06 07:00,10.8,30
30,2020-30-06 06:00,10.8,28
25,2020-30-06 05:00,7.2,28
22,2020-30-06 04:00,0,30
19,2020-30-06 03:00,0,31
17,2020-30-06 02:00,7.2,32
21,2020-30-06 01:00,7.2,32
24,2020-30-06 00:00,0,33
23,2020-29-06 23:00,0,33
18,2020-29-06 22:00,0,35
14,2020-29-06 21:00,0,36
14,2020-29-06 20:00,7.2,36
12,2020-29-06 19:00,7.2,39
12,2020-29-06 18:00,10.8,40
12,2020-29-06 17:00,14.4,40
13,2020-29-06 16:00,14.4,41
12,2020-29-06 15:00,7.2,40
14,2020-29-06 14:00,10.8,39
17,2020-29-06 13:00,0,38
19,2020-29-06 12:00,10.8,37
30,2020-29-06 11:00,14.4,35
36,2020-29-06 10:00,10.8,33
43,2020-29-06 09:00,14.4,30
48,2020-29-06 08:00,14.4,29
51,2020-29-06 07:00,7.2,28
51,2020-29-06 06:00,10.8,29
46,2020-29-06 05:00,7.2,30
46,2020-29-06 04:00,14.4,30
43,2020-29-06 03:00,14.4,31
31,2020-29-06 02:00,18,31
23,2020-29-06 01:00,10.8,33
23,2020-29-06 00:00,10.8,33
18,2020-28-06 23:00,10.8,33
16,2020-28-06 22:00,10.8,34
12,2020-28-06 21:00,10.8,36
10,2020-28-06 20:00,7.2,37
11,2020-28-06 19:00,10.8,38
12,2020-28-06 18:00,10.8,39
12,2020-28-06 17:00,18,39
12,2020-28-06 16:00,10.8,39
16,2020-28-06 15:00,14.4,39
15,2020-28-06 14:00,14.4,38
17,2020-28-06 13:00,18,37
22,2020-28-06 12:00,10.8,35
26,2020-28-06 11:00,14.4,33
33,2020-28-06 10:00,10.8,32
40,2020-28-06 09:00,14.4,31
49,2020-28-06 08:00,14.4,30
49,2020-28-06 07:00,14.4,30
51,2020-28-06 06:00,18,29
49,2020-28-06 05:00,18,30
43,2020-28-06 04:00,25.2,31
11,2020-28-06 02:00,14.4,35
11,2020-28-06 01:00,14.4,35
11,2020-28-06 00:00,14.4,35
11,2020-27-06 23:00,14.4,35
12,2020-27-06 22:00,14.4,36
11,2020-27-06 21:00,7.2,37
11,2020-27-06 20:00,7.2,37
9,2020-27-06 19:00,10.8,39
8,2020-27-06 18:00,14.4,40
7,2020-27-06 17:00,14.4,41
8,2020-27-06 16:00,14.4,40
8,2020-27-06 15:00,7.2,40
9,2020-27-06 14:00,10.8,40
8,2020-27-06 13:00,7.2,39
11,2020-27-06 12:00,7.2,37
16,2020-27-06 11:00,7.2,36
26,2020-27-06 10:00,14.4,34
41,2020-27-06 09:00,18,32
43,2020-27-06 08:00,21.6,31
48,2020-27-06 07:00,18,29
46,2020-27-06 06:00,10.8,30
46,2020-27-06 05:00,10.8,30
43,2020-27-06 04:00,14.4,30
40,2020-27-06 03:00,14.4,31
38,2020-27-06 02:00,14.4,32
32,2020-27-06 01:00,10.8,33
30,2020-27-06 00:00,10.8,33
28,2020-26-06 23:00,7.2,34
