hum_mean_perc,time,wind_kmh,temp
89,2012-01-10 02:00,0,25
100,2012-01-10 11:00,3.6,24
100,2012-01-10 12:00,3.6,24
94,2012-01-10 12:30,0,25
100,2012-01-10 13:00,3.6,25
89,2012-01-10 14:00,3.6,26
84,2012-01-10 15:00,10.8,27
89,2012-01-10 16:00,7.2,26
89,2012-01-10 17:00,10.8,26
89,2012-01-10 18:00,10.8,26
94,2012-01-10 19:00,7.2,26
94,2012-01-10 20:00,10.8,26
94,2012-01-10 21:00,10.8,25
94,2012-01-10 22:00,10.8,25
89,2012-01-11 00:00,10.8,27
89,2012-01-11 00:30,10.8,27
89,2012-01-11 01:00,10.8,27
94,2012-01-11 04:00,3.6,26
94,2012-01-11 04:30,3.6,26
94,2012-01-11 05:00,3.6,26
94,2012-01-11 05:30,3.6,26
89,2012-01-11 06:00,3.6,26
94,2012-01-11 06:30,3.6,25
94,2012-01-11 07:00,0,25
94,2012-01-11 07:30,3.6,26
94,2012-01-11 08:00,3.6,26
84,2012-01-11 08:30,10.8,28
84,2012-01-11 09:00,10.8,28
79,2012-01-11 09:30,10.8,29
75,2012-01-11 10:00,7.2,30
75,2012-01-11 10:30,10.8,30
75,2012-01-11 11:00,18,31
70,2012-01-11 11:30,18,31
70,2012-01-11 12:00,18,31
70,2012-01-11 12:30,21.6,31
70,2012-01-11 13:00,18,31
70,2012-01-11 14:00,21.6,31
70,2012-01-11 14:30,18,31
70,2012-01-11 15:00,21.6,31
75,2012-01-11 15:30,21.6,30
79,2012-01-11 16:00,21.6,30
79,2012-01-11 16:30,21.6,30
79,2012-01-11 17:00,21.6,29
79,2012-01-11 18:00,21.6,29
84,2012-01-11 18:30,18,28
84,2012-01-11 19:00,18,28
84,2012-01-11 20:00,14.4,28
84,2012-01-11 21:00,14.4,28
89,2012-01-11 22:00,14.4,27
89,2012-01-11 22:30,14.4,27
89,2012-01-11 23:00,14.4,27
89,2012-01-11 23:30,10.8,27
84,2012-01-12 00:00,10.8,28
84,2012-01-12 00:30,10.8,28
84,2012-01-12 01:00,10.8,28
84,2012-01-12 01:30,10.8,28
84,2012-01-12 02:00,10.8,28
84,2012-01-12 02:30,10.8,28
84,2012-01-12 03:00,7.2,28
89,2012-01-12 03:30,3.6,27
89,2012-01-12 04:00,3.6,27
89,2012-01-12 04:30,3.6,27
94,2012-01-12 05:00,3.6,26
94,2012-01-12 05:30,3.6,26
94,2012-01-12 06:00,3.6,26
94,2012-01-12 06:30,3.6,26
94,2012-01-12 07:00,3.6,26
94,2012-01-12 07:30,3.6,26
89,2012-01-12 08:00,3.6,27
89,2012-01-12 08:30,7.2,28
79,2012-01-12 09:00,10.8,29
75,2012-01-12 09:30,10.8,30
70,2012-01-12 10:00,10.8,31
63,2012-01-12 10:30,10.8,32
63,2012-01-12 11:00,14.4,32
59,2012-01-12 11:30,14.4,32
63,2012-01-12 12:00,18,32
63,2012-01-12 12:30,18,32
63,2012-01-12 13:00,18,33
63,2012-01-12 13:30,18,33
63,2012-01-12 14:00,21.6,32
63,2012-01-12 14:30,18,32
63,2012-01-12 15:00,18,33
63,2012-01-12 15:30,18,32
67,2012-01-12 16:00,18,32
63,2012-01-12 17:00,14.4,32
70,2012-01-12 17:30,18,31
75,2012-01-12 18:00,18,30
84,2012-01-12 18:30,21.6,29
84,2012-01-12 19:00,18,29
84,2012-01-12 19:30,18,29
84,2012-01-12 20:00,18,29
84,2012-01-12 20:30,14.4,29
84,2012-01-12 21:00,10.8,29
84,2012-01-12 21:30,14.4,29
84,2012-01-12 22:00,14.4,29
84,2012-01-12 22:30,10.8,29
89,2012-01-12 23:00,10.8,28
89,2012-01-12 23:30,7.2,28
94,2012-02-10 00:00,3.6,25
94,2012-02-10 01:00,0,25
94,2012-02-10 02:00,3.6,25
100,2012-02-10 03:00,3.6,24
100,2012-02-10 04:00,0,24
94,2012-02-10 05:00,7.2,24
100,2012-02-10 06:00,3.6,23
94,2012-02-10 07:00,0,24
94,2012-02-10 08:00,7.2,25
89,2012-02-10 09:00,7.2,26
84,2012-02-10 10:00,7.2,27
79,2012-02-10 11:00,7.2,28
74,2012-02-10 12:00,7.2,29
74,2012-02-10 13:00,18,29
74,2012-02-10 14:00,18,29
79,2012-02-10 15:00,21.6,29
79,2012-02-10 16:00,21.6,28
79,2012-02-10 17:00,21.6,28
84,2012-02-10 18:00,21.6,27
89,2012-02-10 19:00,18,26
89,2012-02-10 20:00,18,26
89,2012-02-10 21:00,14.4,26
94,2012-02-10 22:00,7.2,23
94,2012-02-10 23:00,7.2,23
89,2012-02-11 00:00,14.4,27
89,2012-02-11 00:30,10.8,27
89,2012-02-11 01:00,10.8,27
89,2012-02-11 01:30,10.8,27
89,2012-02-11 02:00,10.8,27
89,2012-02-11 02:30,10.8,27
89,2012-02-11 03:00,10.8,27
