hum_mean_perc,time,wind_kmh,temp
61,2015-01-09 00:00,7.2,23
61,2015-01-09 00:30,7.2,23
69,2015-01-09 01:00,10.8,22
69,2015-01-09 02:00,7.2,22
73,2015-01-09 02:30,7.2,21
73,2015-01-09 03:00,7.2,21
78,2015-01-09 03:30,7.2,21
83,2015-01-09 04:00,7.2,20
83,2015-01-09 05:00,3.6,21
78,2015-01-09 05:30,0,21
78,2015-01-09 06:00,3.6,21
73,2015-01-09 07:00,0,22
65,2015-01-09 08:00,7.2,25
62,2015-01-09 08:30,7.2,27
51,2015-01-09 09:30,18,29
38,2015-01-09 11:00,14.4,32
36,2015-01-09 11:30,14.4,32
30,2015-01-09 12:00,10.8,33
46,2015-01-09 12:30,10.8,32
43,2015-01-09 13:00,25.2,32
55,2015-01-09 13:30,28.8,31
55,2015-01-09 14:00,28.8,31
59,2015-01-09 15:30,28.8,31
62,2015-01-09 16:00,28.8,30
59,2015-01-09 16:30,32.4,30
62,2015-01-09 17:00,28.8,30
58,2015-01-09 17:30,32.4,29
51,2015-01-09 18:00,28.8,29
58,2015-01-09 18:30,21.6,29
66,2015-01-09 19:00,18,28
66,2015-01-09 20:00,10.8,28
58,2015-01-09 20:30,10.8,28
66,2015-01-09 21:00,7.2,27
65,2015-01-09 22:00,3.6,26
69,2015-01-09 23:00,3.6,25
94,2015-01-10 00:00,21.6,19
83,2015-01-10 00:30,18,21
83,2015-01-10 01:00,14.4,21
94,2015-01-10 02:00,10.8,19
94,2015-01-10 03:00,10.8,19
94,2015-01-10 03:30,7.2,19
94,2015-01-10 04:00,10.8,18
94,2015-01-10 05:00,10.8,18
94,2015-01-10 05:30,14.4,18
94,2015-01-10 06:00,10.8,18
94,2015-01-10 06:30,7.2,18
94,2015-01-10 07:00,7.2,18
94,2015-01-10 08:00,10.8,19
88,2015-01-10 08:30,10.8,20
83,2015-01-10 09:00,10.8,21
78,2015-01-10 09:30,14.4,22
78,2015-01-10 10:00,14.4,22
74,2015-01-10 10:30,14.4,23
74,2015-01-10 11:00,10.8,24
69,2015-01-10 11:30,10.8,25
61,2015-01-10 12:00,7.2,26
61,2015-01-10 12:30,7.2,26
58,2015-01-10 13:00,7.2,27
51,2015-01-10 13:30,7.2,27
51,2015-01-10 14:00,7.2,28
70,2015-01-10 14:30,10.8,26
74,2015-01-10 15:00,21.6,25
74,2015-01-10 15:30,21.6,25
79,2015-01-10 16:00,25.2,25
79,2015-01-10 17:00,21.6,25
83,2015-01-10 18:00,18,24
89,2015-01-10 19:00,25.2,23
94,2015-01-10 20:00,7.2,22
88,2015-01-10 21:00,10.8,21
88,2015-01-10 21:30,10.8,21
88,2015-01-10 22:00,10.8,21
69,2015-01-10 23:00,3.6,21
73,2015-01-10 23:30,10.8,21
88,2015-01-11 00:00,14.4,16
88,2015-01-11 00:30,14.4,16
83,2015-01-11 01:00,14.4,16
88,2015-01-11 02:00,18,15
88,2015-01-11 02:30,14.4,15
88,2015-01-11 03:00,14.4,15
83,2015-01-11 04:00,14.4,16
88,2015-01-11 04:30,10.8,15
94,2015-01-11 05:00,10.8,15
88,2015-01-11 05:30,14.4,16
94,2015-01-11 06:00,10.8,15
88,2015-01-11 07:00,10.8,14
83,2015-01-11 08:00,10.8,17
78,2015-01-11 08:30,10.8,18
78,2015-01-11 09:00,18,19
73,2015-01-11 09:30,14.4,19
78,2015-01-11 10:00,18,19
73,2015-01-11 10:30,21.6,20
69,2015-01-11 11:00,21.6,21
65,2015-01-11 11:30,25.2,22
65,2015-01-11 12:00,25.2,22
65,2015-01-11 12:30,21.6,22
65,2015-01-11 13:00,21.6,22
83,2015-01-11 14:00,32.4,18
83,2015-01-11 14:30,14.4,19
78,2015-01-11 15:00,10.8,19
78,2015-01-11 15:30,10.8,20
78,2015-01-11 16:00,10.8,20
88,2015-01-11 17:00,14.4,19
83,2015-01-11 17:30,14.4,19
94,2015-01-11 18:00,14.4,18
88,2015-01-11 19:00,10.8,18
88,2015-01-11 20:00,14.4,18
94,2015-01-11 20:30,14.4,17
94,2015-01-11 21:00,10.8,16
94,2015-01-11 21:30,14.4,16
88,2015-01-11 22:00,14.4,17
88,2015-01-11 22:30,10.8,17
94,2015-01-11 23:00,14.4,16
88,2015-01-11 23:30,14.4,17
77,2015-01-12 00:00,10.8,12
77,2015-01-12 00:30,14.4,12
77,2015-01-12 01:00,10.8,11
82,2015-01-12 02:00,10.8,10
82,2015-01-12 03:00,10.8,10
82,2015-01-12 03:30,14.4,10
82,2015-01-12 04:00,10.8,9
87,2015-01-12 05:00,14.4,8
87,2015-01-12 06:00,7.2,8
87,2015-01-12 06:30,10.8,8
87,2015-01-12 07:00,10.8,8
82,2015-01-12 07:30,14.4,8
82,2015-01-12 08:00,10.8,9
77,2015-01-12 09:00,10.8,11
67,2015-01-12 09:30,10.8,13
63,2015-01-12 10:00,7.2,15
49,2015-01-12 11:00,10.8,18
43,2015-01-12 11:30,14.4,19
46,2015-01-12 12:00,10.8,19
