hum_mean_perc,time,wind_kmh,temp
32,2010-01-01 07:00,10.8,14.6
32,2010-01-01 13:00,18,21.4
36,2010-01-01 19:00,25.2,18.6
63,2010-01-02 07:00,7.2,11.7
40,2010-01-02 13:00,14.4,18.8
39,2010-01-02 19:00,3.6,17.1
70,2010-01-03 07:00,7.2,9.3
67,2010-01-03 13:00,7.2,15.4
77,2010-01-03 19:00,7.2,14.1
53,2010-01-04 07:00,14.4,12.7
38,2010-01-04 13:00,18,19.1
40,2010-01-04 19:00,7.2,17.8
50,2010-01-05 07:00,7.2,10.5
32,2010-01-05 13:00,10.8,21.2
30,2010-01-05 19:00,18,19.6
34,2010-01-06 07:00,7.2,12.7
33,2010-01-06 13:00,18,21.2
36,2010-01-06 19:00,7.2,18.9
59,2010-01-07 07:00,7.2,11.9
75,2010-01-07 13:00,3.6,17
87,2010-01-07 19:00,7.2,15.4
70,2010-01-08 07:00,14.4,16
81,2010-01-08 19:00,14.4,16.2
51,2010-01-09 07:00,10.8,7.9
38,2010-01-09 13:00,25.2,12
49,2010-01-09 19:00,18,9.4
56,2010-01-10 07:00,10.8,5.3
33,2010-01-10 13:00,25.2,12.4
39,2010-01-10 19:00,7.2,9.8
56,2010-01-11 07:00,7.2,5.4
28,2010-01-11 13:00,18,14
29,2010-01-11 19:00,18,13.9
47,2010-01-12 07:00,18,9.1
57,2010-01-12 13:00,7.2,15.2
49,2010-01-12 19:00,7.2,14.8
58,2010-01-13 07:00,18,13.6
45,2010-01-13 13:00,28.8,18.7
49,2010-01-13 19:00,18,17.4
52,2010-01-14 07:00,7.2,12.4
56,2010-01-14 13:00,18,16.7
66,2010-01-14 19:00,10.8,17.1
91,2010-01-15 07:00,18,12.4
70,2010-01-15 13:00,21.6,15.2
80,2010-01-15 19:00,25.2,12.5
73,2010-01-16 07:00,32.4,13.5
63,2010-01-16 13:00,28.8,15.8
85,2010-01-16 19:00,10.8,14.3
82,2010-01-17 07:00,7.2,9.1
60,2010-01-17 13:00,10.8,16.3
58,2010-01-17 19:00,21.6,15.2
60,2010-01-18 07:00,14.4,11.6
57,2010-01-18 13:00,10.8,17.6
73,2010-01-18 19:00,3.6,15.8
84,2010-01-19 07:00,3.6,9
81,2010-01-19 10:00,10.8,13.4
78,2010-01-19 13:00,18,14.3
79,2010-01-19 16:00,14.4,14.2
83,2010-01-19 19:00,14.4,13.5
88,2010-01-20 07:00,7.2,10.2
63,2010-01-20 13:00,10.8,16.8
52,2010-01-20 16:00,10.8,18.8
59,2010-01-20 19:00,10.8,16.1
78,2010-01-21 07:00,14.4,12
75,2010-01-21 10:00,7.2,14.2
41,2010-01-21 13:00,14.4,18.6
68,2010-01-21 16:00,18,16.6
56,2010-01-21 19:00,25.2,16.2
67,2010-01-22 07:00,10.8,8.5
50,2010-01-22 10:00,10.8,13.5
60,2010-01-22 13:00,7.2,14.3
65,2010-01-22 16:00,14.4,15.1
70,2010-01-22 19:00,10.8,13.3
72,2010-01-23 07:00,3.6,7.9
69,2010-01-23 13:00,7.2,13.2
87,2010-01-23 19:00,18,13.2
84,2010-01-24 07:00,3.6,10.2
80,2010-01-24 10:00,14.4,13.7
77,2010-01-24 13:00,25.2,15.1
75,2010-01-24 16:00,25.2,15.7
90,2010-01-24 19:00,25.2,14.5
85,2010-01-25 07:00,14.4,12.2
78,2010-01-25 13:00,18,15.3
91,2010-01-25 19:00,28.8,14.3
84,2010-01-26 07:00,28.8,14.8
85,2010-01-26 10:00,28.8,15.2
79,2010-01-26 13:00,14.4,17.1
80,2010-01-26 16:00,14.4,17.1
86,2010-01-26 19:00,3.6,14.8
75,2010-01-27 07:00,18,10.5
74,2010-01-27 10:00,18,12.6
54,2010-01-27 13:00,21.6,18
40,2010-01-27 16:00,14.4,20.7
76,2010-01-27 19:00,18,15.5
74,2010-01-28 07:00,7.2,10.3
58,2010-01-28 10:00,0,17
64,2010-01-28 13:00,7.2,15.1
69,2010-01-28 16:00,10.8,16.1
80,2010-01-28 19:00,14.4,13.5
66,2010-01-29 07:00,14.4,13.1
68,2010-01-29 10:00,3.6,13.4
67,2010-01-29 13:00,10.8,14
55,2010-01-29 19:00,14.4,15.2
39,2010-01-30 13:00,25.2,16.2
40,2010-01-30 19:00,28.8,15.6
58,2010-01-31 07:00,10.8,9.1
41,2010-01-31 13:00,18,16.3
38,2010-01-31 19:00,18,16.6
45,2010-02-01 07:00,7.2,10.2
35,2010-02-01 10:00,10.8,14.3
37,2010-02-01 13:00,18,16.8
35,2010-02-01 16:00,18,18.1
41,2010-02-01 19:00,21.6,15.8
76,2010-02-02 07:00,10.8,8.4
64,2010-02-02 10:00,18,11.2
48,2010-02-02 13:00,7.2,13.1
56,2010-02-02 19:00,14.4,12
65,2010-02-03 07:00,14.4,6.6
51,2010-02-03 10:00,7.2,12.3
36,2010-02-03 13:00,10.8,15.5
32,2010-02-03 16:00,14.4,16.6
34,2010-02-03 19:00,14.4,14
53,2010-02-04 07:00,7.2,6.2
