hum_mean_perc,time,wind_kmh,temp
87,2010-01-18 22:00,3.6,11
86,2010-01-19 01:00,3.6,9.1
86,2010-01-19 07:00,10.8,10.9
74,2010-01-19 10:00,7.2,14
62,2010-01-19 13:00,7.2,16.4
60,2010-01-19 16:00,7.2,15.3
78,2010-01-19 19:00,3.6,10.5
86,2010-01-19 22:00,0,8.9
89,2010-01-20 01:00,3.6,8.6
77,2010-01-20 13:00,10.8,14.6
83,2010-01-20 16:00,3.6,14.2
92,2010-01-20 22:00,7.2,12.7
93,2010-01-21 01:00,10.8,12.8
71,2010-01-21 10:00,18,15
65,2010-01-21 16:00,25.2,13.8
68,2010-01-21 19:00,18,12.8
89,2010-01-21 22:00,18,11.3
90,2010-01-22 01:00,7.2,11
89,2010-01-22 07:00,7.2,9.6
70,2010-01-22 10:00,0,15.1
85,2010-01-22 13:00,3.6,13.4
63,2010-01-22 16:00,14.4,14.5
76,2010-01-22 19:00,7.2,11
88,2010-01-22 22:00,39.6,9.7
93,2010-01-23 01:00,7.2,9.5
97,2010-01-24 07:00,0,5.5
74,2010-01-24 10:00,10.8,13.2
79,2010-01-24 13:00,10.8,13.4
80,2010-01-24 16:00,10.8,13.8
84,2010-01-24 19:00,10.8,13.9
86,2010-01-24 22:00,10.8,14.2
81,2010-01-25 07:00,14.4,14.3
85,2010-01-25 19:00,7.2,14.6
85,2010-01-25 22:00,10.8,14.7
93,2010-01-26 01:00,10.8,14.1
92,2010-01-26 07:00,18,14.4
85,2010-01-26 10:00,18,16.2
82,2010-01-26 13:00,18,15.6
83,2010-01-26 16:00,18,15.5
87,2010-01-26 19:00,10.8,15.1
91,2010-01-26 22:00,18,15.1
88,2010-01-27 01:00,14.4,15.4
96,2010-01-27 07:00,3.6,11
89,2010-01-27 10:00,3.6,13.9
74,2010-01-27 13:00,7.2,16.9
76,2010-01-27 16:00,7.2,16.3
94,2010-01-27 19:00,3.6,13
96,2010-01-27 22:00,3.6,12.6
91,2010-01-28 07:00,3.6,11.8
91,2010-01-28 13:00,14.4,13.1
74,2010-01-28 16:00,18,15
75,2010-01-28 19:00,14.4,11.1
71,2010-01-28 22:00,14.4,11.1
83,2010-01-29 01:00,10.8,10.1
91,2010-01-29 07:00,7.2,9.9
86,2010-01-29 10:00,10.8,11.3
72,2010-01-29 13:00,21.6,13.1
97,2010-02-01 07:00,0,9.5
70,2010-02-01 10:00,14.4,14
68,2010-02-01 13:00,3.6,14
84,2010-02-01 16:00,18,9.2
81,2010-02-01 19:00,10.8,8.2
71,2010-02-01 22:00,7.2,8.5
68,2010-02-02 07:00,7.2,9
49,2010-02-02 10:00,21.6,12.1
49,2010-02-02 13:00,18,12.6
89,2010-02-03 07:00,3.6,5.1
69,2010-02-03 10:00,10.8,11.2
61,2010-02-03 13:00,10.8,13.8
57,2010-02-03 16:00,10.8,14.4
66,2010-02-03 19:00,7.2,11.9
80,2010-02-03 22:00,3.6,7.6
85,2010-02-04 01:00,3.6,6.5
80,2010-02-04 07:00,7.2,7
57,2010-02-04 10:00,14.4,13.5
51,2010-02-04 13:00,18,14.9
62,2010-02-04 16:00,18,15.7
70,2010-02-04 19:00,14.4,14.2
70,2010-02-04 22:00,18,14.2
69,2010-02-05 01:00,14.4,14
62,2010-02-05 07:00,3.6,11.3
81,2010-02-05 10:00,10.8,16.1
75,2010-02-05 13:00,7.2,17.1
65,2010-02-05 16:00,10.8,19.6
82,2010-02-05 19:00,10.8,15.4
83,2010-02-05 22:00,7.2,15
83,2010-02-06 01:00,7.2,14.6
94,2010-02-06 07:00,7.2,11.3
74,2010-02-06 10:00,7.2,15.7
52,2010-02-06 13:00,18,18.5
79,2010-02-06 16:00,14.4,14.3
89,2010-02-06 19:00,14.4,10.9
85,2010-02-06 22:00,10.8,11.3
92,2010-02-07 01:00,18,11
83,2010-02-07 07:00,14.4,11.3
71,2010-02-07 10:00,21.6,14.8
82,2010-02-07 13:00,14.4,12.7
79,2010-02-07 16:00,18,12.6
71,2010-02-07 19:00,21.6,12.1
76,2010-02-07 22:00,3.6,10.3
81,2010-02-08 01:00,3.6,9
90,2010-02-08 07:00,7.2,9.5
77,2010-02-08 10:00,10.8,13.3
70,2010-02-08 13:00,7.2,14.3
67,2010-02-08 16:00,7.2,13.5
71,2010-02-08 19:00,3.6,11.7
68,2010-02-08 22:00,7.2,12.5
77,2010-02-09 01:00,10.8,13.1
80,2010-02-09 07:00,18,13.6
80,2010-02-09 10:00,18,14.5
84,2010-02-09 13:00,14.4,15.1
89,2010-02-09 16:00,10.8,15.4
95,2010-02-09 19:00,7.2,13.3
96,2010-02-09 22:00,14.4,10.5
93,2010-02-10 01:00,7.2,10.3
82,2010-02-10 07:00,10.8,10.5
74,2010-02-10 10:00,25.2,12.3
64,2010-02-10 13:00,28.8,13.4
85,2010-02-10 16:00,28.8,10.1
88,2010-02-10 19:00,18,9.3
89,2010-02-10 22:00,18,7.7
92,2010-02-11 01:00,10.8,7.7
89,2010-02-11 07:00,10.8,6.7
71,2010-02-11 10:00,10.8,10.5
59,2010-02-11 13:00,7.2,12.9
65,2010-02-11 16:00,10.8,10.8
84,2010-02-11 19:00,3.6,8.2
88,2010-02-11 22:00,7.2,7
78,2010-02-12 01:00,14.4,8
79,2010-02-12 07:00,21.6,5.5
69,2010-02-12 10:00,21.6,8.2
62,2010-02-12 13:00,21.6,9.6
56,2010-02-12 16:00,25.2,11.2
75,2010-02-12 19:00,10.8,7.9
82,2010-02-12 22:00,10.8,6.7
83,2010-02-13 01:00,10.8,6.1
88,2010-02-13 07:00,7.2,4.4
71,2010-02-13 10:00,3.6,8.4
62,2010-02-13 13:00,10.8,11.5
65,2010-02-13 16:00,14.4,11.5
94,2010-02-13 19:00,7.2,8
98,2010-02-13 22:00,10.8,10.5
90,2010-02-14 01:00,7.2,10.1
98,2010-02-14 07:00,7.2,7.4
88,2010-02-14 10:00,10.8,11.5
74,2010-02-14 13:00,21.6,13.6
75,2010-02-14 16:00,18,12.5
77,2010-02-14 19:00,7.2,10.1
80,2010-02-14 22:00,7.2,8.8
73,2010-02-15 01:00,10.8,9.3
79,2010-02-15 07:00,3.6,6.1
71,2010-02-15 10:00,3.6,11.7
66,2010-02-15 13:00,10.8,12.8
65,2010-02-15 16:00,18,12.9
75,2010-02-15 19:00,18,12.8
83,2010-02-15 22:00,18,13.5
91,2010-02-16 01:00,18,13.5
96,2010-02-16 07:00,10.8,14.4
93,2010-02-16 10:00,10.8,15.4
94,2010-02-16 13:00,10.8,15.8
92,2010-02-16 16:00,7.2,16
85,2010-02-16 19:00,14.4,14.4
86,2010-02-16 22:00,7.2,13.2
85,2010-02-17 01:00,7.2,11.8
95,2010-02-17 07:00,3.6,9.2
81,2010-02-17 10:00,7.2,16.3
70,2010-02-17 13:00,14.4,17.2
66,2010-02-17 16:00,7.2,18.4
77,2010-02-17 19:00,3.6,14.2
95,2010-02-18 01:00,3.6,10.9
90,2010-02-18 07:00,7.2,10.4
64,2010-02-18 10:00,7.2,17.9
57,2010-02-18 13:00,3.6,21.3
