hum_mean_perc,time,wind_kmh,temp
78,2010-01-18 22:00,18,14.2
72,2010-01-19 01:00,25.2,13.3
71,2010-01-19 04:00,21.6,13
73,2010-01-19 07:00,14.4,12.3
70,2010-01-19 10:00,10.8,13.6
67,2010-01-19 13:00,14.4,15.5
65,2010-01-19 16:00,10.8,15.6
70,2010-01-19 19:00,7.2,13.2
79,2010-01-19 22:00,3.6,10.8
86,2010-01-20 01:00,0,8.8
84,2010-01-20 04:00,0,10.2
67,2010-01-20 16:00,14.4,15.6
83,2010-01-20 22:00,14.4,14.5
79,2010-01-21 01:00,7.2,13
67,2010-01-21 04:00,14.4,14.2
62,2010-01-21 10:00,32.4,15.5
57,2010-01-21 16:00,32.4,14.6
59,2010-01-21 19:00,32.4,13.8
66,2010-01-21 22:00,28.8,12.8
72,2010-01-22 01:00,14.4,11.3
72,2010-01-22 04:00,18,12.4
69,2010-01-22 07:00,14.4,11.7
68,2010-01-22 10:00,14.4,12.2
56,2010-01-22 13:00,21.6,16
49,2010-01-22 16:00,21.6,15.6
58,2010-01-22 19:00,25.2,14.2
60,2010-01-22 22:00,14.4,13.4
69,2010-01-23 01:00,7.2,9.9
78,2010-01-23 04:00,0,6.9
87,2010-01-24 07:00,0,7.7
76,2010-01-24 10:00,0,12.6
61,2010-01-24 13:00,18,15.8
70,2010-01-24 16:00,18,15.2
71,2010-01-24 19:00,14.4,14.3
82,2010-01-24 22:00,21.6,13.6
89,2010-01-25 04:00,10.8,11.3
91,2010-01-25 07:00,0,9.7
80,2010-01-25 19:00,14.4,14.6
80,2010-01-25 22:00,18,14.5
82,2010-01-26 01:00,18,14.9
82,2010-01-26 07:00,25.2,15.2
80,2010-01-26 10:00,28.8,16.3
76,2010-01-26 13:00,32.4,16.5
74,2010-01-26 16:00,28.8,16.3
78,2010-01-26 19:00,28.8,15.7
82,2010-01-26 22:00,18,14.6
90,2010-01-27 01:00,10.8,11.5
93,2010-01-27 04:00,10.8,8.9
93,2010-01-27 07:00,7.2,8.3
75,2010-01-27 10:00,10.8,13.3
66,2010-01-27 13:00,10.8,16.2
69,2010-01-27 16:00,21.6,16.4
76,2010-01-27 19:00,28.8,14.5
78,2010-01-27 22:00,25.2,13.6
83,2010-01-28 04:00,14.4,12.3
85,2010-01-28 07:00,14.4,11.8
77,2010-01-28 10:00,14.4,13.9
64,2010-01-28 13:00,14.4,16.7
79,2010-01-28 16:00,25.2,14.1
70,2010-01-28 19:00,18,14.4
64,2010-01-28 22:00,14.4,12.8
68,2010-01-29 01:00,14.4,10.3
70,2010-01-29 04:00,14.4,8.7
68,2010-01-29 07:00,18,7.8
55,2010-01-29 10:00,14.4,12.3
41,2010-01-29 13:00,14.4,15.9
65,2010-02-01 04:00,3.6,11.8
73,2010-02-01 07:00,0,7.5
71,2010-02-01 10:00,7.2,14
62,2010-02-01 13:00,0,14.2
38,2010-02-01 16:00,50.4,16
74,2010-02-01 19:00,28.8,9.8
72,2010-02-01 22:00,14.4,7.7
76,2010-02-02 04:00,10.8,7.6
67,2010-02-02 07:00,18,6.9
55,2010-02-02 10:00,18,10.5
55,2010-02-02 13:00,28.8,12.7
88,2010-02-03 07:00,7.2,3
69,2010-02-03 10:00,10.8,9.8
31,2010-02-03 13:00,7.2,15.8
25,2010-02-03 16:00,10.8,17.6
37,2010-02-03 19:00,0,13.1
46,2010-02-03 22:00,14.4,10.2
48,2010-02-04 01:00,14.4,8.5
56,2010-02-04 04:00,7.2,6.2
64,2010-02-04 07:00,10.8,4.6
34,2010-02-04 10:00,25.2,13.3
26,2010-02-04 13:00,32.4,18.9
28,2010-02-04 16:00,28.8,18.4
40,2010-02-04 19:00,25.2,14.7
41,2010-02-04 22:00,25.2,13.8
35,2010-02-05 01:00,14.4,13.6
42,2010-02-05 04:00,7.2,12.4
53,2010-02-05 07:00,0,9.1
46,2010-02-05 10:00,3.6,13.8
53,2010-02-05 13:00,0,16.8
48,2010-02-05 16:00,0,19.6
70,2010-02-05 19:00,10.8,15.2
71,2010-02-05 22:00,0,13.7
68,2010-02-06 01:00,3.6,14.4
57,2010-02-06 04:00,14.4,16.8
68,2010-02-06 07:00,10.8,14.5
57,2010-02-06 10:00,10.8,16.9
39,2010-02-06 13:00,25.2,20
55,2010-02-06 16:00,14.4,17.9
58,2010-02-06 19:00,25.2,16.7
52,2010-02-06 22:00,25.2,15.7
52,2010-02-07 01:00,32.4,14.7
63,2010-02-07 04:00,28.8,12.2
66,2010-02-07 07:00,25.2,11.4
74,2010-02-07 10:00,18,12.4
46,2010-02-07 13:00,32.4,16.7
48,2010-02-07 16:00,28.8,16.3
54,2010-02-07 19:00,32.4,14.5
61,2010-02-07 22:00,25.2,12.7
72,2010-02-08 01:00,10.8,9.7
70,2010-02-08 04:00,25.2,11.4
76,2010-02-08 07:00,0,9
63,2010-02-08 10:00,14.4,12.4
48,2010-02-08 13:00,10.8,15.9
55,2010-02-08 16:00,10.8,14.3
65,2010-02-08 19:00,18,13.4
67,2010-02-08 22:00,21.6,12.8
69,2010-02-09 01:00,18,12
76,2010-02-09 04:00,14.4,11.8
84,2010-02-09 07:00,14.4,10.9
81,2010-02-09 10:00,10.8,13.4
51,2010-02-09 13:00,18,18.6
41,2010-02-09 16:00,18,19.6
79,2010-02-09 19:00,18,14.6
90,2010-02-09 22:00,7.2,13.2
81,2010-02-10 01:00,7.2,11.4
80,2010-02-10 04:00,14.4,9.7
74,2010-02-10 07:00,14.4,9.4
62,2010-02-10 10:00,21.6,12.8
38,2010-02-10 13:00,36,15.7
48,2010-02-10 16:00,36,14.8
53,2010-02-10 19:00,18,13
58,2010-02-10 22:00,7.2,10.1
57,2010-02-11 01:00,28.8,10.9
57,2010-02-11 07:00,0,7.7
56,2010-02-11 10:00,0,9.9
46,2010-02-11 13:00,21.6,12.3
77,2010-02-11 16:00,0,10
83,2010-02-11 19:00,0,8.8
91,2010-02-11 22:00,3.6,6.3
86,2010-02-12 01:00,10.8,7.7
86,2010-02-12 04:00,0,7.2
69,2010-02-12 07:00,14.4,6.7
46,2010-02-12 10:00,25.2,9.7
35,2010-02-12 13:00,36,12.1
29,2010-02-12 16:00,28.8,13.5
36,2010-02-12 19:00,25.2,11.9
58,2010-02-12 22:00,25.2,10.1
64,2010-02-13 01:00,10.8,6.5
71,2010-02-13 04:00,7.2,4
75,2010-02-13 07:00,7.2,3.8
66,2010-02-13 10:00,0,7
51,2010-02-13 13:00,14.4,12.6
84,2010-02-13 16:00,10.8,10.1
92,2010-02-13 19:00,0,10.1
89,2010-02-13 22:00,0,10.8
92,2010-02-14 01:00,10.8,9.3
94,2010-02-14 04:00,21.6,9.5
91,2010-02-14 07:00,10.8,6.7
77,2010-02-14 10:00,14.4,11.8
64,2010-02-14 13:00,18,15
67,2010-02-14 16:00,28.8,14.5
67,2010-02-14 19:00,25.2,13.1
65,2010-02-14 22:00,28.8,11.3
70,2010-02-15 01:00,18,10.3
68,2010-02-15 04:00,14.4,10.9
81,2010-02-15 07:00,0,6.4
77,2010-02-15 10:00,0,10
54,2010-02-15 13:00,14.4,14.5
66,2010-02-15 16:00,21.6,14.3
75,2010-02-15 19:00,21.6,13.1
84,2010-02-15 22:00,18,13.1
93,2010-02-16 01:00,18,12.8
93,2010-02-16 04:00,3.6,13.6
93,2010-02-16 07:00,10.8,14.3
90,2010-02-16 10:00,10.8,16
76,2010-02-16 13:00,18,18.4
75,2010-02-16 16:00,21.6,17.6
76,2010-02-16 19:00,14.4,16.2
78,2010-02-16 22:00,7.2,14.1
80,2010-02-17 01:00,7.2,12.8
84,2010-02-17 04:00,7.2,10.7
80,2010-02-17 07:00,18,10.9
57,2010-02-17 10:00,21.6,15.3
22,2010-02-17 13:00,28.8,31.8
38,2010-02-17 16:00,32.4,24.8
46,2010-02-17 19:00,28.8,21.3
83,2010-02-18 01:00,3.6,14.4
87,2010-02-18 04:00,0,11.8
89,2010-02-18 07:00,0,10.8
58,2010-02-18 10:00,0,18.6
54,2010-02-18 13:00,0,21.3
61,2010-02-18 16:00,25.2,20.1
55,2010-02-18 19:00,14.4,20.6
48,2010-02-18 22:00,21.6,19.7
65,2010-02-19 04:00,32.4,18.3
54,2010-02-19 07:00,28.8,19.6
35,2010-02-19 10:00,36,22.9
27,2010-02-19 13:00,43.2,25.3
25,2010-02-19 16:00,36,25.8
29,2010-02-19 19:00,39.6,23.7
34,2010-02-19 22:00,25.2,21.8
48,2010-02-20 04:00,25.2,17.3
59,2010-02-20 07:00,18,15.2
50,2010-02-20 10:00,14.4,17.2
37,2010-02-20 13:00,25.2,18.4
55,2010-02-20 16:00,25.2,16.4
46,2010-02-20 19:00,28.8,14.8
59,2010-02-20 22:00,25.2,13.6
65,2010-02-21 01:00,3.6,10.1
72,2010-02-21 04:00,0,7.9
78,2010-02-21 07:00,7.2,6.2
48,2010-02-21 10:00,10.8,14.7
30,2010-02-21 13:00,21.6,19.6
30,2010-02-21 16:00,28.8,19.8
35,2010-02-21 19:00,25.2,17.3
41,2010-02-21 22:00,18,16
48,2010-02-22 01:00,25.2,15.8
49,2010-02-22 04:00,18,16
50,2010-02-22 07:00,14.4,15.5
32,2010-02-22 10:00,18,20.1
26,2010-02-22 13:00,0,23.7
31,2010-02-22 16:00,14.4,23.2
46,2010-02-22 19:00,18,19
52,2010-02-22 22:00,14.4,17.1
86,2010-02-23 01:00,0,15
91,2010-02-23 04:00,7.2,12.9
79,2010-02-23 07:00,0,11.2
42,2010-02-23 10:00,14.4,20.1
32,2010-02-23 13:00,7.2,24.1
28,2010-02-23 16:00,14.4,24.6
49,2010-02-23 19:00,14.4,20.1
83,2010-02-24 01:00,10.8,15.7
84,2010-02-24 04:00,0,14.2
80,2010-02-24 07:00,10.8,13.5
45,2010-02-24 10:00,21.6,20.6
44,2010-02-24 13:00,25.2,20.5
48,2010-02-24 16:00,7.2,19.6
64,2010-02-24 19:00,25.2,17.4
47,2010-02-24 22:00,18,17.4
54,2010-02-25 04:00,10.8,15
61,2010-02-25 07:00,0,13.6
46,2010-02-25 10:00,10.8,18.6
30,2010-02-25 13:00,21.6,22.8
50,2010-02-25 19:00,18,19.4
48,2010-02-25 22:00,14.4,17.4
72,2010-02-26 01:00,3.6,15.9
78,2010-02-26 04:00,7.2,13.5
79,2010-02-26 07:00,0,11.4
33,2010-02-26 10:00,14.4,23.1
34,2010-02-26 13:00,14.4,25.9
43,2010-02-26 16:00,10.8,23.3
56,2010-02-26 19:00,21.6,20.4
68,2010-02-26 22:00,0,18.2
72,2010-02-27 01:00,7.2,17.4
79,2010-02-27 04:00,0,16.3
69,2010-02-27 10:00,10.8,18.7
60,2010-02-27 13:00,28.8,20.3
59,2010-02-27 16:00,36,20.6
65,2010-02-27 19:00,28.8,18.1
77,2010-02-27 22:00,18,16.8
85,2010-02-28 01:00,10.8,15.4
89,2010-02-28 04:00,10.8,14.4
93,2010-02-28 07:00,7.2,13
60,2010-02-28 10:00,0,20.5
35,2010-02-28 13:00,10.8,26.9
37,2010-02-28 16:00,18,24.7
48,2010-02-28 19:00,10.8,21.9
74,2010-02-28 22:00,10.8,17.1
73,2010-03-01 10:00,14.4,17.8
66,2010-03-01 13:00,18,19.5
65,2010-03-01 16:00,25.2,20.1
75,2010-03-01 19:00,21.6,17.5
68,2010-03-01 22:00,21.6,16.6
68,2010-03-02 01:00,18,15.8
61,2010-03-02 04:00,0,14.2
67,2010-03-02 07:00,3.6,12.7
41,2010-03-02 13:00,7.2,18.4
45,2010-03-02 16:00,25.2,18.1
61,2010-03-02 19:00,21.6,16.6
72,2010-03-02 22:00,10.8,15.7
76,2010-03-03 01:00,7.2,15.2
75,2010-03-03 04:00,7.2,14.8
84,2010-03-03 07:00,7.2,14.6
73,2010-03-03 10:00,32.4,17.5
67,2010-03-03 13:00,32.4,20.7
45,2010-03-03 16:00,21.6,24.1
72,2010-03-03 19:00,14.4,19
80,2010-03-04 01:00,14.4,15.8
80,2010-03-04 04:00,0,14.3
83,2010-03-04 07:00,7.2,12.4
54,2010-03-04 10:00,25.2,19.5
63,2010-03-05 01:00,7.2,16.3
65,2010-03-05 04:00,10.8,15.4
68,2010-03-05 07:00,0,11.9
50,2010-03-05 10:00,7.2,17.9
46,2010-03-05 13:00,10.8,19.5
64,2010-03-05 16:00,28.8,18.2
80,2010-03-05 19:00,28.8,16.7
84,2010-03-05 22:00,21.6,16
85,2010-03-06 01:00,7.2,15.2
90,2010-03-06 04:00,0,14.3
89,2010-03-06 07:00,18,14.7
70,2010-03-06 10:00,28.8,14.9
57,2010-03-06 13:00,28.8,15.5
67,2010-03-06 16:00,18,14.2
71,2010-03-06 19:00,21.6,13.8
73,2010-03-06 22:00,21.6,13.5
74,2010-03-07 01:00,14.4,13.4
85,2010-03-07 04:00,21.6,14
88,2010-03-07 07:00,28.8,14.6
86,2010-03-07 10:00,28.8,15.4
88,2010-03-07 13:00,32.4,15.2
89,2010-03-07 16:00,46.8,14.8
96,2010-03-07 19:00,39.6,13.5
97,2010-03-07 22:00,32.4,13.1
91,2010-03-08 01:00,32.4,13.2
87,2010-03-08 04:00,32.4,13.6
86,2010-03-08 07:00,25.2,13.4
85,2010-03-08 10:00,21.6,13.2
75,2010-03-08 13:00,18,14.8
62,2010-03-08 16:00,7.2,16
73,2010-03-08 19:00,25.2,14.8
83,2010-03-08 22:00,10.8,14.1
84,2010-03-09 01:00,10.8,13
77,2010-03-09 04:00,10.8,12.7
76,2010-03-09 07:00,18,13.1
85,2010-03-09 10:00,18,13.1
70,2010-03-09 13:00,36,16.5
58,2010-03-09 16:00,36,18.4
84,2010-03-09 19:00,21.6,10.9
76,2010-03-09 22:00,14.4,11.2
68,2010-03-10 01:00,21.6,11.9
73,2010-03-10 04:00,28.8,10.9
72,2010-03-10 07:00,21.6,9.7
60,2010-03-10 10:00,21.6,11.8
54,2010-03-10 13:00,14.4,13.8
52,2010-03-10 16:00,10.8,14.6
65,2010-03-10 19:00,28.8,13
72,2010-03-10 22:00,25.2,11.4
67,2010-03-11 01:00,28.8,11.3
72,2010-03-11 04:00,10.8,11.5
86,2010-03-11 07:00,7.2,7.9
62,2010-03-11 10:00,0,13.5
60,2010-03-11 13:00,14.4,15.8
63,2010-03-11 16:00,25.2,15.4
73,2010-03-11 19:00,25.2,13.5
78,2010-03-11 22:00,28.8,12.5
77,2010-03-12 01:00,25.2,12.9
83,2010-03-12 04:00,21.6,13.8
87,2010-03-12 07:00,3.6,13.2
86,2010-03-12 10:00,14.4,14.6
80,2010-03-12 13:00,10.8,15.7
80,2010-03-12 16:00,18,15
83,2010-03-12 19:00,14.4,14.3
86,2010-03-12 22:00,0,14.4
88,2010-03-13 01:00,3.6,14.1
89,2010-03-13 04:00,28.8,12.8
87,2010-03-13 07:00,39.6,12.1
72,2010-03-13 10:00,32.4,12.5
66,2010-03-13 13:00,28.8,13.8
62,2010-03-13 16:00,28.8,14.3
63,2010-03-13 19:00,28.8,13
