hum_mean_perc,time,wind_kmh,temp
72,2013-01-01 01:00,0,9.9
71,2013-01-01 04:00,3.6,9.5
70,2013-01-01 07:00,3.6,9.8
61,2013-01-01 10:00,7.2,13.4
57,2013-01-01 13:00,18,16.3
53,2013-01-01 16:00,18,16.5
62,2013-01-01 19:00,7.2,13.5
55,2013-01-01 22:00,10.8,13.2
61,2013-01-02 01:00,10.8,10.1
73,2013-01-02 04:00,3.6,6.2
73,2013-01-02 07:00,3.6,6.4
56,2013-01-02 10:00,14.4,11.8
46,2013-01-02 13:00,18,15
53,2013-01-02 16:00,21.6,14.8
59,2013-01-02 19:00,7.2,12
57,2013-01-02 22:00,0,10.5
54,2013-01-03 01:00,7.2,10.3
56,2013-01-03 04:00,3.6,9.9
65,2013-01-03 07:00,3.6,10.2
81,2013-01-03 10:00,14.4,11.5
62,2013-01-03 13:00,18,15.9
79,2013-01-03 16:00,14.4,13.8
73,2013-01-03 19:00,18,12.6
83,2013-01-03 22:00,10.8,12.3
89,2013-01-04 04:00,14.4,9.5
83,2013-01-04 07:00,14.4,8.9
78,2013-01-04 10:00,18,12.1
66,2013-01-04 13:00,21.6,16
53,2013-01-04 16:00,14.4,16.9
74,2013-01-04 19:00,3.6,13
76,2013-01-04 22:00,7.2,11.1
79,2013-01-05 01:00,10.8,10.2
77,2013-01-05 07:00,7.2,10
62,2013-01-05 10:00,10.8,13.8
46,2013-01-05 13:00,14.4,16.8
39,2013-01-05 16:00,10.8,18.5
57,2013-01-05 19:00,3.6,15.1
69,2013-01-05 22:00,7.2,12.2
74,2013-01-06 01:00,7.2,10.4
73,2013-01-06 04:00,10.8,9.9
72,2013-01-06 07:00,7.2,8.9
66,2013-01-06 10:00,7.2,12.9
46,2013-01-06 13:00,14.4,18.1
43,2013-01-06 16:00,7.2,18.8
78,2013-01-06 19:00,3.6,13.9
83,2013-01-06 22:00,3.6,12.3
88,2013-01-07 01:00,3.6,8.8
87,2013-01-07 04:00,3.6,8.3
79,2013-01-07 07:00,7.2,8.6
57,2013-01-07 10:00,14.4,14.5
38,2013-01-07 13:00,14.4,19
40,2013-01-07 16:00,7.2,19.3
55,2013-01-07 19:00,3.6,15.5
71,2013-01-07 22:00,0,12
78,2013-01-08 04:00,7.2,9.6
75,2013-01-08 07:00,7.2,9
63,2013-01-08 10:00,7.2,14.6
55,2013-01-08 13:00,7.2,18.4
64,2013-01-08 16:00,7.2,16.7
82,2013-01-08 19:00,0,12.5
94,2013-01-08 22:00,3.6,10.2
92,2013-01-09 01:00,7.2,9.5
92,2013-01-09 04:00,0,8.3
87,2013-01-09 07:00,0,6.8
67,2013-01-09 10:00,3.6,12.2
45,2013-01-09 13:00,3.6,18.2
48,2013-01-09 16:00,14.4,18
63,2013-01-09 19:00,7.2,12.2
69,2013-01-09 22:00,3.6,9.2
70,2013-01-10 01:00,3.6,7.2
79,2013-01-10 04:00,7.2,4.3
85,2013-01-10 07:00,10.8,2.9
58,2013-01-10 10:00,10.8,10.8
36,2013-01-10 13:00,10.8,16.8
48,2013-01-10 16:00,7.2,17.1
73,2013-01-10 19:00,0,11.7
83,2013-01-10 22:00,3.6,9.7
80,2013-01-11 01:00,7.2,9.4
68,2013-01-11 04:00,10.8,9.8
65,2013-01-11 07:00,10.8,9.7
52,2013-01-11 10:00,10.8,14.6
42,2013-01-11 13:00,14.4,18.5
45,2013-01-11 16:00,7.2,19.3
77,2013-01-11 19:00,10.8,13.1
75,2013-01-11 22:00,7.2,11.5
65,2013-01-12 01:00,10.8,10.8
77,2013-01-12 04:00,0,6.3
81,2013-01-12 07:00,3.6,5.8
61,2013-01-12 10:00,7.2,13.4
46,2013-01-12 13:00,7.2,17.7
48,2013-01-12 16:00,14.4,16.8
69,2013-01-12 19:00,7.2,13.3
83,2013-01-12 22:00,3.6,11.3
87,2013-01-13 01:00,7.2,9.6
93,2013-01-13 04:00,7.2,7.6
98,2013-01-13 07:00,3.6,6.7
69,2013-01-13 10:00,14.4,12.7
49,2013-01-13 13:00,21.6,16.6
49,2013-01-13 16:00,28.8,17
50,2013-01-13 19:00,18,14.1
67,2013-01-13 22:00,7.2,10.5
79,2013-01-14 01:00,10.8,8.8
62,2013-01-14 04:00,10.8,9.3
69,2013-01-14 07:00,7.2,9.4
54,2013-01-14 10:00,18,15.1
40,2013-01-14 13:00,21.6,17.1
44,2013-01-14 16:00,18,17.1
64,2013-01-14 19:00,7.2,12.9
73,2013-01-14 22:00,7.2,11.1
84,2013-01-15 01:00,14.4,10.8
78,2013-01-15 04:00,14.4,11.2
64,2013-01-15 07:00,25.2,10.4
69,2013-01-15 10:00,18,10.8
50,2013-01-15 13:00,21.6,13.7
46,2013-01-15 16:00,25.2,14.9
66,2013-01-15 19:00,7.2,9.3
59,2013-01-15 22:00,21.6,9.7
69,2013-01-16 01:00,18,6.9
58,2013-01-16 07:00,21.6,9.7
45,2013-01-16 19:00,32.4,14.2
46,2013-01-16 22:00,25.2,13.8
51,2013-01-17 01:00,18,11.5
56,2013-01-17 07:00,21.6,9.9
51,2013-01-17 10:00,21.6,11.9
43,2013-01-17 13:00,32.4,16.4
44,2013-01-17 16:00,39.6,17.3
68,2013-01-17 19:00,21.6,14.7
67,2013-01-17 22:00,14.4,11.4
71,2013-01-18 01:00,3.6,9.5
71,2013-01-18 04:00,3.6,9.2
74,2013-01-18 07:00,14.4,9.3
62,2013-01-18 10:00,14.4,12.5
45,2013-01-18 13:00,18,16.8
42,2013-01-18 16:00,10.8,18.1
70,2013-01-18 19:00,7.2,14.6
66,2013-01-18 22:00,7.2,12.9
52,2013-01-19 01:00,14.4,14.6
63,2013-01-19 04:00,10.8,11.8
65,2013-01-19 07:00,10.8,11.3
51,2013-01-19 10:00,14.4,16.7
44,2013-01-19 13:00,21.6,20.7
45,2013-01-19 16:00,32.4,20.4
70,2013-01-19 19:00,10.8,16.2
63,2013-01-19 22:00,21.6,17.4
61,2013-01-20 01:00,25.2,17.3
78,2013-01-20 04:00,14.4,14.5
82,2013-01-20 07:00,10.8,13.2
65,2013-01-20 10:00,21.6,16.6
56,2013-01-20 13:00,18,17.1
31,2013-01-20 16:00,36,18.6
62,2013-01-20 19:00,32.4,13.2
74,2013-01-20 22:00,7.2,11.5
79,2013-01-21 01:00,10.8,8.9
69,2013-01-21 04:00,18,9.2
61,2013-01-21 07:00,10.8,10.2
47,2013-01-21 10:00,18,13.2
33,2013-01-21 13:00,21.6,17
34,2013-01-21 16:00,28.8,17.4
40,2013-01-21 19:00,25.2,14.9
50,2013-01-21 22:00,14.4,12.9
56,2013-01-22 01:00,7.2,12.4
68,2013-01-22 07:00,10.8,8.5
45,2013-01-22 10:00,14.4,13.9
31,2013-01-22 13:00,10.8,17.6
46,2013-01-22 16:00,25.2,16.2
63,2013-01-22 19:00,7.2,13.1
57,2013-01-22 22:00,10.8,9.6
59,2013-01-23 01:00,18,9.4
67,2013-01-23 04:00,7.2,6.6
68,2013-01-23 07:00,10.8,6.6
54,2013-01-23 10:00,28.8,13
39,2013-01-23 13:00,32.4,17
35,2013-01-23 16:00,36,17.7
34,2013-01-23 19:00,21.6,15.4
37,2013-01-23 22:00,25.2,11.4
42,2013-01-24 01:00,18,8.5
45,2013-01-24 04:00,28.8,8.6
52,2013-01-24 07:00,18,5.7
40,2013-01-24 10:00,28.8,10.5
30,2013-01-24 13:00,36,13.8
36,2013-01-24 16:00,32.4,14.7
34,2013-01-24 19:00,43.2,14.7
32,2013-01-24 22:00,32.4,13.8
56,2013-01-25 01:00,25.2,11.9
54,2013-01-25 04:00,21.6,10.2
52,2013-01-25 07:00,25.2,9.8
45,2013-01-25 10:00,25.2,12.5
35,2013-01-25 13:00,28.8,14.7
39,2013-01-25 16:00,28.8,14.1
45,2013-01-25 19:00,28.8,11.8
47,2013-01-25 22:00,21.6,11
46,2013-01-26 01:00,21.6,10.9
50,2013-01-26 04:00,18,9.2
49,2013-01-26 07:00,18,7.4
38,2013-01-26 10:00,25.2,12.2
32,2013-01-26 13:00,18,14.9
34,2013-01-26 16:00,14.4,14.9
39,2013-01-26 19:00,14.4,11.9
42,2013-01-26 22:00,0,9.1
43,2013-01-27 01:00,7.2,6.6
62,2013-01-27 07:00,10.8,7.4
54,2013-01-27 10:00,21.6,11.9
38,2013-01-27 13:00,21.6,15.2
35,2013-01-27 16:00,18,16.3
47,2013-01-27 19:00,14.4,14.8
56,2013-01-27 22:00,7.2,11.4
59,2013-01-28 01:00,3.6,11.2
64,2013-01-28 04:00,10.8,8.8
70,2013-01-28 07:00,10.8,6.4
58,2013-01-28 10:00,25.2,11.2
37,2013-01-28 13:00,36,17.3
39,2013-01-28 16:00,21.6,16.6
75,2013-01-28 19:00,32.4,12.6
58,2013-01-28 22:00,14.4,12.2
57,2013-01-29 01:00,18,11.4
59,2013-01-29 04:00,21.6,12.7
57,2013-01-29 07:00,39.6,13.2
59,2013-01-29 10:00,32.4,13.8
63,2013-01-29 13:00,39.6,15
58,2013-01-29 16:00,32.4,15.9
68,2013-01-29 19:00,18,13.8
68,2013-01-29 22:00,18,13.3
75,2013-01-30 01:00,10.8,9.7
70,2013-01-30 04:00,10.8,8.5
80,2013-01-30 07:00,7.2,5.7
55,2013-01-30 10:00,10.8,12.5
31,2013-01-30 13:00,21.6,18.5
18,2013-01-30 16:00,10.8,21.7
55,2013-01-30 19:00,0,15
31,2013-01-30 22:00,7.2,13.4
40,2013-01-31 01:00,7.2,8.6
41,2013-01-31 04:00,3.6,7.6
39,2013-01-31 07:00,7.2,8.9
25,2013-01-31 10:00,7.2,16.9
17,2013-01-31 13:00,18,22.9
24,2013-01-31 16:00,18,24.4
45,2013-01-31 19:00,3.6,17.1
46,2013-01-31 22:00,7.2,16.8
51,2013-02-01 01:00,14.4,14.6
59,2013-02-01 04:00,7.2,11.5
68,2013-02-01 07:00,3.6,8.7
43,2013-02-01 10:00,3.6,17.9
27,2013-02-01 13:00,32.4,22.9
23,2013-02-01 16:00,28.8,24
31,2013-02-01 19:00,25.2,18.8
34,2013-02-01 22:00,18,14.5
44,2013-02-02 01:00,7.2,9.4
46,2013-02-02 04:00,10.8,10.1
47,2013-02-02 07:00,14.4,9.5
36,2013-02-02 10:00,28.8,15.6
17,2013-02-02 13:00,39.6,21.6
21,2013-02-02 16:00,32.4,21.9
23,2013-02-02 19:00,28.8,18.8
47,2013-02-02 22:00,14.4,15.4
41,2013-02-03 01:00,21.6,14
41,2013-02-03 04:00,10.8,11.5
50,2013-02-03 07:00,7.2,7.8
38,2013-02-03 10:00,14.4,13.3
29,2013-02-03 13:00,14.4,15.9
29,2013-02-03 16:00,10.8,15.8
37,2013-02-03 19:00,10.8,12.5
41,2013-02-03 22:00,14.4,9.9
52,2013-02-04 01:00,7.2,7
55,2013-02-04 04:00,14.4,8.6
69,2013-02-04 07:00,18,8.5
59,2013-02-04 10:00,25.2,11
28,2013-02-04 13:00,32.4,14.8
50,2013-02-04 19:00,21.6,12.4
57,2013-02-04 22:00,18,10.6
61,2013-02-05 01:00,10.8,8.7
71,2013-02-05 04:00,14.4,9.3
69,2013-02-05 07:00,14.4,10.9
52,2013-02-05 10:00,18,14.3
45,2013-02-05 13:00,21.6,16.7
40,2013-02-05 16:00,18,17.9
43,2013-02-05 19:00,7.2,15.9
51,2013-02-05 22:00,10.8,10.4
48,2013-02-06 01:00,14.4,9.1
53,2013-02-06 07:00,21.6,7.8
39,2013-02-06 10:00,25.2,11.7
26,2013-02-06 13:00,28.8,17.9
25,2013-02-06 16:00,25.2,17.7
26,2013-02-06 19:00,25.2,15.1
68,2013-02-06 22:00,25.2,10
69,2013-02-07 04:00,14.4,7.3
75,2013-02-07 07:00,18,5.2
43,2013-02-07 10:00,32.4,12
36,2013-02-07 13:00,32.4,13.8
32,2013-02-07 16:00,25.2,14.5
43,2013-02-07 19:00,21.6,11
49,2013-02-07 22:00,14.4,8.9
48,2013-02-08 04:00,18,7.3
54,2013-02-08 07:00,18,5.8
37,2013-02-08 10:00,28.8,11.1
31,2013-02-08 13:00,36,13
27,2013-02-08 16:00,32.4,14.1
29,2013-02-08 19:00,7.2,10.5
40,2013-02-08 22:00,14.4,6.1
45,2013-02-09 01:00,10.8,5.2
49,2013-02-09 07:00,3.6,4.9
37,2013-02-09 10:00,10.8,12.6
31,2013-02-09 13:00,10.8,15.1
29,2013-02-09 16:00,18,15.5
44,2013-02-09 19:00,18,13.2
61,2013-02-09 22:00,14.4,10.7
52,2013-02-10 01:00,14.4,9.6
48,2013-02-10 04:00,14.4,8.4
48,2013-02-10 07:00,18,7.3
38,2013-02-10 10:00,21.6,10.3
27,2013-02-10 13:00,21.6,14.1
23,2013-02-10 16:00,28.8,15.6
26,2013-02-10 19:00,21.6,13
34,2013-02-10 22:00,18,9.9
42,2013-02-11 01:00,10.8,5.7
49,2013-02-11 04:00,14.4,3.6
50,2013-02-11 07:00,14.4,5.1
31,2013-02-11 10:00,28.8,11.8
22,2013-02-11 13:00,43.2,14.8
18,2013-02-11 16:00,43.2,16.8
22,2013-02-11 19:00,32.4,15
30,2013-02-11 22:00,36,14.4
39,2013-02-12 01:00,25.2,13.4
39,2013-02-12 04:00,18,11.2
54,2013-02-12 07:00,21.6,11.4
86,2013-02-12 10:00,10.8,8.3
42,2013-02-12 13:00,18,13.8
52,2013-02-12 16:00,14.4,12.3
61,2013-02-12 19:00,10.8,8.8
66,2013-02-12 22:00,7.2,6.6
66,2013-02-13 01:00,10.8,5.2
55,2013-02-13 04:00,18,6.5
57,2013-02-13 07:00,18,6.2
45,2013-02-13 10:00,21.6,11.8
40,2013-02-13 13:00,32.4,13.1
35,2013-02-13 16:00,21.6,13.9
44,2013-02-13 19:00,28.8,13
49,2013-02-13 22:00,10.8,10.9
58,2013-02-14 01:00,18,8.9
65,2013-02-14 04:00,14.4,8.8
58,2013-02-14 07:00,14.4,8.4
51,2013-02-14 10:00,28.8,10.9
37,2013-02-14 13:00,28.8,14.2
37,2013-02-14 16:00,25.2,14.1
44,2013-02-14 19:00,14.4,11.7
41,2013-02-14 22:00,7.2,8.9
58,2013-02-15 01:00,14.4,7.2
59,2013-02-15 04:00,10.8,5.7
60,2013-02-15 07:00,10.8,4.7
33,2013-02-15 10:00,21.6,12.6
36,2013-02-15 13:00,18,16.5
43,2013-02-15 16:00,25.2,16.1
46,2013-02-15 19:00,14.4,14.3
45,2013-02-15 22:00,10.8,11
44,2013-02-16 04:00,7.2,9.4
42,2013-02-16 07:00,18,11.1
41,2013-02-16 10:00,14.4,16.7
35,2013-02-16 13:00,14.4,18.8
44,2013-02-16 16:00,14.4,16.4
72,2013-02-16 19:00,10.8,12.8
83,2013-02-16 22:00,3.6,11
87,2013-02-17 01:00,3.6,7.9
89,2013-02-17 04:00,7.2,6.6
91,2013-02-17 07:00,3.6,6
72,2013-02-17 10:00,14.4,13.8
65,2013-02-17 13:00,18,15.7
35,2013-02-17 16:00,14.4,15.8
80,2013-02-17 19:00,7.2,12.5
89,2013-02-17 22:00,7.2,11.4
91,2013-02-18 01:00,3.6,8.8
95,2013-02-18 04:00,3.6,8.2
88,2013-02-18 07:00,7.2,7
33,2013-02-18 10:00,18,15.3
34,2013-02-18 13:00,18,19.4
36,2013-02-18 16:00,10.8,17.8
50,2013-02-18 19:00,14.4,15.4
88,2013-02-18 22:00,18,12.7
90,2013-02-19 01:00,7.2,10.8
95,2013-02-19 04:00,0,9.1
95,2013-02-19 07:00,3.6,6.7
74,2013-02-19 10:00,7.2,14.2
66,2013-02-19 13:00,18,15.6
75,2013-02-19 16:00,18,15
82,2013-02-19 19:00,14.4,13.4
85,2013-02-19 22:00,14.4,13
88,2013-02-20 01:00,7.2,12.2
94,2013-02-20 04:00,7.2,10.8
91,2013-02-20 07:00,14.4,11.4
83,2013-02-20 10:00,25.2,13.8
76,2013-02-20 13:00,28.8,15.9
79,2013-02-20 16:00,25.2,15.4
82,2013-02-20 19:00,14.4,14.9
88,2013-02-21 01:00,21.6,13.7
84,2013-02-21 04:00,25.2,14.2
81,2013-02-21 07:00,25.2,14.4
65,2013-02-21 10:00,28.8,16.1
52,2013-02-21 13:00,36,17.5
43,2013-02-21 16:00,32.4,17.1
50,2013-02-21 19:00,14.4,15.3
60,2013-02-21 22:00,7.2,12
75,2013-02-22 01:00,10.8,6.7
67,2013-02-22 04:00,7.2,9.8
77,2013-02-22 07:00,3.6,7.9
46,2013-02-22 10:00,14.4,15.8
29,2013-02-22 13:00,21.6,21.1
29,2013-02-22 16:00,43.2,22.4
33,2013-02-22 19:00,32.4,21
44,2013-02-22 22:00,14.4,17
53,2013-02-23 01:00,7.2,13.6
69,2013-02-23 04:00,3.6,11.3
55,2013-02-23 07:00,18,12.5
35,2013-02-23 10:00,25.2,18.1
22,2013-02-23 13:00,21.6,22.5
16,2013-02-23 16:00,46.8,24.9
25,2013-02-23 19:00,32.4,20.9
32,2013-02-23 22:00,10.8,17.3
72,2013-02-24 01:00,18,14.5
83,2013-02-24 04:00,3.6,11.3
78,2013-02-24 07:00,18,12
67,2013-02-24 10:00,21.6,11.2
71,2013-02-24 13:00,18,11.7
61,2013-02-24 16:00,14.4,12
